City,State,Total_Booking_Requests,Active_Listings,Booking_Requests_Last_6_Months,Booking_Requests_Last_12_Months,Booking_Requests_Before_2023,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
San Diego,California,68172,3937.0,12048,20994,26407.0,1724.0,1707.0,2098.0,2365.0,2649.0,2148.0,2240.0,1775.0,1741.0,1827.0,1408.0,1190.0,1373.0,1394.0,1531.0,2130.0,1662.0,1880.0,2272.0,2015.0,2185.0,1951.0
Seattle,Washington,86703,3054.0,15424,32759,30212.0,1676.0,1938.0,2933.0,4114.0,3251.0,2489.0,2218.0,1921.0,1354.0,1541.0,1023.0,1170.0,1852.0,2159.0,4282.0,5901.0,4459.0,2572.0,2539.0,2547.0,2050.0,2133.0
Portland,Oregon,48323,2943.0,11527,19244,15911.0,1131.0,1159.0,1305.0,1453.0,1600.0,1657.0,1407.0,1242.0,880.0,1124.0,701.0,834.0,1067.0,1301.0,1671.0,1821.0,2469.0,2040.0,1802.0,1734.0,1867.0,1760.0
Denver,Colorado,39357,2847.0,9358,15437,11406.0,789.0,1128.0,1253.0,1533.0,1725.0,1453.0,1124.0,1334.0,1117.0,796.0,764.0,633.0,808.0,922.0,1238.0,1615.0,1792.0,1638.0,1509.0,1559.0,1727.0,1225.0
Phoenix,Arizona,38409,2543.0,7415,15088,11428.0,2087.0,1059.0,798.0,791.0,593.0,833.0,794.0,1343.0,1576.0,1624.0,1367.0,1644.0,1859.0,1323.0,853.0,799.0,869.0,622.0,933.0,1273.0,1628.0,1846.0
Los Angeles,California,37050,2485.0,9041,15228,11188.0,1160.0,934.0,830.0,979.0,1289.0,1094.0,1048.0,1143.0,876.0,1075.0,913.0,1017.0,1133.0,821.0,1061.0,1198.0,1209.0,1327.0,1234.0,1428.0,1938.0,1706.0
Austin,Texas,21904,2328.0,5469,9840,5287.0,713.0,723.0,588.0,611.0,648.0,362.0,663.0,892.0,771.0,612.0,608.0,550.0,783.0,816.0,873.0,739.0,801.0,772.0,771.0,921.0,1155.0,1099.0
Atlanta,Georgia,30686,2239.0,6262,12047,8074.0,853.0,894.0,1026.0,973.0,833.0,1336.0,983.0,1333.0,1071.0,1014.0,933.0,638.0,935.0,822.0,1062.0,1263.0,1149.0,961.0,1192.0,1038.0,984.0,984.0
Houston,Texas,20771,2208.0,5565,9740,3361.0,470.0,565.0,919.0,780.0,944.0,777.0,761.0,903.0,652.0,776.0,552.0,529.0,662.0,624.0,894.0,832.0,945.0,1018.0,967.0,882.0,800.0,980.0
Nashville,Tennessee,39465,2199.0,15620,21679,8280.0,616.0,526.0,1063.0,1296.0,984.0,929.0,990.0,987.0,921.0,947.0,688.0,525.0,871.0,1012.0,1330.0,1578.0,1433.0,1156.0,3735.0,3153.0,3090.0,3077.0
Tucson,Arizona,23560,1943.0,5235,9805,6851.0,991.0,587.0,459.0,406.0,505.0,443.0,544.0,868.0,845.0,979.0,1047.0,986.0,893.0,747.0,633.0,441.0,522.0,629.0,853.0,986.0,970.0,1117.0
Las Vegas,Nevada,12874,1911.0,2887,5666,3259.0,319.0,297.0,402.0,380.0,375.0,311.0,303.0,427.0,407.0,618.0,337.0,381.0,663.0,511.0,407.0,489.0,521.0,490.0,343.0,388.0,502.0,582.0
New Orleans,Louisiana,18511,1865.0,3761,7100,6254.0,796.0,465.0,486.0,436.0,419.0,293.0,357.0,563.0,540.0,643.0,581.0,715.0,700.0,586.0,409.0,395.0,440.0,655.0,463.0,574.0,657.0,832.0
Chicago,Illinois,44678,1808.0,13950,24000,6827.0,567.0,909.0,1736.0,1811.0,2076.0,1429.0,1644.0,1451.0,968.0,1047.0,706.0,720.0,1234.0,1472.0,2418.0,2851.0,3443.0,2830.0,2364.0,2036.0,2390.0,1517.0
Albuquerque,New Mexico,32458,1804.0,6552,11963,10165.0,828.0,517.0,923.0,725.0,1384.0,1131.0,1056.0,1313.0,1371.0,917.0,641.0,794.0,723.0,793.0,1092.0,1136.0,1204.0,1061.0,921.0,1291.0,1099.0,1116.0
San Francisco,California,32129,1736.0,7073,12833,10389.0,820.0,845.0,989.0,1619.0,1238.0,793.0,608.0,589.0,595.0,637.0,620.0,614.0,807.0,764.0,1140.0,1647.0,1447.0,1046.0,1195.0,947.0,1285.0,1242.0
Charlotte,North Carolina,22422,1730.0,5211,9037,6936.0,514.0,538.0,720.0,775.0,924.0,634.0,447.0,647.0,546.0,621.0,481.0,470.0,589.0,451.0,662.0,1052.0,789.0,695.0,578.0,737.0,1005.0,1449.0
Washington,District of Columbia,29931,1622.0,8341,15617,5326.0,486.0,415.0,564.0,1242.0,1234.0,1107.0,1066.0,1008.0,728.0,866.0,798.0,768.0,702.0,838.0,1581.0,2226.0,2587.0,1136.0,1426.0,1369.0,1357.0,920.0
Baltimore,Maryland,21519,1552.0,5210,9257,5668.0,509.0,432.0,586.0,598.0,762.0,781.0,764.0,781.0,702.0,512.0,532.0,479.0,654.0,716.0,780.0,881.0,1052.0,826.0,869.0,885.0,949.0,709.0
San Antonio,Texas,11862,1515.0,2626,4750,3702.0,285.0,263.0,248.0,377.0,410.0,410.0,370.0,324.0,280.0,372.0,345.0,265.0,223.0,339.0,435.0,469.0,469.0,417.0,457.0,311.0,434.0,565.0
Scottsdale,Arizona,15075,1467.0,3370,6392,3825.0,565.0,388.0,287.0,241.0,240.0,370.0,406.0,618.0,653.0,885.0,676.0,657.0,595.0,490.0,426.0,290.0,300.0,283.0,426.0,483.0,832.0,898.0
Oakland,California,15974,1404.0,3180,5790,5494.0,574.0,497.0,402.0,398.0,512.0,280.0,507.0,644.0,332.0,456.0,391.0,393.0,504.0,374.0,371.0,517.0,474.0,369.0,440.0,625.0,665.0,589.0
Sacramento,California,14402,1373.0,3547,5868,3973.0,458.0,223.0,403.0,340.0,392.0,434.0,518.0,494.0,556.0,654.0,276.0,427.0,423.0,326.0,438.0,443.0,491.0,497.0,618.0,636.0,618.0,675.0
Indianapolis,Indiana,22363,1333.0,5750,9748,4295.0,566.0,500.0,708.0,855.0,1026.0,1319.0,1097.0,803.0,854.0,531.0,467.0,524.0,618.0,648.0,737.0,919.0,887.0,1074.0,982.0,904.0,769.0,1131.0
Colorado Springs,Colorado,12346,1315.0,2936,5359,3138.0,208.0,262.0,357.0,366.0,516.0,359.0,574.0,388.0,374.0,362.0,291.0,255.0,315.0,506.0,532.0,475.0,685.0,499.0,462.0,488.0,408.0,416.0
Dallas,Texas,19677,1182.0,4243,7851,5488.0,526.0,519.0,924.0,989.0,704.0,605.0,510.0,563.0,405.0,453.0,484.0,350.0,426.0,376.0,900.0,979.0,750.0,700.0,554.0,696.0,940.0,724.0
Tampa,Florida,14786,1175.0,3194,6106,4111.0,593.0,529.0,558.0,335.0,364.0,362.0,430.0,392.0,445.0,446.0,394.0,487.0,521.0,540.0,513.0,479.0,364.0,452.0,376.0,334.0,585.0,1013.0
Saint Petersburg,Florida,17123,1171.0,4182,7159,4998.0,708.0,519.0,446.0,314.0,373.0,332.0,397.0,582.0,710.0,455.0,600.0,537.0,592.0,455.0,426.0,427.0,360.0,384.0,359.0,398.0,890.0,1578.0
Brooklyn,New York,17285,1171.0,5858,8960,2501.0,262.0,205.0,285.0,486.0,598.0,551.0,771.0,1021.0,1020.0,560.0,277.0,346.0,370.0,600.0,584.0,734.0,883.0,799.0,979.0,809.0,1343.0,1163.0
Tacoma,Washington,20936,1112.0,3946,6948,7655.0,500.0,468.0,417.0,658.0,810.0,926.0,565.0,878.0,495.0,494.0,417.0,536.0,491.0,483.0,537.0,545.0,769.0,702.0,732.0,682.0,568.0,521.0
Philadelphia,Pennsylvania,15829,1110.0,5991,8561,2389.0,232.0,268.0,360.0,538.0,594.0,539.0,525.0,680.0,692.0,379.0,345.0,213.0,362.0,379.0,562.0,611.0,751.0,918.0,1032.0,1038.0,1076.0,1205.0
Miami,Florida,19847,1050.0,3973,7813,6325.0,742.0,747.0,510.0,480.0,393.0,379.0,504.0,515.0,543.0,739.0,598.0,744.0,902.0,632.0,573.0,470.0,377.0,415.0,511.0,578.0,818.0,1049.0
Anchorage,Alaska,15194,1044.0,2762,5983,3452.0,497.0,669.0,1161.0,785.0,697.0,457.0,443.0,407.0,289.0,297.0,204.0,158.0,461.0,533.0,772.0,889.0,769.0,535.0,404.0,532.0,381.0,322.0
Columbus,Ohio,16666,1004.0,5887,9114,2885.0,293.0,261.0,304.0,498.0,482.0,563.0,682.0,615.0,411.0,469.0,332.0,298.0,409.0,565.0,632.0,750.0,996.0,1092.0,972.0,868.0,1126.0,998.0
Boise,Idaho,13109,994.0,2973,4826,4546.0,317.0,230.0,498.0,321.0,369.0,300.0,334.0,477.0,389.0,377.0,269.0,200.0,265.0,329.0,322.0,526.0,457.0,436.0,413.0,546.0,686.0,428.0
New York,New York,28206,986.0,10860,15064,4995.0,588.0,425.0,535.0,985.0,922.0,642.0,836.0,1427.0,1104.0,629.0,257.0,174.0,317.0,642.0,927.0,1485.0,1563.0,1404.0,1305.0,1645.0,2181.0,2893.0
Saint Louis,Missouri,23405,984.0,4231,7860,7524.0,506.0,572.0,976.0,740.0,966.0,988.0,821.0,1026.0,644.0,639.0,514.0,430.0,545.0,461.0,792.0,887.0,728.0,709.0,798.0,628.0,707.0,625.0
San Jose,California,20454,970.0,3774,8997,6113.0,511.0,401.0,452.0,705.0,741.0,600.0,544.0,519.0,353.0,460.0,325.0,354.0,602.0,486.0,1217.0,2001.0,1264.0,630.0,504.0,497.0,656.0,434.0
Louisville,Kentucky,17557,960.0,4975,8963,4013.0,297.0,365.0,510.0,668.0,363.0,430.0,536.0,442.0,506.0,378.0,301.0,399.0,596.0,585.0,916.0,1053.0,750.0,753.0,679.0,1038.0,1004.0,872.0
Boston,Massachusetts,37212,955.0,8770,14178,10188.0,426.0,609.0,826.0,1302.0,1335.0,1169.0,2281.0,2636.0,1254.0,843.0,546.0,525.0,578.0,755.0,1530.0,1411.0,1302.0,1840.0,1739.0,1942.0,1207.0,800.0
Charleston,South Carolina,17430,948.0,3749,6934,4734.0,593.0,435.0,592.0,547.0,760.0,488.0,516.0,734.0,429.0,429.0,434.0,306.0,581.0,512.0,747.0,700.0,670.0,737.0,479.0,642.0,624.0,671.0
Jacksonville,Florida,8329,912.0,1896,3442,2187.0,187.0,247.0,255.0,225.0,257.0,233.0,300.0,305.0,298.0,315.0,209.0,218.0,203.0,283.0,319.0,337.0,287.0,222.0,246.0,353.0,289.0,414.0
Omaha,Nebraska,22970,906.0,5449,9218,6357.0,663.0,717.0,829.0,813.0,703.0,966.0,685.0,829.0,700.0,407.0,530.0,420.0,439.0,545.0,793.0,930.0,888.0,1061.0,1163.0,671.0,955.0,668.0
Savannah,Georgia,11101,906.0,2736,4810,3329.0,237.0,214.0,255.0,252.0,316.0,212.0,351.0,403.0,273.0,419.0,230.0,344.0,262.0,381.0,358.0,419.0,483.0,405.0,452.0,409.0,422.0,487.0
Orlando,Florida,10945,886.0,2393,4279,3158.0,334.0,429.0,525.0,299.0,272.0,316.0,321.0,224.0,313.0,400.0,347.0,331.0,316.0,313.0,289.0,318.0,392.0,350.0,323.0,328.0,428.0,500.0
Honolulu,Hawaii,17970,869.0,4378,8179,4768.0,548.0,359.0,271.0,478.0,611.0,509.0,465.0,625.0,475.0,554.0,520.0,889.0,737.0,437.0,552.0,597.0,673.0,564.0,601.0,726.0,779.0,1036.0
Sarasota,Florida,7416,826.0,1715,3426,1920.0,193.0,113.0,218.0,190.0,132.0,126.0,176.0,379.0,228.0,262.0,336.0,322.0,341.0,279.0,242.0,203.0,229.0,211.0,204.0,241.0,289.0,438.0
Asheville,North Carolina,10841,826.0,2670,4537,2788.0,168.0,256.0,340.0,327.0,386.0,371.0,472.0,366.0,374.0,388.0,215.0,250.0,342.0,299.0,366.0,382.0,514.0,545.0,416.0,436.0,505.0,284.0
Richmond,Virginia,13560,817.0,3562,6208,2968.0,305.0,298.0,523.0,568.0,426.0,381.0,472.0,507.0,396.0,406.0,386.0,256.0,411.0,444.0,465.0,604.0,739.0,434.0,453.0,465.0,719.0,705.0
Raleigh,North Carolina,8866,808.0,2044,3464,2766.0,184.0,276.0,274.0,224.0,285.0,230.0,296.0,331.0,156.0,321.0,179.0,187.0,245.0,249.0,299.0,269.0,265.0,312.0,362.0,341.0,416.0,357.0
Salt Lake City,Utah,11173,805.0,2856,5024,2880.0,295.0,159.0,213.0,344.0,324.0,295.0,300.0,398.0,295.0,514.0,544.0,307.0,403.0,270.0,302.0,369.0,490.0,330.0,460.0,405.0,476.0,645.0
Bend,Oregon,7564,771.0,1732,3273,1739.0,145.0,85.0,239.0,252.0,332.0,314.0,283.0,355.0,270.0,229.0,176.0,162.0,173.0,247.0,279.0,424.0,375.0,343.0,276.0,219.0,273.0,319.0
Long Beach,California,10917,768.0,2346,4015,3936.0,340.0,206.0,249.0,354.0,211.0,258.0,320.0,352.0,289.0,342.0,186.0,312.0,231.0,252.0,314.0,361.0,348.0,302.0,337.0,316.0,477.0,499.0
Rochester,New York,15131,752.0,4335,6776,2675.0,294.0,390.0,423.0,634.0,541.0,514.0,473.0,720.0,631.0,914.0,448.0,283.0,320.0,364.0,553.0,465.0,696.0,616.0,766.0,861.0,716.0,726.0
Cincinnati,Ohio,10602,751.0,2453,4157,3031.0,210.0,217.0,346.0,372.0,385.0,245.0,381.0,525.0,401.0,284.0,185.0,173.0,213.0,214.0,343.0,501.0,475.0,460.0,407.0,374.0,399.0,394.0
Fort Myers,Florida,6663,751.0,887,2009,2542.0,201.0,165.0,196.0,142.0,152.0,121.0,307.0,269.0,180.0,245.0,305.0,194.0,236.0,140.0,184.0,170.0,137.0,89.0,117.0,118.0,162.0,207.0
Kansas City,Missouri,10665,739.0,2851,4812,2526.0,303.0,182.0,291.0,387.0,343.0,376.0,338.0,460.0,236.0,347.0,170.0,210.0,334.0,292.0,359.0,546.0,502.0,368.0,356.0,421.0,494.0,651.0
Wilmington,North Carolina,7849,726.0,1473,2926,1882.0,165.0,236.0,399.0,388.0,427.0,402.0,313.0,270.0,168.0,235.0,129.0,163.0,110.0,302.0,357.0,349.0,293.0,294.0,265.0,251.0,183.0,211.0
Minneapolis,Minnesota,13154,715.0,2818,4934,2807.0,319.0,424.0,561.0,808.0,673.0,674.0,650.0,592.0,333.0,285.0,263.0,197.0,297.0,263.0,414.0,600.0,688.0,549.0,465.0,532.0,353.0,313.0
Reno,Nevada,10084,709.0,2189,3428,3920.0,217.0,239.0,238.0,216.0,309.0,269.0,287.0,304.0,306.0,281.0,169.0,105.0,144.0,250.0,312.0,249.0,330.0,392.0,271.0,422.0,451.0,305.0
Pittsburgh,Pennsylvania,7126,704.0,2436,3518,1141.0,189.0,162.0,172.0,216.0,304.0,284.0,275.0,317.0,272.0,228.0,131.0,103.0,164.0,214.0,162.0,268.0,339.0,429.0,408.0,455.0,441.0,360.0
Mesa,Arizona,7592,697.0,1665,3034,2100.0,550.0,288.0,212.0,160.0,149.0,168.0,175.0,188.0,232.0,264.0,241.0,303.0,229.0,241.0,221.0,175.0,184.0,173.0,159.0,248.0,386.0,424.0
Spokane,Washington,9450,695.0,1875,3523,2811.0,152.0,195.0,334.0,398.0,380.0,416.0,376.0,357.0,260.0,194.0,152.0,187.0,354.0,162.0,416.0,356.0,382.0,319.0,251.0,320.0,276.0,331.0
Charlottesville,Virginia,15177,695.0,3443,5694,4489.0,425.0,229.0,370.0,512.0,537.0,549.0,495.0,764.0,520.0,511.0,341.0,337.0,303.0,303.0,306.0,586.0,650.0,797.0,652.0,494.0,470.0,454.0
Durham,North Carolina,7158,681.0,2158,3545,1549.0,137.0,177.0,170.0,219.0,207.0,232.0,190.0,233.0,250.0,170.0,254.0,174.0,178.0,222.0,304.0,269.0,300.0,402.0,505.0,322.0,316.0,311.0
Naples,Florida,3950,677.0,961,1657,960.0,136.0,173.0,75.0,75.0,75.0,70.0,160.0,123.0,161.0,224.0,157.0,137.0,106.0,98.0,105.0,106.0,138.0,91.0,121.0,137.0,222.0,244.0
Lexington,Kentucky,14846,672.0,5198,8458,2897.0,256.0,347.0,330.0,374.0,354.0,361.0,370.0,346.0,311.0,339.0,366.0,149.0,474.0,393.0,827.0,817.0,1328.0,691.0,684.0,911.0,1127.0,664.0
Milwaukee,Wisconsin,15003,669.0,3396,5954,5016.0,273.0,324.0,332.0,676.0,452.0,438.0,303.0,418.0,411.0,365.0,177.0,233.0,388.0,404.0,628.0,629.0,625.0,696.0,576.0,537.0,450.0,580.0
Aurora,Colorado,11306,666.0,2285,3990,3231.0,203.0,145.0,326.0,339.0,485.0,768.0,533.0,562.0,399.0,288.0,213.0,186.0,339.0,181.0,313.0,368.0,529.0,593.0,367.0,370.0,296.0,225.0
Oklahoma City,Oklahoma,9200,648.0,2579,4487,1924.0,235.0,170.0,248.0,348.0,482.0,252.0,227.0,289.0,198.0,284.0,197.0,263.0,358.0,263.0,369.0,377.0,544.0,346.0,317.0,442.0,394.0,560.0
Palm Springs,California,5456,644.0,864,1972,2002.0,161.0,142.0,90.0,128.0,114.0,99.0,88.0,165.0,143.0,284.0,195.0,206.0,240.0,139.0,217.0,126.0,118.0,105.0,138.0,148.0,194.0,163.0
Fresno,California,5595,635.0,1193,2079,1703.0,228.0,161.0,107.0,223.0,173.0,115.0,202.0,187.0,193.0,197.0,123.0,152.0,165.0,137.0,107.0,180.0,191.0,182.0,186.0,175.0,242.0,201.0
Fort Lauderdale,Florida,7371,623.0,1969,3708,1645.0,170.0,230.0,162.0,167.0,186.0,109.0,179.0,179.0,252.0,301.0,214.0,326.0,359.0,390.0,258.0,235.0,196.0,181.0,341.0,297.0,359.0,468.0
Fort Worth,Texas,5144,614.0,1239,2314,1170.0,141.0,92.0,134.0,199.0,197.0,189.0,187.0,180.0,146.0,155.0,171.0,156.0,144.0,158.0,166.0,279.0,221.0,188.0,166.0,135.0,207.0,341.0
Myrtle Beach,South Carolina,5061,591.0,1112,2152,1489.0,109.0,175.0,108.0,173.0,200.0,124.0,170.0,148.0,80.0,95.0,96.0,90.0,149.0,151.0,285.0,258.0,274.0,166.0,140.0,193.0,235.0,114.0
Santa Fe,New Mexico,6950,591.0,1604,3277,1711.0,212.0,127.0,230.0,204.0,238.0,175.0,167.0,248.0,171.0,144.0,188.0,146.0,302.0,232.0,347.0,421.0,311.0,306.0,265.0,217.0,214.0,304.0
Winston Salem,North Carolina,9288,588.0,1651,2623,3700.0,349.0,140.0,181.0,389.0,242.0,233.0,286.0,327.0,392.0,391.0,139.0,122.0,170.0,184.0,158.0,192.0,224.0,236.0,288.0,317.0,216.0,356.0
Norfolk,Virginia,9009,588.0,2144,3774,2020.0,161.0,207.0,394.0,525.0,314.0,286.0,298.0,349.0,276.0,348.0,180.0,212.0,225.0,361.0,285.0,345.0,442.0,378.0,375.0,426.0,254.0,279.0
Bakersfield,California,5159,581.0,1241,2132,1447.0,122.0,147.0,156.0,144.0,143.0,111.0,160.0,210.0,152.0,208.0,97.0,131.0,179.0,103.0,244.0,139.0,171.0,149.0,181.0,253.0,223.0,264.0
Santa Rosa,California,7637,576.0,1562,2742,2433.0,290.0,139.0,217.0,230.0,231.0,267.0,319.0,249.0,247.0,216.0,162.0,165.0,190.0,186.0,198.0,275.0,315.0,292.0,269.0,265.0,210.0,247.0
Memphis,Tennessee,6538,575.0,2091,3674,1076.0,169.0,232.0,151.0,187.0,205.0,183.0,160.0,153.0,134.0,149.0,156.0,82.0,178.0,249.0,382.0,494.0,501.0,294.0,458.0,367.0,238.0,270.0
Billings,Montana,13419,572.0,2644,4523,4417.0,388.0,436.0,513.0,760.0,316.0,315.0,469.0,416.0,491.0,315.0,199.0,157.0,305.0,322.0,372.0,500.0,503.0,467.0,499.0,562.0,307.0,298.0
Cleveland,Ohio,8114,572.0,2503,3878,1492.0,131.0,145.0,257.0,327.0,478.0,240.0,308.0,400.0,242.0,186.0,120.0,168.0,224.0,179.0,329.0,307.0,408.0,508.0,412.0,535.0,423.0,257.0
Cape Coral,Florida,3874,563.0,562,1292,1244.0,151.0,179.0,118.0,104.0,90.0,76.0,105.0,172.0,89.0,198.0,157.0,120.0,197.0,141.0,100.0,64.0,65.0,60.0,66.0,72.0,118.0,143.0
Greenville,South Carolina,5477,538.0,1599,2646,1118.0,133.0,127.0,154.0,156.0,208.0,151.0,152.0,220.0,188.0,194.0,95.0,159.0,148.0,167.0,214.0,244.0,215.0,255.0,221.0,230.0,256.0,420.0
Knoxville,Tennessee,7856,535.0,2000,3346,1898.0,213.0,161.0,201.0,208.0,256.0,291.0,319.0,353.0,287.0,240.0,220.0,240.0,168.0,193.0,276.0,266.0,265.0,310.0,346.0,401.0,289.0,381.0
Flagstaff,Arizona,8004,533.0,1836,3299,2169.0,164.0,258.0,236.0,225.0,249.0,347.0,189.0,270.0,204.0,315.0,268.0,219.0,247.0,260.0,257.0,253.0,197.0,313.0,380.0,306.0,245.0,362.0
Columbia,South Carolina,6428,528.0,1559,2664,2130.0,105.0,114.0,169.0,189.0,162.0,164.0,177.0,232.0,156.0,142.0,130.0,157.0,160.0,151.0,206.0,267.0,196.0,240.0,304.0,336.0,284.0,220.0
Pensacola,Florida,4773,526.0,1140,2102,1120.0,99.0,195.0,215.0,207.0,192.0,176.0,161.0,112.0,93.0,91.0,69.0,67.0,164.0,141.0,235.0,241.0,228.0,229.0,213.0,175.0,154.0,164.0
Santa Barbara,California,7074,522.0,1853,3185,1613.0,131.0,109.0,235.0,191.0,250.0,172.0,301.0,260.0,239.0,326.0,227.0,205.0,199.0,264.0,176.0,209.0,294.0,277.0,237.0,288.0,356.0,402.0
Augusta,Georgia,4973,516.0,1650,2579,1070.0,181.0,106.0,142.0,174.0,85.0,118.0,90.0,136.0,116.0,150.0,140.0,99.0,197.0,125.0,191.0,170.0,210.0,169.0,217.0,187.0,214.0,590.0
Virginia Beach,Virginia,5545,515.0,1992,3219,809.0,134.0,107.0,130.0,139.0,144.0,118.0,149.0,222.0,189.0,164.0,94.0,164.0,176.0,249.0,295.0,219.0,282.0,263.0,417.0,372.0,437.0,257.0
Portland,Maine,17910,513.0,4049,8312,3934.0,552.0,598.0,453.0,656.0,577.0,493.0,983.0,680.0,344.0,285.0,196.0,203.0,421.0,563.0,761.0,1933.0,1004.0,848.0,845.0,618.0,592.0,315.0
Palm Desert,California,3277,485.0,660,1253,971.0,118.0,119.0,67.0,123.0,80.0,79.0,75.0,143.0,113.0,103.0,111.0,110.0,107.0,81.0,113.0,85.0,59.0,55.0,85.0,98.0,148.0,196.0
Vancouver,Washington,4551,481.0,1281,1948,1251.0,176.0,151.0,123.0,171.0,147.0,129.0,120.0,126.0,113.0,90.0,38.0,90.0,96.0,99.0,95.0,218.0,200.0,217.0,207.0,234.0,276.0,147.0
Tulsa,Oklahoma,8788,478.0,2305,3646,2872.0,192.0,61.0,212.0,367.0,221.0,161.0,215.0,228.0,281.0,241.0,202.0,238.0,205.0,228.0,192.0,290.0,303.0,308.0,393.0,451.0,462.0,382.0
Salem,Oregon,9671,475.0,1941,3241,3554.0,299.0,168.0,246.0,199.0,280.0,340.0,319.0,350.0,227.0,368.0,252.0,134.0,195.0,256.0,237.0,216.0,244.0,335.0,389.0,366.0,319.0,327.0
St Louis,Missouri,4971,475.0,2257,3707,44.0,47.0,66.0,81.0,91.0,156.0,112.0,133.0,174.0,179.0,158.0,108.0,109.0,295.0,140.0,317.0,427.0,364.0,395.0,303.0,405.0,424.0,339.0
Kissimmee,Florida,2208,459.0,472,928,472.0,48.0,65.0,113.0,51.0,95.0,53.0,73.0,58.0,80.0,129.0,123.0,85.0,98.0,54.0,60.0,70.0,47.0,57.0,73.0,58.0,97.0,111.0
El Paso,Texas,2070,446.0,517,874,435.0,72.0,57.0,119.0,89.0,82.0,79.0,59.0,43.0,53.0,75.0,63.0,64.0,60.0,70.0,50.0,69.0,54.0,100.0,58.0,60.0,121.0,111.0
Eugene,Oregon,5847,435.0,1408,2358,1988.0,134.0,114.0,145.0,118.0,212.0,187.0,127.0,215.0,120.0,106.0,127.0,104.0,106.0,160.0,197.0,213.0,256.0,201.0,217.0,256.0,281.0,209.0
Redding,California,4418,433.0,1175,1983,1145.0,142.0,89.0,46.0,81.0,144.0,125.0,133.0,259.0,137.0,112.0,131.0,109.0,103.0,149.0,112.0,182.0,187.0,149.0,238.0,171.0,211.0,229.0
Buffalo,New York,5644,432.0,1393,2257,1328.0,137.0,86.0,122.0,266.0,221.0,226.0,202.0,363.0,220.0,182.0,131.0,57.0,142.0,92.0,112.0,250.0,352.0,265.0,218.0,250.0,190.0,172.0
Roanoke,Virginia,10277,430.0,1962,3419,2960.0,341.0,265.0,335.0,491.0,385.0,261.0,431.0,458.0,528.0,347.0,323.0,248.0,220.0,212.0,250.0,219.0,253.0,370.0,412.0,352.0,207.0,367.0
Bradenton,Florida,3147,422.0,853,1490,671.0,54.0,96.0,71.0,92.0,68.0,54.0,101.0,123.0,103.0,192.0,101.0,98.0,108.0,133.0,107.0,101.0,117.0,97.0,112.0,123.0,165.0,220.0
Panama City Beach,Florida,3067,421.0,688,1418,653.0,111.0,137.0,189.0,121.0,99.0,39.0,58.0,72.0,58.0,91.0,58.0,63.0,128.0,134.0,151.0,177.0,195.0,130.0,112.0,84.0,114.0,70.0
Coeur D Alene,Idaho,4404,421.0,1007,1681,1418.0,96.0,77.0,148.0,191.0,207.0,182.0,98.0,127.0,118.0,52.0,54.0,56.0,62.0,115.0,199.0,166.0,180.0,185.0,166.0,139.0,172.0,149.0
Grand Junction,Colorado,5191,414.0,1182,2320,1161.0,115.0,128.0,148.0,127.0,195.0,200.0,153.0,232.0,210.0,184.0,85.0,127.0,167.0,172.0,235.0,294.0,262.0,220.0,174.0,201.0,165.0,198.0
Henderson,Nevada,2794,407.0,661,1300,651.0,60.0,54.0,85.0,69.0,62.0,76.0,92.0,112.0,69.0,138.0,103.0,64.0,98.0,128.0,101.0,133.0,147.0,123.0,85.0,98.0,110.0,116.0
Greensboro,North Carolina,4371,406.0,1290,2229,843.0,123.0,83.0,89.0,86.0,167.0,120.0,104.0,214.0,144.0,118.0,143.0,117.0,102.0,176.0,171.0,216.0,274.0,218.0,135.0,137.0,249.0,278.0
Bozeman,Montana,4310,404.0,1301,2133,760.0,134.0,106.0,196.0,134.0,193.0,144.0,120.0,122.0,113.0,142.0,57.0,60.0,100.0,136.0,150.0,278.0,193.0,197.0,232.0,258.0,275.0,169.0
Chattanooga,Tennessee,4163,398.0,1172,1961,798.0,105.0,104.0,145.0,97.0,120.0,177.0,168.0,209.0,116.0,116.0,135.0,94.0,130.0,115.0,137.0,197.0,117.0,169.0,198.0,186.0,279.0,209.0
Oceanside,California,3677,397.0,1033,1717,795.0,65.0,89.0,112.0,101.0,70.0,118.0,116.0,141.0,146.0,171.0,96.0,98.0,111.0,108.0,133.0,148.0,162.0,158.0,153.0,126.0,222.0,194.0
West Palm Beach,Florida,5168,397.0,1101,2238,1679.0,116.0,138.0,115.0,102.0,101.0,69.0,93.0,126.0,173.0,197.0,227.0,239.0,265.0,175.0,134.0,100.0,99.0,91.0,116.0,145.0,317.0,286.0
Birmingham,Alabama,3807,396.0,1043,1704,895.0,42.0,47.0,135.0,151.0,149.0,110.0,127.0,115.0,121.0,163.0,121.0,58.0,119.0,79.0,88.0,217.0,113.0,165.0,142.0,180.0,207.0,211.0
Tempe,Arizona,4097,394.0,853,1612,1342.0,179.0,99.0,93.0,106.0,90.0,103.0,67.0,103.0,114.0,136.0,189.0,173.0,139.0,118.0,93.0,81.0,100.0,97.0,104.0,148.0,162.0,209.0
