City,State,Total_Booking_Requests,Active_Listings,Booking_Requests_Last_6_Months,Booking_Requests_Last_12_Months,Booking_Requests_Before_2023,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
Jefferson,Colorado,3,3.0,3,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Lumberton,New Jersey,5,3.0,1,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Jefferson,New York,6,3.0,6,6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
Hamlin,New York,60,3.0,7,10,8.0,6.0,2.0,2.0,6.0,0.0,0.0,4.0,10.0,8.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0
Dundee,Florida,27,3.0,3,6,6.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Carpentersville,Illinois,2,3.0,1,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jefferson,Wisconsin,13,3.0,2,3,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Dunellen,New Jersey,19,3.0,3,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Merrick,New York,8,3.0,6,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
Mercersburg,Pennsylvania,2,3.0,2,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jefferson City,Tennessee,58,3.0,11,36,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,0.0,6.0,6.0,6.0,4.0,3.0,0.0,3.0,2.0,1.0,2.0
Groveland,Illinois,2,3.0,2,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jeffersonton,Virginia,10,3.0,2,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Meraux,Louisiana,19,3.0,6,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
Callaway,Florida,9,3.0,6,8,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Dudley,Massachusetts,48,3.0,14,21,,0.0,2.0,2.0,3.0,6.0,4.0,2.0,5.0,0.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,4.0,3.0,0.0,1.0,3.0,3.0
Midway City,California,4,3.0,4,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Goodland,Kansas,4,3.0,3,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Minden,Louisiana,8,3.0,2,5,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
