Channel_Group,Campaign_Group,FF_Lead_Event_Count,FF_Purchase_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,Housing Requests,Total Traveler Actions,Traveler Value,Landlord Value,Sessions,Impressions,Impression_population,Clicks,Cost,Lead_Conversion,CPL,CAC,Traveler_Conversion,CPTA,ROAS,CPC,CTR,RPC_Landlord,RPC_Tenant,Purchase_to_Sessions,Lead_to_Sessions,Impression_Share,FF_Lead_Event_Count_previous,FF_Purchase_Event_Count_previous,FF_BRSubmit_Event_Count_previous,FF_DMSubmit_Event_Count_previous,FF_PhoneGet_Event_Count_previous,Housing Requests_previous,Total Traveler Actions_previous,Traveler Value_previous,Landlord Value_previous,Sessions_previous,Impressions_previous,Impression_population_previous,Clicks_previous,Cost_previous,Lead_Conversion_previous,CPL_previous,CAC_previous,Traveler_Conversion_previous,CPTA_previous,ROAS_previous,CPC_previous,CTR_previous,RPC_Landlord_previous,RPC_Tenant_previous,Purchase_to_Sessions_previous,Lead_to_Sessions_previous,Impression_Share_previous,FF_Lead_Event_Count_WoW,FF_Purchase_Event_Count_WoW,FF_BRSubmit_Event_Count_WoW,FF_DMSubmit_Event_Count_WoW,FF_PhoneGet_Event_Count_WoW,Housing Requests_WoW,Total Traveler Actions_WoW,Traveler Value_WoW,Landlord Value_WoW,Sessions_WoW,Impressions_WoW,Impression_population_WoW,Clicks_WoW,Cost_WoW,Lead_Conversion_WoW,CPL_WoW,CAC_WoW,Traveler_Conversion_WoW,CPTA_WoW,ROAS_WoW,CPC_WoW,CTR_WoW,RPC_Landlord_WoW,RPC_Tenant_WoW,Purchase_to_Sessions_WoW,Lead_to_Sessions_WoW,Impression_Share_WoW,FF_Lead_Event_Count_YoY,FF_Purchase_Event_Count_YoY,FF_BRSubmit_Event_Count_YoY,FF_DMSubmit_Event_Count_YoY,FF_PhoneGet_Event_Count_YoY,Housing Requests_YoY,Total Traveler Actions_YoY,Traveler Value_YoY,Landlord Value_YoY,Sessions_YoY,Impressions_YoY,Impression_population_YoY,Clicks_YoY,Cost_YoY,Lead_Conversion_YoY,CPL_YoY,CAC_YoY,Traveler_Conversion_YoY,CPTA_YoY,ROAS_YoY,CPC_YoY,CTR_YoY,RPC_Landlord_YoY,RPC_Tenant_YoY,Purchase_to_Sessions_YoY,Lead_to_Sessions_YoY,Impression_Share_YoY,Start_Date_Period,End_Date_Period,Period
SEM Brand,Google Search - Brand,1156.0,398.0,3004.0,3618.0,3081.0,323.0,9703.0,19406.0,95520.0,111679.0,72794.0,76090.7517376441,47791.0,10970.523637,0.34429065743944637,9.49007235034602,27.56412974120603,0.08688294128708172,1.130632138204679,10.47589010358558,0.2295520838023896,0.6565238893315383,1.9987026846058882,0.4060597183570128,0.003563785492348606,0.010351095550640675,0.9566734240054419,1181.0,446.0,3277.0,3337.0,3052.0,386.0,9666.0,19332.0,107040.0,114295.0,75841.0,78750.74359955631,50159.0,12178.194594,0.37764606265876377,10.311765109229468,27.30536904484305,0.08457062863642328,1.2599001235257605,10.376907596981694,0.2427918139117606,0.6613704988067141,2.134013836001515,0.3854143822643992,0.0039021829476355045,0.010332910451025855,0.9630512238163462,-0.02116850127011005,-0.1076233183856502,-0.08330790357033868,0.08420737189091998,0.009501965923984335,-0.16321243523316065,0.0038278501965651746,0.0038278501965651746,-0.1076233183856502,-0.02288814033859754,-0.04017615801479413,-0.033777355493151195,-0.04720987260511578,-0.09916666609966962,-0.0883245147175199,-0.07968497635269034,0.009476550049113852,0.027341793338196307,-0.10260177208279997,0.00953872872807282,-0.05453120472250694,-0.007328130728419757,-0.0634068763345782,0.053566594923929456,-0.08672003845743503,0.0017599203729685708,-0.006622492815730685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/09/2024,12/15/2024,EOW
SEM Brand,Google Search - Brand,67660.0,25312.0,169016.0,252312.0,383372.0,38612.0,804700.0,1609400.0,6074880.0,5947082.0,3941334.0,5058175.224422639,2751017.0,563219.810681,0.37410582323381614,8.32426560273426,22.25109871527339,0.13531005625952358,0.6999127757934634,13.643483155730598,0.2047314904564385,0.6979913399879331,2.208230628891061,0.5850200125989771,0.004256204975818393,0.011377008085646036,0.7792007641352282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2024,12/16/2024,YTD
SEM Brand,Google Search - Brand,168.0,75.0,468.0,580.0,427.0,59.0,1475.0,2950.0,18000.0,17626.0,11652.0,12093.138142493906,7609.0,2048.0857809999998,0.44642857142857145,12.190986791666665,27.307810413333332,0.08368319527970045,1.3885327328813557,10.229063740568003,0.2691662217111315,0.6530209406110539,2.3656196609278486,0.3876987777631752,0.004255077726086463,0.009531374106433678,0.963521615539659,172.0,56.0,454.0,661.0,465.0,51.0,1580.0,3160.0,13440.0,18230.0,12139.0,12698.029814090314,7906.0,1691.05347,0.32558139534883723,9.831706220930233,30.197383392857144,0.08667032364234778,1.0702870063291139,9.816366125903754,0.21389494940551482,0.6512892330504984,1.6999747027573995,0.3996964330887933,0.003071859572133845,0.009434997257268238,0.9559750746946594,-0.023255813953488413,0.3392857142857142,0.03083700440528636,-0.1225416036308623,-0.08172043010752683,0.15686274509803932,-0.06645569620253167,-0.06645569620253167,0.3392857142857142,-0.03313219967087222,-0.04011862591646753,-0.047636655485340906,-0.03756640526182642,0.21113011346708022,0.3711734693877551,0.2399665447401058,-0.09568951527791336,-0.03446541142472204,0.2973461554427028,0.04204179116498219,0.25840382140501195,0.00265889173761491,0.3915616844713967,-0.03001691867225853,0.38517976690278966,0.01021482535049989,0.007894076995061727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/16/2024,12/16/2024,WTD
SEM Brand,Google Search - Brand,14287.0,5454.0,36372.0,44559.0,34247.0,4482.0,115178.0,230356.0,1308960.0,1127165.0,743083.0,781997.1383616561,524577.0,167889.240079,0.3817456428921397,11.751189198502136,30.782772291712508,0.10218379740321958,1.4576502463925403,9.168639987146749,0.3200468950773671,0.7059467112018442,2.4952676156217297,0.43912714434677846,0.004838688213349421,0.012675162908713454,0.9502374926292132,16377.0,6256.0,36839.0,51554.0,85351.0,8003.0,173744.0,347488.0,1501440.0,1306481.0,782303.0,867480.3275461753,568572.0,184026.067099,0.381999145142578,11.23686066428528,29.41593144165601,0.13298624319833202,1.0591794082040245,10.04709837658671,0.3236636118187319,0.7267925599160427,2.6407209640995335,0.6111591847646384,0.004788435499636045,0.012535199516870127,0.9018106522517753,-0.12761800085485742,-0.1281969309462916,-0.012676782757403804,-0.1356829731931567,-0.5987510398237865,-0.4399600149943771,-0.3370821438438162,-0.3370821438438162,-0.1281969309462916,-0.13725113491891583,-0.05013402735257311,-0.0985419340013437,-0.0773780629366202,-0.08768772421419468,-0.0006636199417244804,0.04577155039855341,0.04646600610854401,-0.23162129446107094,0.3762071232711883,-0.08743403881533396,-0.011174307550489537,-0.02868197868812339,-0.05508092314759283,-0.28148483194948737,0.01049459969069133,0.011165629366725272,0.053699565708742236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/01/2024,12/16/2024,QTD
SEM Brand,Google Search - Brand,5385.0,2069.0,13111.0,15386.0,12425.0,1593.0,40922.0,81844.0,496560.0,427455.0,281575.0,292148.77421170403,200295.0,65926.847362,0.38421541318477254,12.242682889879294,31.86411182310295,0.09573405387701629,1.6110367861297101,8.773421195526332,0.32914874241493797,0.7113380094113468,2.479143263686063,0.4086172894979905,0.004840275584564457,0.012597817314103239,0.9638068848988501,6215.0,2398.0,16171.0,21191.0,14914.0,2063.0,52276.0,104552.0,575520.0,442831.0,291923.0,313344.8193064916,212430.0,75261.97929,0.3858407079646018,12.109731181013677,31.385312464553795,0.11804954937662449,1.4397042484122733,9.036063181112228,0.35429072772207315,0.7276918913549121,2.7092218613190227,0.4921715388598597,0.005415158378704292,0.014034699467742773,0.9316349976556074,-0.13354786806114238,-0.13719766472060047,-0.18922762970750107,-0.27393704874710967,-0.16689017030977604,-0.22782355792535147,-0.21719335832886988,-0.21719335832886988,-0.13719766472060047,-0.03472204972099968,-0.03544770367528427,-0.06764447276230567,-0.05712469990114388,-0.12403516378475521,-0.004212346562401548,0.01097891496336989,0.015255523075958122,-0.18903499096309961,0.11900537065608074,-0.02906597489655538,-0.07096427690554197,-0.022473634979105594,-0.08492423633439261,-0.16976651993210923,-0.10616176922924814,-0.10238068559587266,0.034532716486822546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/01/2024,11/30/2024,EOM
SEM Brand,Google Search - Brand,2687.0,987.0,7090.0,7982.0,6908.0,826.0,21980.0,43960.0,236880.0,256879.0,169585.0,176503.54484346055,111852.0,26700.413427,0.3673241533308523,9.936886277260886,27.05209060486322,0.08556557756764858,1.2147594825750683,10.518189194629057,0.23871198929835855,0.659563050977386,2.1177985194721596,0.3930193469942424,0.003842275935362564,0.01046017774905695,0.9608022328979481,3085.0,1249.0,8091.0,9500.0,6965.0,961.0,24556.0,49112.0,299760.0,229974.0,152572.0,159017.56698142222,112064.0,37052.672022,0.4048622366288493,12.010590606807131,29.66587031385108,0.10677728786732413,1.508905034288972,9.415569268333941,0.3306384924864363,0.7344991217261359,2.674900057110223,0.4382495716733295,0.005431048727247428,0.01341455990677207,0.9594663212135849,-0.12901134521880064,-0.20976781425140112,-0.12371771103695461,-0.15978947368421048,-0.008183776022972045,-0.14047866805411036,-0.10490307867730897,-0.10490307867730897,-0.20976781425140112,0.11699148599406883,0.1115080093332983,0.10996255441438874,-0.001891776127926903,-0.27939303780448954,-0.09271816411074518,-0.1726563161990512,-0.08810729910618798,-0.19865376545274405,-0.19493973777648066,0.11710602884133658,-0.27802722694741544,-0.10202336331273432,-0.20827003841030134,-0.10320654622978531,-0.2925351753730422,-0.2202369796882908,0.0013923486992992729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/01/2024,12/16/2024,MTD
SEM Brand,Google Search - Brand,19441.0,7520.0,45500.0,61416.0,92979.0,9001.0,199895.0,399790.0,1804800.0,1532197.0,930364.0,1026170.6093876328,679478.0,227531.323962,0.38681137801553417,11.703684170670233,30.256824994946808,0.13046298876711024,1.138254203266715,9.689171414342002,0.33486194396580904,0.7303356535721502,2.656156637889674,0.5883781373348365,0.004907985069804993,0.01268831618910623,0.9066367634083718,13329.0,4812.0,27807.0,40544.0,73878.0,6888.0,142229.0,284458.0,1154880.0,1053188.0,620860.0,694221.9444327248,447585.0,142279.26340999999,0.36101733063245556,10.67441394028059,29.567594224854528,0.13504616459739383,1.0003533977599504,10.11628796427152,0.31788210822525326,0.7209113165608994,2.5802473273233018,0.6355396181730845,0.004568984834616422,0.012655860112344614,0.894324941726422,0.45854902843424106,0.5627597672485454,0.6362786348761102,0.5147987371744278,0.2585478762283766,0.3067653890824622,0.4054447405240844,0.4054447405240844,0.5627597672485454,0.4548181331348249,0.4985085204393904,0.4781592797763774,0.5180982383234469,0.5991882338210652,0.07144822476497392,0.09642405064559312,0.023310343237628484,-0.03393784520980048,0.13785208888734735,-0.0422206793082599,0.05341551254757548,0.013072810475787344,0.02941939315760056,-0.0742069880298224,0.07419596419322128,0.0025645097586024512,0.013766608877286757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07/01/2024,09/30/2024,EOQ
SEM Brand,Google Search - Brand Broad,361.0,255.0,2110.0,2387.0,2160.0,198.0,6657.0,13314.0,61200.0,73158.0,69705.0,84795.71825349182,37660.0,71095.998813,0.7063711911357341,196.941824966759,278.8078384823529,0.09099483310095957,10.67988565615142,1.0480758586146344,1.8878385239776951,0.5402768811419554,1.6250663834306958,0.35353159851301114,0.0034856064955302224,0.004934525274064354,0.8220344309322435,386.0,249.0,2509.0,2766.0,2387.0,236.0,7662.0,15324.0,59760.0,72973.0,73632.0,92213.94359030339,39916.0,81682.357599,0.6450777202072538,211.61232538601035,328.0415967831325,0.10499773888972634,10.660709684025058,0.9192193052091732,2.0463562881801782,0.5421012603215993,1.4971440024050506,0.38390620302635536,0.003412220958436682,0.00528962767050827,0.7984909562824798,-0.06476683937823835,0.024096385542168752,-0.15902750099641294,-0.13702096890817062,-0.09509844993715966,-0.1610169491525424,-0.13116679718089275,-0.13116679718089275,0.024096385542168752,0.002535184246228006,-0.05333279009126468,-0.0804458094729138,-0.05651868924741954,-0.12960398177989907,0.09501718786503366,-0.06932724921618028,-0.1500838880909603,-0.1333638794209968,0.0017987519306614796,0.14018042557987753,-0.07746342370489778,-0.003365384501341384,0.08544427310943181,-0.07911985863708226,0.02150667790492733,-0.06713183206140394,0.029484960931022375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/01/2024,11/30/2024,EOM
SEM Brand,Google Search - Brand Broad,58.0,30.0,529.0,422.0,418.0,43.0,1369.0,2738.0,7200.0,17559.0,13466.0,16478.288619691222,7713.0,9654.437527,0.5172413793103449,166.45581943103448,321.81458423333333,0.07796571558744803,7.05218226953981,1.0293712059565332,1.2517097792039413,0.5727758799940591,0.9334889148191365,0.35498509010761053,0.0017085255424568598,0.003303149382083262,0.8171965129866946,66.0,41.0,401.0,431.0,462.0,31.0,1294.0,2588.0,9840.0,19074.0,15573.0,19580.3400113897,8569.0,12256.098422,0.6212121212121212,185.69846093939393,298.92922980487805,0.06784104015937927,9.471482551777434,1.0140257994086792,1.4302833961955888,0.5502472227573364,1.1483253588516746,0.30201890535651765,0.0021495229107685856,0.0034602076124567475,0.795338589163484,-0.12121212121212122,-0.2682926829268293,0.31920199501246893,-0.02088167053364265,-0.09523809523809523,0.3870967741935485,0.057959814528593556,0.057959814528593556,-0.2682926829268293,-0.07942749292230256,-0.13529827265138383,-0.1584268398758164,-0.09989497024156846,-0.2122748043806464,-0.16736753574432295,-0.10362305326073562,0.07655776734644992,0.1492411585123521,-0.25542994658039186,0.015133151993571126,-0.124851912192112,0.04094279135809109,-0.1870867366783353,0.1753737392318837,-0.2051605805653136,-0.045389828577937275,0.02748253903560771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/09/2024,12/15/2024,EOW
SEM Brand,Google Search - Brand Broad,150.0,83.0,1064.0,1018.0,981.0,87.0,3063.0,6126.0,19920.0,41969.0,33648.0,41733.9896259613,18913.0,25268.478793,0.5533333333333333,168.45652528666665,304.4395035301205,0.07298243941957158,8.249584979758406,1.030770400282877,1.3360375822450166,0.5620839277223014,1.053243800560461,0.32390419288320205,0.00197765017036384,0.0035740665729466986,0.8062493018656601,210.0,155.0,1302.0,1498.0,1190.0,116.0,3990.0,7980.0,37200.0,38237.0,37564.0,45585.50904411713,20785.0,40572.109886,0.7380952380952381,193.20052326666666,261.7555476516129,0.10434919057457437,10.168448592982456,1.1135728491061299,1.9519898910752946,0.5533223298903205,1.7897522251623768,0.38393071926870337,0.0040536652980097815,0.005492062661819703,0.8240337946790502,-0.2857142857142857,-0.46451612903225803,-0.18279569892473113,-0.32042723631508674,-0.17563025210084038,-0.25,-0.23233082706766917,-0.23233082706766917,-0.46451612903225803,0.09760179930433877,-0.10424874880204449,-0.08448999471363516,-0.09006495068559062,-0.3771958405909953,-0.25032258064516133,-0.12807417682739353,0.16306800853488834,-0.3005941012315392,-0.18870760821353938,-0.07435746021440692,-0.31555097270046195,0.01583452783067263,-0.4115141829395381,-0.15634728708303824,-0.5121328415212765,-0.34923055452493845,-0.021582237194916143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/01/2024,12/16/2024,MTD
