Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-03-14,You,68.77%, --, --,94.64%,33.15%, --
2024-03-14,airbnb.com,22.65%,24.97%,18.84%,69.78%,6.92%,65.53%
2024-03-14,hellolanding.com,< 10%,9.01%,32.13%,75.00%,15.85%,66.77%
2024-03-18,furnishedfinder.com,76.45%,85.49%,63.56%,95.59%,63.38%,30.49%
2024-03-18,evolve.com,< 10%,9.84%,65.02%,95.41%,48.85%,62.51%
2024-03-14,furnishedfinder.com,78.30%,88.89%,66.25%,96.95%,63.80%,28.27%
2024-03-14,evolve.com,< 10%,8.94%,62.35%,94.93%,46.01%,64.93%
2024-03-19,furnishedfinder.com,81.90%,89.56%,69.91%,95.47%,67.13%,24.66%
2024-03-19,evolve.com,< 10%,10.47%,72.24%,95.83%,46.13%,60.98%
2024-03-18,You,66.78%, --, --,94.69%,34.97%, --
2024-03-18,airbnb.com,21.40%,22.36%,19.73%,68.14%,7.93%,63.84%
2024-03-18,hellolanding.com,< 10%,8.41%,28.44%,77.53%,11.71%,65.18%
2024-03-19,You,65.97%, --, --,94.22%,28.33%, --
2024-03-19,airbnb.com,22.18%,22.44%,22.76%,67.07%,9.42%,62.60%
2024-03-19,hellolanding.com,< 10%,7.16%,34.38%,72.89%,14.44%,64.35%
2024-03-22,furnishedfinder.com,87.77%,96.27%,73.78%,95.76%,68.45%,19.57%
2024-03-22,evolve.com,< 10%,11.81%,61.40%,92.59%,37.35%,62.65%
2024-03-22,You,67.55%, --, --,94.07%,22.54%, --
2024-03-22,airbnb.com,23.01%,25.36%,20.92%,65.09%,4.99%,63.97%
2024-03-22,hellolanding.com,< 10%,8.95%,33.80%,77.59%,12.07%,65.51%
2024-03-26,furnishedfinder.com,87.32%,96.24%,76.80%,96.20%,72.43%,17.71%
2024-03-26,evolve.com,< 10%,10.35%,61.54%,90.80%,31.16%,63.59%
2024-03-26,You,67.91%, --, --,94.07%,20.95%, --
2024-03-26,airbnb.com,20.20%,21.71%,17.17%,63.50%,4.62%,65.38%
2024-03-26,hellolanding.com,< 10%,6.04%,24.55%,72.17%,7.83%,66.90%
2024-03-16,You,69.13%, --, --,94.85%,33.20%, --
2024-03-16,airbnb.com,25.05%,27.61%,17.83%,67.41%,4.57%,65.73%
2024-03-16,hellolanding.com,< 10%,7.65%,28.65%,74.40%,13.60%,67.62%
2024-03-17,You,68.96%, --, --,93.72%,29.52%, --
2024-03-17,airbnb.com,26.15%,28.01%,17.16%,69.63%,6.62%,65.64%
2024-03-17,hellolanding.com,< 10%,5.97%,29.71%,77.73%,13.27%,67.73%
2024-03-16,furnishedfinder.com,83.64%,90.43%,65.86%,95.97%,65.31%,27.96%
2024-03-16,evolve.com,< 10%,8.05%,58.33%,94.81%,45.28%,65.88%
2024-03-17,furnishedfinder.com,84.81%,90.91%,68.95%,95.88%,66.46%,25.73%
2024-03-17,evolve.com,< 10%,9.31%,65.58%,95.33%,45.14%,64.75%
2024-03-20,furnishedfinder.com,82.94%,91.99%,64.76%,95.02%,61.65%,27.39%
2024-03-20,evolve.com,< 10%,11.52%,70.46%,96.18%,50.64%,62.25%
2024-03-20,You,67.76%, --, --,94.75%,30.43%, --
2024-03-20,airbnb.com,22.71%,24.15%,20.12%,68.15%,7.09%,64.46%
2024-03-20,hellolanding.com,< 10%,7.84%,30.77%,77.27%,15.91%,66.12%
2024-03-21,furnishedfinder.com,87.94%,95.69%,71.51%,96.33%,69.08%,21.27%
2024-03-21,evolve.com,< 10%,10.31%,63.00%,91.69%,39.69%,62.99%
2024-03-21,You,67.36%, --, --,93.77%,25.11%, --
2024-03-21,airbnb.com,24.50%,26.06%,20.72%,65.52%,5.09%,63.72%
2024-03-21,hellolanding.com,< 10%,9.44%,34.40%,82.78%,13.29%,65.17%
2024-03-24,furnishedfinder.com,90.16%,97.16%,74.78%,96.78%,70.96%,19.65%
2024-03-24,evolve.com,< 10%,11.85%,59.80%,93.11%,37.72%,66.77%
2024-03-25,furnishedfinder.com,88.93%,96.88%,77.48%,96.52%,73.20%,17.16%
2024-03-25,evolve.com,< 10%,9.76%,56.88%,87.34%,33.12%,65.00%
2024-03-27,furnishedfinder.com,87.13%,96.85%,76.84%,97.29%,72.24%,17.70%
2024-03-27,evolve.com,< 10%,11.39%,48.33%,89.36%,31.31%,65.39%
2024-03-24,You,71.86%, --, --,94.72%,22.66%, --
2024-03-24,airbnb.com,21.40%,23.06%,15.10%,62.23%,2.28%,69.36%
2024-03-24,hellolanding.com,< 10%,6.49%,24.69%,77.17%,11.42%,70.71%
2024-03-25,You,68.82%, --, --,94.34%,20.73%, --
2024-03-25,airbnb.com,20.46%,22.98%,16.43%,59.46%,4.52%,66.23%
2024-03-25,hellolanding.com,< 10%,7.48%,26.21%,76.45%,11.58%,67.47%
2024-03-27,You,69.20%, --, --,94.12%,20.83%, --
2024-03-27,airbnb.com,20.88%,22.85%,19.27%,61.38%,4.15%,66.15%
2024-03-27,hellolanding.com,< 10%,7.44%,30.61%,78.49%,10.19%,67.62%
2024-03-15,You,64.59%, --, --,94.97%,30.84%, --
2024-03-15,airbnb.com,27.19%,29.46%,19.03%,71.56%,6.98%,60.97%
2024-03-15,hellolanding.com,< 10%,9.70%,34.86%,77.27%,13.96%,62.40%
2024-03-15,furnishedfinder.com,80.31%,89.54%,67.89%,96.78%,67.39%,25.32%
2024-03-15,evolve.com,< 10%,7.88%,63.28%,93.55%,46.54%,61.37%
2024-03-23,furnishedfinder.com,88.64%,95.70%,73.17%,95.83%,70.26%,20.74%
2024-03-23,evolve.com,< 10%,9.64%,61.71%,94.00%,42.00%,65.07%
2024-03-23,You,69.19%, --, --,94.96%,23.63%, --
2024-03-23,airbnb.com,22.45%,24.24%,16.67%,65.60%,3.75%,66.40%
2024-03-23,hellolanding.com,< 10%,8.12%,28.34%,76.29%,9.91%,67.60%
