Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-03-15,You,65.94%, --, --,92.69%,63.42%, --
2024-03-15,airbnb.com,35.49%,30.15%,65.52%,90.98%,49.24%,52.91%
2024-03-15,hellolanding.com,15.10%,13.37%,58.88%,90.75%,45.97%,60.75%
2024-03-16,You,64.82%, --, --,92.08%,61.55%, --
2024-03-16,airbnb.com,36.27%,30.89%,67.34%,90.48%,51.55%,51.34%
2024-03-16,hellolanding.com,15.26%,13.73%,59.20%,91.67%,45.42%,59.55%
2024-03-17,You,63.03%, --, --,92.30%,63.91%, --
2024-03-17,airbnb.com,37.25%,30.88%,65.71%,90.01%,48.84%,50.25%
2024-03-17,hellolanding.com,14.54%,12.22%,59.62%,90.76%,45.62%,58.44%
2024-03-19,You,67.52%, --, --,93.04%,68.64%, --
2024-03-19,airbnb.com,28.09%,23.03%,64.98%,90.13%,45.33%,57.42%
2024-03-19,hellolanding.com,12.44%,10.40%,61.95%,92.14%,48.28%,63.17%
2024-03-15,apartmentlist.com,11.11%,6.96%,47.73%,93.08%,22.27%,63.75%
2024-03-15,hometogo.com,< 10%,3.62%,43.93%,61.45%,5.10%,64.89%
2024-03-16,apartmentlist.com,11.68%,7.69%,49.37%,92.05%,22.22%,62.36%
2024-03-16,hometogo.com,< 10%,3.31%,39.20%,60.32%,5.55%,63.98%
2024-03-17,apartmentlist.com,12.54%,8.18%,52.21%,94.18%,23.65%,60.34%
2024-03-17,hometogo.com,< 10%,3.37%,45.77%,61.19%,6.89%,62.06%
2024-03-19,apartmentlist.com,10.82%,7.50%,52.95%,92.68%,26.62%,64.84%
2024-03-19,hometogo.com,< 10%,5.00%,43.61%,68.12%,11.09%,66.05%
2024-03-18,You,65.53%, --, --,91.97%,68.41%, --
2024-03-18,airbnb.com,30.30%,24.77%,65.52%,89.63%,45.09%,54.89%
2024-03-18,hellolanding.com,12.41%,10.36%,63.68%,91.39%,49.09%,61.20%
2024-03-21,You,50.94%, --, --,90.18%,64.13%, --
2024-03-21,airbnb.com,32.11%,30.13%,61.00%,87.41%,39.98%,41.58%
2024-03-21,hellolanding.com,13.38%,12.29%,59.02%,91.17%,47.27%,47.25%
2024-03-18,apartmentlist.com,11.06%,7.38%,50.53%,92.07%,23.04%,63.09%
2024-03-18,hometogo.com,< 10%,3.18%,48.28%,62.48%,8.17%,64.52%
2024-03-21,apartmentlist.com,10.93%,7.81%,51.85%,91.07%,21.91%,48.88%
2024-03-21,hometogo.com,< 10%,6.38%,40.44%,64.42%,9.16%,49.63%
2024-03-26,You,64.12%, --, --,92.17%,69.75%, --
2024-03-26,airbnb.com,28.25%,22.35%,63.02%,89.28%,43.28%,55.09%
2024-03-26,hellolanding.com,11.24%,9.65%,57.73%,91.59%,48.07%,60.55%
2024-03-26,apartmentlist.com,< 10%,6.08%,50.81%,92.06%,21.58%,62.14%
2024-03-26,hometogo.com,< 10%,4.05%,40.15%,61.23%,8.86%,63.08%
