Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-03-31,You,66.25%, --, --,94.14%,19.53%, --
2024-03-31,airbnb.com,18.86%,20.35%,23.88%,64.11%,5.90%,63.03%
2024-03-31,hellolanding.com,< 10%,7.04%,25.81%,75.48%,8.65%,65.04%
2024-04-05,You,45.21%, --, --,90.92%,12.59%, --
2024-04-05,airbnb.com,25.39%,26.46%,32.85%,75.73%,16.97%,41.28%
2024-04-05,hellolanding.com,< 10%,8.07%,49.57%,83.96%,24.68%,43.41%
2024-04-06,You,47.48%, --, --,91.34%,13.27%, --
2024-04-06,airbnb.com,24.71%,24.68%,31.10%,73.82%,18.74%,43.83%
2024-04-06,hellolanding.com,< 10%,7.85%,39.91%,80.93%,25.98%,45.99%
2024-03-31,furnishedfinder.com,87.21%,96.50%,76.14%,95.24%,69.16%,17.57%
2024-03-31,apartmentlist.com,< 10%,3.86%,20.00%,54.36%,3.36%,65.73%
2024-03-31,evolve.com,14.59%,18.98%,59.09%,91.55%,26.39%,58.81%
2024-04-05,furnishedfinder.com,67.36%,90.92%,83.56%,93.26%,65.72%,10.86%
2024-04-05,apartmentlist.com,< 10%,3.03%,28.74%,72.70%,9.19%,44.82%
2024-04-05,evolve.com,12.34%,19.19%,74.82%,92.74%,38.34%,38.72%
2024-04-06,furnishedfinder.com,66.15%,91.34%,82.92%,94.49%,67.12%,11.52%
2024-04-06,apartmentlist.com,< 10%,2.92%,30.12%,76.84%,10.73%,47.06%
2024-04-06,evolve.com,14.24%,22.36%,72.28%,92.02%,36.15%,39.80%
2024-04-03,You,48.63%, --, --,92.67%,23.71%, --
2024-04-03,airbnb.com,24.56%,24.93%,30.27%,76.29%,16.79%,44.96%
2024-04-03,hellolanding.com,< 10%,7.63%,33.57%,83.69%,29.58%,47.39%
2024-04-03,furnishedfinder.com,61.96%,87.41%,69.43%,93.34%,57.45%,19.12%
2024-04-03,apartmentlist.com,< 10%,4.29%,34.16%,81.77%,13.54%,47.92%
2024-04-03,evolve.com,11.22%,16.64%,68.75%,93.99%,41.97%,43.07%
2024-03-28,You,66.37%, --, --,94.83%,18.86%, --
2024-03-28,airbnb.com,20.13%,21.86%,22.78%,65.77%,4.49%,63.06%
2024-03-28,hellolanding.com,< 10%,8.40%,37.50%,74.74%,10.88%,64.27%
2024-04-08,You,45.01%, --, --,90.08%,15.14%, --
2024-04-08,airbnb.com,23.80%,23.51%,30.99%,73.34%,15.94%,41.73%
2024-04-08,hellolanding.com,< 10%,6.68%,48.99%,83.33%,27.78%,43.54%
2024-03-28,furnishedfinder.com,85.62%,95.29%,77.55%,96.11%,70.52%,17.32%
2024-03-28,apartmentlist.com,< 10%,4.24%,13.76%,55.49%,2.31%,65.98%
2024-03-28,evolve.com,11.98%,16.06%,61.02%,88.58%,39.01%,59.86%
2024-04-08,furnishedfinder.com,63.35%,87.32%,79.72%,93.51%,62.76%,13.68%
2024-04-08,apartmentlist.com,< 10%,4.45%,31.82%,78.51%,14.88%,44.38%
2024-04-08,evolve.com,16.71%,25.50%,77.91%,94.28%,44.87%,36.07%
2024-03-29,You,63.87%, --, --,93.88%,20.48%, --
2024-03-29,airbnb.com,21.56%,23.22%,25.78%,67.47%,7.07%,60.05%
2024-03-29,hellolanding.com,< 10%,7.29%,33.95%,71.89%,6.91%,62.29%
2024-03-30,You,66.86%, --, --,94.90%,18.29%, --
2024-03-30,airbnb.com,19.50%,21.75%,17.48%,64.36%,4.79%,64.32%
2024-03-30,hellolanding.com,< 10%,6.11%,32.28%,74.86%,10.38%,65.54%
2024-04-01,You,64.29%, --, --,93.48%,17.87%, --
2024-04-01,airbnb.com,20.43%,23.07%,16.25%,53.24%,3.61%,61.88%
2024-04-01,hellolanding.com,< 10%,7.50%,29.28%,72.78%,8.54%,62.87%
2024-04-04,You,46.05%, --, --,91.71%,16.85%, --
2024-04-04,airbnb.com,25.82%,26.45%,31.04%,76.03%,17.84%,42.27%
2024-04-04,hellolanding.com,< 10%,7.49%,44.79%,85.80%,28.55%,44.50%
2024-04-07,You,47.01%, --, --,91.52%,15.66%, --
2024-04-07,airbnb.com,23.57%,23.12%,25.89%,73.47%,15.01%,44.20%
2024-04-07,hellolanding.com,< 10%,7.63%,41.70%,84.81%,28.85%,45.51%
2024-03-29,furnishedfinder.com,86.52%,96.76%,76.14%,96.41%,68.94%,16.82%
2024-03-29,apartmentlist.com,< 10%,4.28%,16.84%,57.14%,2.38%,63.41%
2024-03-29,evolve.com,13.65%,18.14%,61.79%,90.95%,36.21%,56.71%
2024-03-30,furnishedfinder.com,86.55%,96.54%,76.22%,96.02%,69.18%,17.66%
2024-03-30,apartmentlist.com,< 10%,3.95%,15.85%,52.59%,2.96%,66.44%
2024-03-30,evolve.com,15.67%,21.13%,57.18%,92.81%,33.47%,58.78%
2024-04-01,furnishedfinder.com,85.04%,95.78%,78.63%,95.46%,70.31%,15.87%
2024-04-01,evolve.com,15.63%,21.01%,63.34%,93.47%,34.86%,55.73%
2024-04-01,apartmentlist.com,< 10%,2.09%,30.65%,60.19%,10.19%,63.87%
2024-04-02,You,52.37%, --, --,92.18%,20.25%, --
2024-04-02,airbnb.com,24.09%,24.34%,24.46%,69.17%,13.18%,49.25%
2024-04-02,hellolanding.com,< 10%,5.79%,31.73%,81.84%,19.54%,51.41%
2024-04-09,You,44.93%, --, --,89.63%,16.59%, --
2024-04-09,airbnb.com,23.74%,24.94%,32.07%,75.06%,16.65%,41.34%
2024-04-09,hellolanding.com,< 10%,7.43%,42.63%,81.48%,26.42%,43.51%
2024-04-10,You,45.70%, --, --,89.33%,15.74%, --
2024-04-10,airbnb.com,25.45%,25.31%,30.57%,75.01%,16.91%,42.16%
2024-04-10,hellolanding.com,< 10%,7.20%,45.42%,82.90%,24.82%,44.20%
2024-04-04,furnishedfinder.com,61.06%,88.64%,78.77%,94.81%,64.36%,13.89%
2024-04-04,apartmentlist.com,< 10%,4.31%,29.53%,77.33%,12.98%,45.46%
2024-04-04,evolve.com,11.51%,18.67%,70.43%,93.41%,38.84%,39.99%
2024-04-07,furnishedfinder.com,64.77%,87.59%,79.89%,93.50%,64.43%,14.12%
2024-04-07,apartmentlist.com,< 10%,4.10%,20.00%,76.29%,13.62%,46.62%
2024-04-07,evolve.com,17.52%,26.09%,75.23%,93.12%,39.45%,37.78%
2024-04-02,furnishedfinder.com,68.87%,90.18%,75.72%,95.11%,68.10%,16.61%
2024-04-02,apartmentlist.com,< 10%,4.09%,22.45%,76.17%,12.85%,51.89%
2024-04-02,evolve.com,11.36%,17.89%,65.16%,92.05%,35.51%,46.26%
2024-04-09,furnishedfinder.com,61.66%,87.97%,78.86%,93.27%,61.60%,13.76%
2024-04-09,apartmentlist.com,< 10%,3.70%,40.80%,81.87%,15.74%,44.25%
2024-04-09,evolve.com,14.65%,22.45%,77.18%,93.64%,42.96%,37.14%
2024-04-10,furnishedfinder.com,64.04%,88.19%,79.53%,93.54%,63.05%,13.65%
2024-04-10,apartmentlist.com,< 10%,3.96%,37.12%,76.36%,11.72%,45.03%
2024-04-10,evolve.com,14.99%,22.58%,75.96%,92.05%,41.68%,37.86%
