Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-03-09,furnishedfinder.com,81.87%,88.13%,61.36%,96.57%,59.96%,34.72%
2024-03-09,info.com,< 10%,4.65%,15.79%,89.92%,3.10%,75.05%
2024-03-09,evolve.com,< 10%,8.44%,57.97%,97.83%,43.91%,71.91%
2024-03-09,favoes.com,< 10%,8.89%,6.42%,76.11%,1.21%,75.18%
2024-03-12,furnishedfinder.com,77.59%,84.40%,56.56%,95.24%,55.39%,39.40%
2024-03-12,info.com,< 10%,5.33%,13.70%,91.46%,8.54%,74.83%
2024-03-12,evolve.com,< 10%,9.02%,57.49%,94.57%,43.84%,71.48%
2024-03-12,favoes.com,< 10%,8.62%,8.47%,81.92%,1.15%,74.83%
2024-03-09,You,75.61%, --, --,94.86%,37.28%, --
2024-03-09,airbnb.com,24.05%,26.10%,14.53%,70.26%,7.05%,72.74%
2024-03-09,hellolanding.com,< 10%,7.59%,29.57%,80.00%,15.32%,73.91%
2024-03-10,furnishedfinder.com,80.56%,87.13%,56.62%,96.78%,56.04%,39.33%
2024-03-10,info.com,< 10%,4.24%,13.46%,91.80%,5.74%,77.17%
2024-03-10,evolve.com,< 10%,9.00%,59.28%,93.59%,44.44%,73.47%
2024-03-10,favoes.com,< 10%,10.55%,6.18%,81.14%,1.01%,77.11%
2024-03-10,You,77.62%, --, --,95.44%,42.89%, --
2024-03-10,airbnb.com,22.38%,24.20%,16.50%,69.49%,6.07%,74.52%
2024-03-10,hellolanding.com,< 10%,6.48%,28.93%,76.50%,17.00%,76.16%
2024-03-12,You,75.39%, --, --,95.73%,43.90%, --
2024-03-12,airbnb.com,21.89%,24.11%,16.06%,73.58%,6.79%,72.47%
2024-03-12,hellolanding.com,< 10%,7.16%,23.98%,83.12%,16.03%,74.09%
2024-03-01,furnishedfinder.com,87.26%,91.83%,68.26%,97.49%,66.67%,29.86%
2024-03-01,info.com,< 10%,7.79%,17.30%,94.31%,6.64%,78.93%
2024-03-01,evolve.com,< 10%,6.36%,54.30%,95.86%,38.46%,77.25%
2024-03-01,favoes.com,< 10%,7.92%,6.91%,81.04%,1.90%,79.58%
2024-03-03,furnishedfinder.com,85.18%,89.52%,60.81%,96.83%,59.40%,36.96%
2024-03-03,info.com,< 10%,6.77%,16.76%,94.21%,6.32%,80.20%
2024-03-03,evolve.com,< 10%,8.41%,57.67%,96.17%,44.26%,77.19%
2024-03-03,favoes.com,< 10%,10.68%,3.30%,80.55%,0.68%,80.84%
2024-03-01,You,80.01%, --, --,95.20%,31.97%, --
2024-03-01,airbnb.com,25.14%,25.48%,19.17%,73.86%,6.30%,76.10%
2024-03-01,hellolanding.com,< 10%,8.68%,25.73%,75.49%,10.12%,78.23%
2024-03-03,You,81.12%, --, --,95.70%,39.50%, --
2024-03-03,airbnb.com,24.68%,26.67%,15.69%,69.28%,5.01%,77.73%
2024-03-03,hellolanding.com,< 10%,6.92%,26.55%,72.55%,11.27%,79.63%
2024-03-06,furnishedfinder.com,72.67%,77.20%,55.73%,95.33%,55.81%,43.71%
2024-03-06,info.com,< 10%,8.11%,13.97%,92.75%,8.40%,75.85%
2024-03-06,evolve.com,< 10%,8.68%,62.04%,94.46%,47.97%,72.59%
2024-03-06,favoes.com,< 10%,10.52%,3.70%,79.13%,1.74%,76.42%
2024-03-08,furnishedfinder.com,82.84%,89.21%,63.76%,96.42%,61.89%,33.48%
2024-03-08,info.com,< 10%,6.40%,15.72%,91.43%,2.86%,76.87%
2024-03-08,evolve.com,< 10%,10.63%,62.88%,97.89%,47.02%,72.46%
2024-03-08,favoes.com,< 10%,8.49%,3.79%,75.52%,2.07%,77.40%
2024-03-11,furnishedfinder.com,77.00%,83.59%,56.98%,96.29%,56.77%,40.11%
2024-03-11,info.com,< 10%,5.52%,20.73%,90.91%,5.88%,75.71%
2024-03-11,evolve.com,< 10%,8.51%,57.31%,95.37%,43.06%,72.85%
2024-03-11,favoes.com,< 10%,9.28%,5.80%,83.99%,0.65%,76.17%
2024-03-06,You,76.72%, --, --,95.82%,46.25%, --
2024-03-06,airbnb.com,25.29%,27.55%,15.94%,72.50%,6.66%,73.35%
2024-03-06,hellolanding.com,< 10%,7.19%,23.65%,76.95%,13.17%,75.41%
2024-03-08,You,77.65%, --, --,95.57%,35.47%, --
2024-03-08,airbnb.com,24.60%,26.37%,14.35%,65.57%,5.46%,74.71%
2024-03-08,hellolanding.com,< 10%,7.61%,26.98%,75.76%,15.58%,76.06%
2024-03-11,You,76.58%, --, --,96.30%,44.33%, --
2024-03-11,airbnb.com,22.23%,23.58%,17.40%,69.29%,6.60%,73.44%
2024-03-11,hellolanding.com,< 10%,7.94%,22.46%,77.50%,8.93%,75.22%
2024-02-29,furnishedfinder.com,93.01%,97.97%,70.75%,97.24%,68.72%,23.81%
2024-02-29,info.com,< 10%,7.69%,13.47%,91.28%,2.29%,76.78%
2024-02-29,evolve.com,< 10%,6.97%,60.00%,96.35%,40.10%,74.34%
2024-02-29,favoes.com,< 10%,6.90%,10.40%,78.87%,0.52%,77.03%
2024-03-02,furnishedfinder.com,90.43%,94.39%,66.13%,96.86%,64.27%,29.17%
2024-03-02,info.com,< 10%,6.25%,15.65%,89.51%,4.32%,76.86%
2024-03-02,evolve.com,< 10%,8.59%,58.42%,93.98%,41.67%,73.73%
2024-03-02,favoes.com,< 10%,9.52%,2.23%,74.70%,0.00%,77.46%
2024-03-04,furnishedfinder.com,81.17%,86.05%,62.01%,96.27%,62.00%,36.70%
2024-03-04,info.com,< 10%,6.48%,14.44%,93.17%,3.41%,77.96%
2024-03-04,evolve.com,< 10%,6.86%,54.55%,95.07%,37.67%,75.75%
2024-03-04,favoes.com,< 10%,8.24%,4.20%,87.88%,1.89%,78.42%
2024-03-05,furnishedfinder.com,75.01%,78.70%,56.33%,95.68%,57.29%,43.31%
2024-03-05,info.com,< 10%,7.82%,14.35%,92.56%,4.55%,76.92%
2024-03-05,evolve.com,< 10%,8.19%,59.29%,97.98%,48.18%,74.02%
2024-03-05,favoes.com,10.37%,11.92%,6.99%,77.99%,2.72%,77.15%
2024-02-29,You,77.58%, --, --,96.77%,27.66%, --
2024-02-29,airbnb.com,24.89%,26.70%,18.96%,70.06%,3.98%,73.65%
2024-02-29,hellolanding.com,< 10%,8.61%,35.19%,71.20%,12.00%,75.23%
2024-03-02,You,77.62%, --, --,94.81%,32.48%, --
2024-03-02,airbnb.com,28.28%,30.14%,22.71%,74.91%,6.42%,72.31%
2024-03-02,hellolanding.com,< 10%,8.80%,28.02%,76.25%,14.94%,75.71%
2024-03-04,You,78.69%, --, --,95.57%,40.03%, --
2024-03-04,airbnb.com,23.46%,24.76%,20.70%,72.94%,7.55%,74.66%
2024-03-04,hellolanding.com,< 10%,7.72%,24.66%,80.83%,10.53%,77.19%
2024-03-05,You,77.80%, --, --,94.93%,45.78%, --
2024-03-05,airbnb.com,22.06%,23.83%,18.09%,74.97%,9.32%,74.44%
2024-03-05,hellolanding.com,< 10%,6.95%,22.40%,79.56%,11.11%,76.58%
2024-03-13,furnishedfinder.com,77.14%,87.04%,65.23%,96.38%,62.59%,27.36%
2024-03-13,info.com,< 10%,5.44%,13.61%,86.98%,6.25%,62.82%
2024-03-13,evolve.com,< 10%,8.56%,68.40%,93.84%,47.10%,59.59%
2024-03-13,favoes.com,< 10%,7.63%,3.88%,75.57%,2.67%,63.10%
2024-03-13,You,63.29%, --, --,94.85%,34.78%, --
2024-03-13,airbnb.com,21.87%,25.07%,16.99%,70.63%,6.97%,60.60%
2024-03-13,hellolanding.com,< 10%,9.15%,29.55%,82.65%,14.41%,61.58%
2024-03-07,furnishedfinder.com,77.83%,81.96%,60.66%,95.53%,59.71%,38.68%
2024-03-07,info.com,< 10%,7.63%,12.17%,89.47%,5.26%,76.22%
2024-03-07,evolve.com,< 10%,9.81%,56.38%,94.49%,42.13%,72.68%
2024-03-07,favoes.com,< 10%,6.78%,4.17%,74.05%,1.62%,76.72%
2024-03-07,You,76.93%, --, --,96.00%,41.40%, --
2024-03-07,airbnb.com,25.33%,26.84%,15.94%,70.96%,8.46%,73.64%
2024-03-07,hellolanding.com,< 10%,7.22%,27.93%,85.51%,12.62%,75.38%
