Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-04-05,hometogo.com,< 10%,8.30%,21.87%,61.58%,11.29%,39.89%
2024-04-05,evolve.com,< 10%,12.57%,41.95%,89.30%,33.56%,38.49%
2024-04-06,apartmentlist.com,< 10%,7.10%,30.88%,79.29%,12.88%,43.46%
2024-04-06,hometogo.com,< 10%,8.75%,26.49%,62.48%,11.68%,43.40%
2024-04-06,travelnursehousing.com,23.50%,48.89%,14.69%,92.38%,11.29%,41.24%
2024-03-28,apartmentlist.com,< 10%,7.67%,13.03%,73.15%,8.04%,44.74%
2024-04-06,evolve.com,< 10%,15.37%,37.91%,88.98%,33.52%,41.84%
2024-04-05,apartmentlist.com,< 10%,8.66%,29.48%,77.85%,12.21%,39.59%
2024-04-09,evolve.com,< 10%,15.82%,48.61%,89.74%,36.45%,37.00%
2024-03-28,hometogo.com,< 10%,6.09%,12.18%,46.52%,4.53%,44.86%
2024-03-28,evolve.com,< 10%,8.48%,47.15%,89.01%,36.34%,43.38%
2024-03-28,travelnursehousing.com,15.19%,32.52%,18.35%,94.77%,15.08%,42.50%
2024-04-05,travelnursehousing.com,20.14%,42.77%,12.73%,91.46%,9.68%,38.42%
2024-04-09,apartmentlist.com,< 10%,9.32%,34.18%,84.99%,18.62%,38.80%
2024-04-09,hometogo.com,< 10%,5.92%,13.93%,47.03%,5.62%,39.75%
2024-04-09,travelnursehousing.com,20.57%,45.35%,19.35%,90.79%,14.28%,36.57%
2024-04-05,trustedhealth.com,< 10%,2.65%,30.71%,84.76%,22.49%,40.30%
2024-04-06,trustedhealth.com,< 10%,2.65%,33.07%,87.74%,21.97%,44.04%
2024-04-09,trustedhealth.com,< 10%,2.07%,27.43%,84.06%,19.15%,39.85%
2024-03-28,trustedhealth.com,< 10%,2.57%,28.19%,87.65%,26.76%,44.87%
2024-04-06,airbnb.com,24.14%,27.52%,31.41%,81.71%,30.28%,40.59%
