Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-02-23,You,76.46%, --, --,94.05%,21.60%, --
2024-02-23,airbnb.com,13.39%,13.15%,12.79%,53.45%,2.71%,75.17%
2024-02-23,hellolanding.com,< 10%,9.01%,33.01%,67.45%,10.98%,74.18%
2024-02-23,hosthealthcare.com,< 10%,4.92%,14.91%,90.65%,0.72%,75.90%
2024-02-26,You,76.55%, --, --,94.94%,23.31%, --
2024-02-26,airbnb.com,18.93%,19.88%,16.48%,62.30%,2.36%,74.05%
2024-02-26,hellolanding.com,< 10%,7.61%,29.19%,63.86%,10.04%,74.85%
2024-02-26,hosthealthcare.com,< 10%,9.29%,12.55%,95.76%,0.00%,75.66%
2024-02-26,furnishedfinder.com,92.84%,97.49%,75.38%,97.03%,72.97%,20.30%
2024-02-26,info.com,< 10%,10.34%,17.96%,93.67%,4.82%,75.13%
2024-02-26,evolve.com,< 10%,7.54%,67.63%,96.19%,41.95%,72.65%
2024-02-26,favoes.com,< 10%,7.14%,5.61%,74.45%,0.00%,76.25%
2024-02-23,furnishedfinder.com,93.57%,97.15%,76.83%,97.11%,72.90%,19.39%
2024-02-23,info.com,< 10%,9.40%,22.94%,89.52%,6.85%,74.81%
2024-02-23,evolve.com,< 10%,8.37%,72.68%,95.95%,46.40%,71.81%
2024-02-23,favoes.com,12.23%,14.14%,12.80%,78.17%,0.27%,75.07%
2024-02-20,You,75.42%, --, --,92.92%,14.09%, --
2024-02-20,airbnb.com,14.58%,14.09%,14.95%,59.40%,2.26%,73.84%
2024-02-20,hellolanding.com,< 10%,7.99%,30.91%,74.02%,9.25%,73.56%
2024-02-20,hosthealthcare.com,< 10%,5.38%,19.59%,94.35%,1.13%,74.63%
2024-02-25,You,78.72%, --, --,94.35%,22.72%, --
2024-02-25,airbnb.com,16.50%,16.30%,14.15%,58.17%,1.83%,76.91%
2024-02-25,hellolanding.com,< 10%,5.19%,31.11%,67.08%,9.32%,77.45%
2024-02-25,hosthealthcare.com,< 10%,8.04%,12.92%,93.89%,0.87%,77.91%
2024-02-20,furnishedfinder.com,95.84%,98.66%,84.79%,97.88%,80.07%,12.33%
2024-02-20,info.com,< 10%,7.56%,22.12%,83.97%,3.05%,74.16%
2024-02-20,evolve.com,< 10%,8.25%,73.57%,95.88%,43.07%,70.85%
2024-02-20,favoes.com,< 10%,10.28%,6.01%,73.68%,0.00%,74.96%
2024-02-25,furnishedfinder.com,95.97%,98.89%,75.31%,97.10%,72.03%,20.10%
2024-02-25,info.com,< 10%,6.15%,17.50%,85.71%,3.43%,77.88%
2024-02-25,evolve.com,< 10%,9.80%,74.12%,98.93%,48.21%,73.00%
2024-02-25,favoes.com,< 10%,5.88%,2.61%,64.85%,0.00%,78.60%
2024-02-16,You,75.18%, --, --,93.28%,7.77%, --
2024-02-16,airbnb.com,11.87%,11.80%,13.60%,57.69%,1.37%,73.97%
2024-02-16,hellolanding.com,< 10%,6.59%,20.39%,60.50%,2.00%,74.17%
2024-02-16,hosthealthcare.com,< 10%,6.20%,14.69%,90.53%,3.55%,74.49%
2024-02-21,You,77.26%, --, --,93.68%,35.83%, --
2024-02-21,airbnb.com,15.31%,15.41%,13.59%,59.32%,5.91%,75.64%
2024-02-21,hellolanding.com,< 10%,8.95%,34.13%,75.67%,15.00%,74.90%
2024-02-21,hosthealthcare.com,< 10%,4.19%,6.78%,95.59%,2.21%,77.04%
2024-02-22,You,79.36%, --, --,94.91%,38.74%, --
2024-02-22,airbnb.com,14.71%,15.45%,12.98%,63.13%,5.41%,77.77%
2024-02-22,hellolanding.com,< 10%,8.06%,33.64%,77.51%,22.49%,77.21%
2024-02-22,hosthealthcare.com,< 10%,5.46%,10.88%,93.79%,3.73%,78.89%
2024-02-27,You,78.81%, --, --,94.87%,23.04%, --
2024-02-27,airbnb.com,19.28%,19.76%,16.94%,66.96%,3.49%,76.17%
2024-02-27,hellolanding.com,< 10%,7.05%,26.26%,61.44%,9.75%,77.35%
2024-02-27,hosthealthcare.com,10.75%,12.11%,11.47%,96.08%,1.04%,77.72%
2024-02-16,furnishedfinder.com,95.83%,99.35%,92.10%,98.20%,87.95%,6.39%
2024-02-16,info.com,< 10%,6.03%,28.06%,81.28%,1.60%,73.91%
2024-02-16,evolve.com,< 10%,7.64%,75.00%,93.89%,27.95%,70.87%
2024-02-16,favoes.com,< 10%,9.02%,6.73%,74.18%,0.82%,74.72%
2024-02-21,furnishedfinder.com,65.95%,66.65%,80.71%,97.59%,77.20%,35.69%
2024-02-21,info.com,10.18%,10.97%,23.30%,91.37%,11.05%,75.28%
2024-02-21,evolve.com,< 10%,7.78%,72.15%,93.73%,47.06%,72.92%
2024-02-21,favoes.com,13.20%,14.74%,7.23%,82.74%,1.66%,76.43%
2024-02-27,furnishedfinder.com,93.32%,97.26%,75.06%,96.87%,72.39%,21.27%
2024-02-27,info.com,< 10%,9.29%,19.92%,94.35%,4.95%,77.35%
2024-02-27,evolve.com,< 10%,6.48%,60.99%,93.50%,39.00%,75.69%
2024-02-27,favoes.com,< 10%,6.34%,4.49%,70.37%,0.00%,78.59%
2024-02-22,furnishedfinder.com,62.38%,63.78%,76.00%,97.45%,72.87%,40.89%
2024-02-22,info.com,10.79%,12.56%,23.08%,92.08%,9.56%,77.06%
2024-02-22,evolve.com,< 10%,9.44%,77.17%,96.21%,55.17%,73.58%
2024-02-22,favoes.com,15.18%,17.64%,8.84%,89.13%,3.11%,78.13%
2024-02-17,You,74.64%, --, --,91.88%,7.80%, --
2024-02-17,airbnb.com,15.78%,15.51%,14.91%,59.23%,2.79%,72.92%
2024-02-17,hellolanding.com,< 10%,7.71%,30.59%,66.34%,6.83%,72.88%
2024-02-17,hosthealthcare.com,< 10%,2.13%,17.02%,96.36%,0.00%,74.37%
2024-02-18,You,76.77%, --, --,92.48%,9.93%, --
2024-02-18,airbnb.com,13.27%,12.80%,11.04%,52.88%,1.20%,75.69%
2024-02-18,hellolanding.com,< 10%,7.44%,30.73%,68.64%,6.36%,75.02%
