Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-06-10,evolve.com,28.30%,44.04%,83.27%,93.07%,40.51%,21.99%
2024-06-10,hellolanding.com,< 10%,3.68%,42.06%,65.00%,22.00%,34.19%
2024-06-18,airbnb.com,31.79%,36.58%,39.38%,80.02%,26.55%,30.82%
2024-06-18,hellolanding.com,< 10%,8.12%,36.25%,73.37%,27.94%,34.94%
2024-06-10,furnishedfinder.com,64.03%,85.67%,90.65%,92.58%,62.43%,7.76%
2024-06-10,hometogo.com,< 10%,2.25%,15.58%,27.98%,1.11%,34.61%
2024-06-18,apartmentlist.com,< 10%,5.76%,29.71%,74.28%,14.25%,35.39%
2024-06-18,evolve.com,17.27%,31.00%,54.95%,90.12%,34.86%,29.87%
2024-06-10,airbnb.com,33.78%,36.84%,48.73%,74.69%,21.85%,28.49%
2024-06-18,hometogo.com,< 10%,4.82%,19.91%,44.97%,2.01%,35.66%
2024-06-18,furnishedfinder.com,46.50%,74.89%,68.11%,91.43%,51.06%,17.64%
2024-06-10,apartmentlist.com,< 10%,6.02%,30.58%,70.40%,12.67%,34.09%
2024-06-18,You,36.00%, --, --,88.39%,21.82%, --
2024-06-10,You,34.73%, --, --,81.17%,5.76%, --
2024-06-09,evolve.com,28.55%,44.14%,80.52%,94.66%,40.49%,26.95%
2024-06-09,airbnb.com,31.26%,35.17%,44.34%,77.66%,22.65%,35.29%
2024-06-09,hellolanding.com,< 10%,6.79%,35.96%,60.33%,17.59%,40.79%
2024-06-09,apartmentlist.com,< 10%,5.66%,31.95%,66.52%,9.01%,41.06%
2024-06-09,hometogo.com,< 10%,2.31%,28.99%,42.32%,3.73%,41.53%
2024-06-09,furnishedfinder.com,65.07%,85.88%,88.07%,92.28%,63.12%,10.19%
2024-06-09,You,41.81%, --, --,84.37%,7.83%, --
2024-06-06,evolve.com,24.91%,39.77%,81.68%,92.57%,46.54%,24.59%
2024-06-06,airbnb.com,31.29%,32.93%,51.23%,78.89%,24.84%,30.27%
2024-06-06,hellolanding.com,< 10%,4.63%,40.56%,68.66%,21.03%,35.73%
2024-06-06,apartmentlist.com,< 10%,4.53%,33.57%,65.76%,9.34%,35.86%
2024-06-06,hometogo.com,< 10%,2.30%,32.39%,45.73%,4.13%,36.14%
2024-06-06,furnishedfinder.com,58.01%,82.90%,85.20%,92.48%,59.04%,10.70%
2024-06-06,You,36.42%, --, --,83.78%,8.94%, --
2024-06-11,apartmentlist.com,< 10%,4.97%,32.76%,70.89%,11.38%,36.82%
2024-06-11,hometogo.com,< 10%,2.08%,23.29%,40.37%,2.64%,37.24%
2024-06-11,evolve.com,27.24%,45.75%,83.46%,94.27%,44.21%,23.14%
2024-06-11,airbnb.com,31.27%,33.87%,48.48%,76.28%,21.05%,31.28%
2024-06-11,hellolanding.com,< 10%,4.00%,39.29%,64.88%,20.45%,36.84%
2024-06-11,furnishedfinder.com,62.48%,86.38%,89.32%,92.37%,60.85%,8.55%
2024-06-11,You,37.43%, --, --,81.78%,6.17%, --
2024-06-14,hellolanding.com,< 10%,8.96%,37.01%,73.25%,26.93%,32.48%
2024-06-14,hometogo.com,< 10%,3.95%,22.02%,40.29%,2.69%,33.30%
2024-06-08,apartmentlist.com,< 10%,5.42%,31.58%,66.30%,11.11%,40.13%
2024-06-08,furnishedfinder.com,58.37%,84.34%,84.18%,91.89%,56.56%,11.84%
2024-06-14,furnishedfinder.com,42.73%,73.97%,73.55%,90.89%,48.54%,15.32%
2024-06-08,airbnb.com,37.15%,37.28%,50.33%,80.87%,27.40%,33.16%
