Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-04-12,You,44.27%, --, --,89.21%,10.27%, --
2024-04-12,airbnb.com,24.18%,24.92%,35.57%,74.41%,15.75%,40.35%
2024-04-12,trustedhealth.com,< 10%,2.22%,46.67%,88.52%,18.03%,43.81%
2024-04-12,hellolanding.com,< 10%,8.19%,46.61%,80.73%,30.34%,42.58%
2024-04-12,furnishedfinder.com,67.04%,91.32%,85.10%,92.58%,64.64%,9.87%
2024-04-12,ayahealthcare.com,< 10%,2.93%,55.70%,82.69%,34.63%,43.55%
2024-04-12,apartmentlist.com,< 10%,4.75%,39.06%,82.43%,12.15%,43.45%
2024-04-12,evolve.com,15.82%,25.25%,77.09%,92.22%,38.49%,35.65%
2024-04-17,You,43.02%, --, --,89.48%,12.79%, --
2024-04-17,airbnb.com,27.99%,27.69%,38.50%,77.50%,20.73%,38.44%
2024-04-17,trustedhealth.com,< 10%,1.84%,54.69%,81.84%,17.39%,42.59%
2024-04-17,hellolanding.com,< 10%,8.10%,44.84%,84.66%,28.87%,41.46%
2024-04-17,furnishedfinder.com,60.94%,88.65%,81.57%,93.09%,60.32%,11.91%
2024-04-17,ayahealthcare.com,< 10%,1.99%,50.72%,86.98%,34.64%,42.59%
2024-04-17,apartmentlist.com,< 10%,5.13%,32.02%,74.63%,10.32%,42.32%
2024-04-17,evolve.com,15.34%,25.21%,73.03%,91.84%,42.97%,35.10%
2024-04-24,You,23.09%, --, --,91.32%,24.39%, --
2024-04-24,airbnb.com,24.80%,32.84%,31.72%,81.97%,20.56%,20.68%
2024-04-24,trustedhealth.com,< 10%,1.73%,40.00%,83.57%,18.48%,22.93%
2024-04-24,hellolanding.com,< 10%,8.10%,44.82%,82.06%,28.13%,22.25%
2024-04-24,furnishedfinder.com,35.88%,65.33%,76.29%,92.84%,52.14%,11.58%
2024-04-24,ayahealthcare.com,< 10%,2.92%,43.75%,84.96%,35.56%,22.79%
2024-04-24,apartmentlist.com,< 10%,10.44%,28.15%,78.73%,16.38%,22.41%
2024-04-24,evolve.com,< 10%,16.02%,76.54%,95.47%,38.96%,20.26%
2024-04-13,You,45.16%, --, --,88.90%,11.71%, --
2024-04-13,airbnb.com,26.74%,25.55%,34.29%,73.65%,18.53%,41.20%
2024-04-13,trustedhealth.com,< 10%,2.01%,42.86%,80.79%,15.55%,44.77%
2024-04-13,hellolanding.com,< 10%,8.35%,45.59%,81.52%,28.00%,43.44%
2024-04-14,You,46.50%, --, --,89.65%,12.87%, --
2024-04-14,airbnb.com,25.03%,24.34%,33.05%,73.81%,16.76%,42.75%
2024-04-14,trustedhealth.com,< 10%,1.85%,26.42%,79.17%,14.58%,46.27%
2024-04-14,hellolanding.com,< 10%,7.66%,47.49%,83.48%,27.65%,44.80%
2024-04-16,You,42.82%, --, --,89.56%,15.99%, --
2024-04-16,airbnb.com,30.13%,28.70%,37.81%,79.25%,22.11%,38.18%
2024-04-16,trustedhealth.com,< 10%,1.97%,36.11%,79.17%,12.99%,42.52%
2024-04-16,hellolanding.com,< 10%,8.42%,49.35%,86.87%,34.25%,41.04%
2024-04-15,You,42.82%, --, --,89.92%,13.30%, --
2024-04-15,airbnb.com,24.02%,24.08%,29.79%,71.83%,18.95%,39.75%
2024-04-15,trustedhealth.com,< 10%,2.27%,44.87%,81.99%,17.58%,42.39%
2024-04-15,hellolanding.com,< 10%,7.38%,50.39%,85.52%,32.41%,41.23%
2024-04-13,furnishedfinder.com,65.40%,91.03%,85.29%,93.64%,64.43%,10.10%
2024-04-13,ayahealthcare.com,< 10%,1.72%,26.19%,77.00%,28.00%,44.95%
2024-04-13,apartmentlist.com,< 10%,5.65%,34.78%,79.01%,11.83%,44.27%
2024-04-13,evolve.com,16.68%,26.54%,76.39%,91.91%,36.70%,36.00%
2024-04-18,You,41.31%, --, --,89.15%,9.78%, --
2024-04-18,airbnb.com,29.81%,27.64%,41.78%,76.11%,17.55%,36.54%
2024-04-18,trustedhealth.com,< 10%,1.42%,54.05%,81.27%,16.33%,40.99%
2024-04-18,hellolanding.com,< 10%,6.35%,52.73%,85.44%,28.54%,39.93%
2024-04-14,furnishedfinder.com,66.92%,89.51%,84.17%,93.73%,66.49%,11.47%
2024-04-14,ayahealthcare.com,< 10%,1.22%,42.86%,82.81%,25.52%,46.25%
2024-04-14,apartmentlist.com,< 10%,5.39%,34.42%,75.52%,12.24%,45.63%
2024-04-14,evolve.com,18.28%,26.76%,71.63%,90.84%,33.99%,37.58%
2024-04-15,furnishedfinder.com,60.61%,85.36%,82.44%,91.38%,60.50%,12.69%
2024-04-15,ayahealthcare.com,< 10%,1.77%,44.26%,81.23%,33.14%,42.49%
2024-04-15,apartmentlist.com,< 10%,6.59%,30.84%,79.31%,14.10%,41.95%
2024-04-15,evolve.com,16.33%,26.75%,77.09%,93.53%,40.75%,33.99%
2024-04-20,You,23.28%, --, --,68.28%,1.55%, --
2024-04-20,airbnb.com,33.77%,22.44%,72.41%,72.93%,6.93%,19.50%
