Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-06-14,You,47.14%, --, --,88.86%,45.86%, --
2024-06-14,evolve.com,13.92%,24.68%,49.09%,93.26%,42.12%,41.43%
2024-06-14,hellolanding.com,< 10%,10.07%,36.25%,75.37%,28.26%,45.42%
2024-06-14,apartmentlist.com,< 10%,7.65%,23.98%,70.33%,12.06%,46.27%
2024-06-14,hometogo.com,< 10%,5.97%,13.91%,46.91%,3.70%,46.75%
2024-06-14,travelnursehousing.com,22.68%,43.31%,23.05%,88.60%,14.67%,42.43%
2024-06-14,airbnb.com,34.85%,41.22%,39.29%,84.64%,34.60%,39.50%
2024-06-14,vrbo.com,< 10%,4.59%,41.89%,81.51%,24.49%,46.23%
2024-06-07,You,48.41%, --, --,87.35%,48.32%, --
2024-06-07,evolve.com,14.18%,23.98%,50.50%,94.63%,45.74%,42.55%
2024-06-07,hellolanding.com,< 10%,7.71%,41.44%,76.48%,31.36%,46.87%
2024-06-07,airbnb.com,35.17%,41.81%,39.53%,85.00%,34.97%,40.41%
2024-06-07,hometogo.com,< 10%,6.47%,19.90%,48.47%,3.97%,47.79%
2024-06-07,travelnursehousing.com,17.08%,33.78%,10.30%,84.23%,5.68%,46.73%
2024-06-07,apartmentlist.com,< 10%,9.65%,27.35%,78.41%,13.71%,47.13%
2024-06-07,vrbo.com,< 10%,5.09%,43.75%,81.07%,26.19%,47.33%
2024-06-08,evolve.com,14.47%,26.14%,48.33%,91.14%,42.49%,40.59%
2024-06-08,hometogo.com,< 10%,5.31%,23.16%,51.24%,4.40%,45.89%
2024-06-08,You,46.46%, --, --,87.83%,48.00%, --
2024-06-08,travelnursehousing.com,18.76%,37.99%,12.95%,84.82%,7.15%,44.17%
2024-06-08,airbnb.com,36.82%,42.09%,39.75%,85.77%,36.37%,38.69%
2024-06-08,hellolanding.com,< 10%,7.97%,35.75%,78.79%,29.85%,45.14%
2024-06-08,apartmentlist.com,< 10%,10.15%,34.86%,75.85%,15.65%,44.81%
2024-06-08,vrbo.com,< 10%,4.49%,47.30%,81.83%,27.71%,45.47%
2024-06-19,travelnursehousing.com,27.24%,48.03%,41.11%,88.81%,22.72%,36.01%
2024-06-13,travelnursehousing.com,19.48%,36.84%,16.75%,86.07%,9.53%,44.70%
2024-06-19,You,44.87%, --, --,87.18%,38.85%, --
2024-06-13,hellolanding.com,< 10%,10.34%,34.68%,75.61%,27.76%,45.93%
2024-06-13,evolve.com,14.32%,24.91%,50.45%,93.22%,43.99%,41.65%
2024-06-13,You,47.64%, --, --,87.73%,46.68%, --
2024-06-19,evolve.com,18.27%,27.04%,60.84%,93.58%,47.21%,37.49%
2024-06-13,apartmentlist.com,< 10%,9.83%,24.36%,74.39%,14.71%,46.50%
