Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-06-02,vrbo.com,< 10%,5.18%,39.53%,83.03%,31.65%,54.68%
2024-06-04,vrbo.com,< 10%,4.18%,44.44%,80.34%,28.05%,55.30%
2024-05-24,You,37.86%, --, --,88.85%,46.43%, --
2024-05-24,airbnb.com,27.31%,39.94%,45.06%,87.67%,33.87%,31.04%
2024-05-31,airbnb.com,27.25%,34.78%,30.28%,83.05%,25.17%,48.67%
2024-06-02,airbnb.com,28.49%,36.81%,30.06%,82.87%,25.69%,49.65%
2024-05-31,vrbo.com,< 10%,4.99%,38.29%,77.82%,28.73%,53.36%
2024-06-04,You,56.35%, --, --,90.20%,52.80%, --
2024-06-04,airbnb.com,30.60%,39.07%,33.81%,83.67%,28.43%,48.90%
2024-05-25,vrbo.com,< 10%,6.19%,43.78%,84.61%,32.16%,37.90%
2024-06-02,travelnursehousing.com,20.40%,35.19%,7.38%,85.30%,3.67%,54.38%
2024-06-02,hometogo.com,< 10%,7.49%,18.39%,50.90%,6.93%,55.06%
2024-06-04,trustedhealth.com,< 10%,3.82%,28.99%,84.03%,13.58%,55.72%
2024-05-25,You,38.95%, --, --,89.50%,48.22%, --
2024-06-04,travelnursehousing.com,24.15%,40.12%,13.03%,86.83%,8.60%,53.40%
2024-06-02,ayahealthcare.com,< 10%,3.37%,41.84%,89.11%,37.22%,55.04%
2024-05-25,trustedhealth.com,< 10%,3.93%,33.73%,83.90%,14.14%,38.44%
2024-06-04,ayahealthcare.com,< 10%,3.06%,53.40%,85.23%,34.84%,55.43%
2024-06-04,hometogo.com,< 10%,7.04%,16.17%,51.60%,6.80%,55.71%
2024-05-31,travelnursehousing.com,17.72%,31.65%,4.86%,85.77%,3.36%,53.57%
2024-05-25,ayahealthcare.com,< 10%,3.37%,50.23%,92.65%,38.81%,38.29%
2024-06-02,evolve.com,14.25%,23.40%,36.54%,93.59%,34.05%,51.05%
2024-05-31,evolve.com,10.42%,17.52%,25.08%,90.90%,21.78%,52.01%
2024-06-04,apartmentlist.com,< 10%,9.83%,23.98%,71.46%,10.13%,55.02%
2024-05-24,evolve.com,< 10%,19.59%,35.81%,93.30%,32.38%,35.20%
2024-06-02,You,55.83%, --, --,90.38%,56.00%, --
2024-05-31,hellolanding.com,< 10%,8.10%,31.58%,72.57%,27.75%,53.01%
2024-06-04,hellolanding.com,< 10%,6.40%,39.85%,77.17%,30.59%,54.91%
2024-05-25,evolve.com,< 10%,20.20%,35.14%,92.71%,31.09%,36.19%
2024-05-25,apartmentlist.com,< 10%,9.78%,26.61%,76.91%,11.01%,37.94%
2024-06-02,apartmentlist.com,< 10%,11.48%,24.59%,73.21%,13.50%,54.25%
2024-05-31,You,54.40%, --, --,90.79%,59.68%, --
2024-05-24,hellolanding.com,< 10%,7.97%,51.09%,84.08%,35.28%,36.31%
2024-06-02,hellolanding.com,< 10%,9.93%,28.42%,71.99%,26.87%,54.25%
2024-05-24,apartmentlist.com,< 10%,10.43%,30.82%,76.75%,14.29%,36.64%
2024-05-24,vrbo.com,< 10%,6.11%,51.67%,86.46%,34.88%,36.66%
2024-05-25,airbnb.com,27.33%,40.26%,38.43%,86.31%,32.15%,32.93%
2024-06-02,trustedhealth.com,< 10%,4.28%,33.73%,81.54%,12.79%,55.02%
2024-05-24,trustedhealth.com,< 10%,3.07%,32.70%,84.31%,12.98%,37.48%
2024-05-24,hometogo.com,< 10%,5.73%,17.77%,45.32%,4.36%,37.47%
2024-05-31,hometogo.com,< 10%,6.03%,19.08%,49.21%,6.35%,53.78%
2024-05-25,hellolanding.com,< 10%,7.27%,46.40%,83.71%,36.62%,37.64%
2024-05-25,hometogo.com,< 10%,6.87%,19.51%,53.77%,6.67%,38.43%
2024-05-24,travelnursehousing.com,11.13%,28.16%,6.72%,85.50%,4.31%,37.14%
2024-05-24,ayahealthcare.com,< 10%,3.54%,46.09%,91.06%,40.91%,37.24%
2024-05-31,trustedhealth.com,< 10%,3.08%,33.13%,80.97%,12.68%,53.85%
2024-05-31,apartmentlist.com,< 10%,10.40%,25.49%,74.65%,10.98%,52.96%
2024-05-25,travelnursehousing.com,10.03%,25.02%,5.60%,84.99%,2.81%,38.41%
2024-05-31,ayahealthcare.com,< 10%,3.82%,55.34%,88.50%,43.95%,53.25%
2024-06-04,evolve.com,15.63%,24.72%,38.65%,91.85%,35.72%,50.96%
2024-05-29,vrbo.com,< 10%,5.14%,47.71%,85.69%,30.07%,42.99%
2024-05-29,trustedhealth.com,< 10%,3.63%,31.40%,84.56%,11.75%,43.57%
2024-05-29,travelnursehousing.com,16.59%,34.57%,6.99%,88.48%,5.17%,43.01%
2024-05-29,hellolanding.com,< 10%,6.30%,39.37%,77.93%,28.75%,42.98%
2024-05-29,You,44.07%, --, --,90.12%,54.64%, --
2024-05-29,airbnb.com,29.02%,37.67%,34.95%,84.41%,28.81%,38.27%
2024-05-29,hometogo.com,< 10%,6.52%,15.78%,48.60%,5.77%,43.62%
2024-05-29,apartmentlist.com,< 10%,9.57%,22.28%,74.28%,12.54%,43.13%
2024-05-29,ayahealthcare.com,< 10%,4.44%,53.07%,89.54%,43.75%,43.03%
2024-05-29,evolve.com,< 10%,17.80%,28.62%,90.34%,26.33%,41.83%
2024-06-03,You,54.04%, --, --,90.30%,56.28%, --
2024-06-03,vrbo.com,< 10%,3.97%,50.00%,84.16%,34.75%,52.96%
