Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-02-03,furnishedfinder.com,94.50%,98.96%,80.21%,97.69%,76.34%,17.13%
2024-02-03,evolve.com,< 10%,7.49%,66.35%,94.71%,34.36%,78.92%
2024-02-03,favoes.com,< 10%,9.18%,5.10%,76.95%,1.06%,82.66%
2024-02-07,furnishedfinder.com,94.70%,99.01%,88.21%,98.22%,83.11%,10.38%
2024-02-10,furnishedfinder.com,95.52%,99.28%,90.15%,98.21%,86.55%,8.44%
2024-02-10,evolve.com,< 10%,6.92%,58.17%,94.38%,28.09%,77.18%
2024-02-03,You,83.05%, --, --,93.02%,18.72%, --
2024-02-03,airbnb.com,15.28%,15.51%,9.98%,62.23%,1.37%,81.76%
2024-02-03,hellolanding.com,15.90%,16.70%,10.56%,66.17%,1.88%,81.58%
2024-02-10,favoes.com,< 10%,7.56%,4.19%,78.01%,2.09%,80.17%
2024-02-07,evolve.com,< 10%,7.26%,66.98%,91.74%,33.88%,77.97%
2024-02-07,favoes.com,< 10%,9.11%,7.52%,68.24%,1.35%,81.40%
2024-02-10,You,80.42%, --, --,92.81%,9.37%, --
2024-02-10,airbnb.com,15.98%,16.79%,12.40%,60.36%,0.68%,78.75%
2024-02-10,hellolanding.com,< 10%,8.82%,16.41%,52.99%,1.28%,79.26%
2024-02-07,You,81.96%, --, --,91.82%,11.43%, --
2024-02-07,airbnb.com,14.90%,15.47%,8.63%,57.63%,0.75%,80.86%
2024-02-07,hellolanding.com,< 10%,7.36%,13.02%,58.61%,1.23%,81.17%
2024-02-02,furnishedfinder.com,93.41%,98.36%,75.79%,97.62%,72.47%,21.17%
2024-02-02,evolve.com,< 10%,6.82%,52.88%,92.54%,31.84%,80.17%
2024-02-02,favoes.com,< 10%,7.60%,3.29%,72.89%,0.00%,82.96%
2024-02-06,furnishedfinder.com,94.32%,98.79%,88.51%,98.18%,84.46%,10.29%
2024-02-06,evolve.com,< 10%,6.34%,61.86%,86.16%,24.11%,78.75%
2024-02-06,favoes.com,< 10%,7.95%,5.76%,65.49%,1.41%,81.59%
2024-02-09,furnishedfinder.com,94.92%,99.33%,89.57%,98.52%,85.81%,9.00%
2024-02-09,evolve.com,< 10%,6.32%,67.33%,93.26%,34.27%,78.08%
2024-02-09,favoes.com,10.07%,10.99%,4.21%,75.09%,0.68%,81.17%
2024-02-02,You,83.17%, --, --,93.47%,23.35%, --
2024-02-02,airbnb.com,16.75%,17.67%,9.70%,62.77%,1.60%,81.74%
2024-02-02,hellolanding.com,15.41%,16.49%,6.93%,60.50%,0.77%,82.21%
2024-02-13,furnishedfinder.com,95.04%,99.05%,91.32%,97.59%,86.83%,7.30%
2024-02-13,evolve.com,< 10%,7.76%,69.27%,89.84%,25.61%,72.41%
2024-02-13,favoes.com,< 10%,7.19%,8.95%,75.22%,1.33%,76.04%
2024-02-14,furnishedfinder.com,95.46%,99.69%,90.71%,98.37%,86.69%,7.44%
2024-02-14,evolve.com,< 10%,8.54%,73.44%,94.40%,30.17%,72.92%
2024-02-14,favoes.com,10.01%,11.48%,4.26%,75.43%,0.35%,77.42%
2024-02-06,You,81.96%, --, --,92.61%,10.95%, --
2024-02-06,airbnb.com,15.44%,15.53%,13.68%,59.38%,1.74%,80.22%
2024-02-06,hellolanding.com,< 10%,8.89%,14.71%,58.41%,2.86%,80.89%
2024-02-09,You,81.55%, --, --,92.59%,9.94%, --
