Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2023-12-22,You,44.16%, --, --,93.49%,34.33%, --
2023-12-22,airbnb.com,< 10%,15.96%,16.33%,58.68%,5.19%,43.01%
2023-12-22,trustedhealth.com,12.06%,2.82%,25.64%,83.44%,17.88%,43.84%
2023-12-22,hellolanding.com,< 10%,12.41%,11.37%,52.62%,6.02%,43.54%
2023-12-22,tnaa.com,11.14%,4.20%,41.38%,91.25%,35.01%,43.39%
2023-12-22,nomadhealth.com,10.56%,2.46%,39.71%,79.88%,16.79%,43.73%
2023-12-22,furnishedfinder.com,36.67%,73.91%,49.83%,93.55%,39.00%,27.90%
2023-12-22,ayahealthcare.com,18.74%,4.27%,40.68%,85.34%,27.20%,43.39%
2023-12-22,evolve.com,25.31%,53.62%,54.32%,93.81%,41.48%,31.30%
2023-12-28,furnishedfinder.com,83.00%,90.43%,23.62%,95.17%,20.59%,57.43%
2023-12-28,ayahealthcare.com,< 10%,1.11%,16.22%,57.53%,8.22%,72.90%
2023-12-28,evolve.com,56.77%,61.48%,24.11%,89.93%,20.96%,62.20%
2023-12-28,You,73.03%, --, --,97.03%,64.18%, --
2023-12-28,airbnb.com,14.86%,15.84%,10.23%,52.80%,5.75%,71.84%
2023-12-28,trustedhealth.com,< 10%,1.05%,14.29%,80.00%,10.77%,72.92%
2023-12-28,hellolanding.com,15.93%,18.06%,6.81%,44.98%,2.06%,72.13%
2023-12-28,tnaa.com,< 10%,2.25%,22.67%,80.33%,27.05%,72.66%
2023-12-28,nomadhealth.com,< 10%,1.68%,16.07%,81.93%,7.23%,72.83%
2024-01-02,You,80.86%, --, --,95.92%,52.70%, --
2024-01-02,airbnb.com,16.72%,18.29%,9.78%,56.64%,3.65%,79.41%
2024-01-02,trustedhealth.com,< 10%,1.99%,20.25%,84.96%,4.42%,80.53%
2024-01-02,hellolanding.com,15.91%,17.81%,9.90%,50.19%,3.59%,79.43%
2024-01-02,tnaa.com,< 10%,1.36%,29.63%,87.67%,13.70%,80.53%
2024-01-02,nomadhealth.com,< 10%,1.46%,25.86%,79.76%,11.90%,80.55%
2024-01-03,You,75.59%, --, --,95.72%,53.76%, --
