Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-06-12,You,73.76%, --, --,96.66%,78.40%, --
2024-06-12,airbnb.com,41.44%,42.52%,35.03%,92.63%,36.04%,62.78%
2024-06-12,apartmentlist.com,< 10%,9.39%,17.97%,93.15%,16.45%,72.52%
2024-06-14,apartmentlist.com,< 10%,8.71%,11.52%,89.77%,8.77%,73.53%
2024-06-14,You,74.28%, --, --,96.63%,74.79%, --
2024-06-18,airbnb.com,37.93%,40.67%,30.25%,91.17%,30.43%,64.27%
2024-06-14,airbnb.com,44.98%,49.22%,36.88%,94.17%,36.34%,60.79%
2024-06-18,apartmentlist.com,< 10%,8.13%,12.58%,91.86%,11.95%,72.54%
2024-06-18,You,73.29%, --, --,96.52%,81.48%, --
2024-06-16,You,74.68%, --, --,96.39%,75.04%, --
2024-06-16,apartmentlist.com,< 10%,9.60%,16.40%,95.47%,11.78%,73.50%
2024-06-16,airbnb.com,46.06%,49.46%,35.09%,94.21%,35.62%,61.71%
2024-06-11,airbnb.com,38.25%,39.21%,33.98%,92.94%,34.78%,62.30%
2024-06-19,airbnb.com,45.18%,49.49%,35.89%,93.20%,36.53%,60.89%
2024-06-19,apartmentlist.com,< 10%,6.82%,12.86%,92.11%,10.97%,73.39%
2024-06-19,You,74.04%, --, --,96.17%,76.57%, --
2024-06-11,apartmentlist.com,< 10%,8.41%,16.54%,91.33%,14.87%,70.87%
2024-06-11,You,71.87%, --, --,96.38%,80.12%, --
2024-06-07,airbnb.com,42.41%,43.61%,39.54%,91.95%,39.33%,60.51%
2024-06-06,airbnb.com,40.39%,42.72%,38.13%,92.59%,37.67%,62.09%
2024-06-07,You,73.12%, --, --,95.90%,76.60%, --
2024-06-06,apartmentlist.com,< 10%,7.41%,17.52%,90.16%,13.22%,73.21%
2024-06-07,apartmentlist.com,< 10%,7.34%,15.97%,89.69%,13.96%,72.26%
2024-06-06,You,74.17%, --, --,95.87%,77.23%, --
2024-06-17,You,74.37%, --, --,96.89%,80.55%, --
2024-06-17,airbnb.com,39.64%,42.44%,28.17%,92.07%,28.63%,65.48%
2024-06-17,apartmentlist.com,< 10%,7.68%,14.61%,91.54%,12.33%,73.54%
2024-06-09,apartmentlist.com,< 10%,9.10%,14.35%,92.75%,12.42%,74.79%
2024-06-09,You,75.78%, --, --,96.45%,78.13%, --
2024-06-09,airbnb.com,41.95%,44.54%,34.35%,93.68%,35.36%,64.19%
2024-06-15,You,75.06%, --, --,96.32%,77.32%, --
2024-06-13,apartmentlist.com,< 10%,8.02%,16.91%,94.48%,14.71%,73.10%
2024-06-13,You,74.11%, --, --,96.03%,77.77%, --
2024-06-15,apartmentlist.com,< 10%,6.61%,13.07%,91.02%,11.02%,74.41%
2024-06-15,airbnb.com,44.87%,48.48%,32.46%,94.54%,32.85%,63.25%
2024-06-13,airbnb.com,37.21%,38.77%,37.26%,92.04%,36.40%,63.40%
2024-06-10,apartmentlist.com,10.20%,9.32%,17.34%,90.97%,14.51%,72.14%
2024-06-08,airbnb.com,46.15%,49.33%,39.41%,93.09%,38.89%,61.33%
2024-06-10,airbnb.com,40.29%,41.57%,35.13%,91.73%,34.34%,62.62%
2024-06-08,You,76.13%, --, --,96.01%,73.99%, --
2024-06-08,apartmentlist.com,< 10%,9.09%,14.42%,90.19%,12.62%,75.13%
2024-06-10,You,73.33%, --, --,96.34%,79.00%, --
