Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-04-11,You,42.38%, --, --,89.79%,55.71%, --
2024-04-11,airbnb.com,24.23%,30.10%,36.88%,83.07%,29.54%,37.67%
2024-04-11,hellolanding.com,< 10%,11.66%,38.47%,84.31%,30.28%,40.48%
2024-04-11,vrbo.com,< 10%,4.01%,54.32%,85.00%,34.77%,41.46%
2024-04-11,vacasa.com,< 10%,3.51%,50.23%,90.61%,41.00%,41.63%
2024-04-15,You,37.99%, --, --,89.05%,52.25%, --
2024-04-15,airbnb.com,22.87%,27.31%,37.58%,81.53%,33.17%,34.09%
2024-04-15,hellolanding.com,< 10%,8.74%,37.26%,86.22%,32.78%,36.75%
2024-04-15,vrbo.com,< 10%,5.23%,44.84%,85.60%,31.93%,37.09%
2024-04-15,vacasa.com,< 10%,5.57%,56.06%,90.73%,41.58%,36.80%
2024-04-16,You,39.07%, --, --,89.85%,50.07%, --
2024-04-16,airbnb.com,26.58%,33.80%,38.14%,83.20%,32.44%,34.03%
2024-04-16,hellolanding.com,< 10%,9.87%,41.34%,84.94%,33.96%,37.47%
2024-04-11,travelnursehousing.com,20.29%,40.72%,15.63%,91.08%,10.40%,39.68%
2024-04-11,ayahealthcare.com,< 10%,2.42%,50.34%,86.65%,37.16%,41.86%
2024-04-11,apartmentlist.com,< 10%,12.80%,30.80%,83.11%,16.39%,40.71%
2024-04-11,evolve.com,< 10%,13.94%,42.49%,89.63%,32.68%,39.87%
2024-04-11,hometogo.com,< 10%,4.54%,9.82%,40.29%,2.71%,42.19%
2024-04-16,vrbo.com,< 10%,5.24%,44.94%,84.97%,35.06%,38.14%
2024-04-16,vacasa.com,< 10%,4.86%,68.26%,90.54%,45.63%,37.77%
2024-04-17,You,39.15%, --, --,91.62%,51.95%, --
2024-04-17,airbnb.com,25.24%,32.58%,35.60%,83.03%,32.14%,34.61%
2024-04-17,hellolanding.com,< 10%,9.59%,39.77%,86.22%,34.95%,37.65%
2024-04-17,vrbo.com,< 10%,5.18%,45.96%,85.38%,37.06%,38.21%
2024-04-17,vacasa.com,< 10%,4.28%,64.66%,92.88%,48.25%,38.06%
2024-04-19,You,41.57%, --, --,89.68%,52.95%, --
2024-04-19,airbnb.com,29.28%,37.59%,36.43%,84.27%,34.89%,35.88%
2024-04-19,hellolanding.com,< 10%,9.62%,44.42%,86.45%,35.26%,39.80%
2024-04-19,vrbo.com,< 10%,4.37%,45.09%,86.10%,28.70%,40.75%
2024-04-19,vacasa.com,< 10%,4.60%,64.83%,92.44%,43.83%,40.33%
2024-04-15,travelnursehousing.com,18.68%,40.35%,13.55%,90.63%,9.37%,35.91%
2024-04-15,ayahealthcare.com,< 10%,2.35%,49.64%,83.13%,30.03%,37.54%
2024-04-15,apartmentlist.com,< 10%,12.17%,32.04%,82.13%,15.49%,36.50%
2024-04-15,evolve.com,11.18%,17.50%,45.42%,89.62%,34.63%,34.97%
2024-04-15,hometogo.com,< 10%,4.51%,10.49%,43.20%,3.86%,37.81%
2024-04-16,travelnursehousing.com,20.13%,41.65%,17.49%,91.18%,12.72%,36.22%
2024-04-16,ayahealthcare.com,< 10%,2.85%,53.49%,87.52%,36.82%,38.47%
2024-04-16,apartmentlist.com,< 10%,11.32%,28.59%,78.45%,11.40%,37.80%
2024-04-16,evolve.com,10.58%,16.99%,44.24%,89.58%,32.05%,36.13%
2024-04-16,hometogo.com,< 10%,7.65%,22.13%,60.36%,8.34%,38.40%
2024-04-17,travelnursehousing.com,18.35%,42.86%,15.28%,90.70%,10.95%,36.58%
2024-04-17,apartmentlist.com,< 10%,11.49%,28.29%,79.38%,11.60%,37.87%
2024-04-17,evolve.com,< 10%,16.04%,49.15%,89.24%,37.56%,36.06%
2024-04-17,hometogo.com,< 10%,9.27%,22.92%,64.39%,11.12%,38.32%
2024-04-17,ayahealthcare.com,< 10%,2.62%,47.24%,88.99%,34.69%,38.66%
2024-04-19,travelnursehousing.com,< 10%,21.83%,6.26%,81.92%,4.15%,41.00%
2024-04-19,ayahealthcare.com,< 10%,3.39%,44.25%,86.63%,29.77%,40.95%
2024-04-19,apartmentlist.com,< 10%,8.91%,24.29%,78.50%,8.99%,40.67%
