Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-02-17,travelnursehousing.com,42.28%,49.24%,12.05%,92.66%,11.01%,80.45%
2024-02-17,info.com,< 10%,5.25%,15.89%,81.25%,6.25%,84.82%
2024-02-17,favoes.com,< 10%,7.90%,0.00%,79.50%,0.00%,85.53%
2024-02-17,You,85.53%, --, --,95.34%,78.86%, --
2024-02-17,airbnb.com,14.05%,16.14%,4.26%,59.70%,3.58%,84.94%
2024-02-17,hellolanding.com,< 10%,8.53%,13.79%,72.07%,10.06%,84.52%
2024-02-22,travelnursehousing.com,54.01%,65.14%,22.98%,94.16%,21.40%,45.02%
2024-02-22,info.com,< 10%,7.50%,9.71%,92.12%,6.51%,52.55%
2024-02-22,favoes.com,< 10%,9.13%,0.94%,86.99%,0.00%,52.89%
2024-02-24,travelnursehousing.com,54.57%,62.79%,20.50%,93.60%,18.40%,74.48%
2024-02-24,info.com,< 10%,4.83%,10.56%,91.78%,2.74%,85.04%
2024-02-24,favoes.com,< 10%,5.45%,0.63%,71.25%,0.00%,85.45%
2024-02-26,travelnursehousing.com,56.62%,67.08%,22.65%,94.82%,20.82%,67.90%
2024-02-26,info.com,< 10%,8.13%,14.68%,92.70%,6.67%,79.11%
2024-02-26,favoes.com,< 10%,5.88%,0.47%,70.72%,0.00%,80.04%
2024-02-22,You,52.94%, --, --,96.14%,72.17%, --
2024-02-22,airbnb.com,12.46%,14.15%,2.42%,59.02%,1.46%,52.76%
2024-02-22,hellolanding.com,< 10%,6.05%,17.73%,68.06%,14.35%,52.37%
2024-02-24,You,85.48%, --, --,95.47%,75.11%, --
2024-02-24,airbnb.com,16.56%,19.00%,2.33%,59.75%,1.23%,85.10%
2024-02-24,hellolanding.com,< 10%,6.20%,9.34%,61.41%,7.61%,84.98%
2024-02-26,You,80.06%, --, --,95.31%,72.30%, --
2024-02-26,airbnb.com,15.54%,18.28%,3.49%,61.43%,2.14%,79.55%
2024-02-26,hellolanding.com,< 10%,6.79%,11.84%,63.81%,10.51%,79.42%
2024-02-16,travelnursehousing.com,44.55%,55.08%,11.64%,93.72%,11.50%,74.17%
2024-02-16,info.com,< 10%,6.14%,3.54%,88.14%,0.85%,79.08%
2024-02-16,favoes.com,< 10%,6.41%,0.00%,72.03%,0.00%,79.25%
2024-02-16,You,79.25%, --, --,96.47%,81.59%, --
2024-02-16,airbnb.com,11.02%,13.58%,3.20%,60.16%,1.56%,78.91%
2024-02-16,hellolanding.com,< 10%,9.02%,6.02%,62.35%,7.06%,78.82%
2024-02-21,info.com,< 10%,7.68%,14.05%,91.39%,5.99%,60.11%
2024-02-21,favoes.com,< 10%,10.50%,0.00%,74.43%,0.00%,60.77%
2024-02-21,travelnursehousing.com,51.99%,59.96%,18.20%,92.58%,16.05%,54.14%
2024-02-21,You,60.77%, --, --,95.64%,75.77%, --
2024-02-21,airbnb.com,11.88%,13.98%,3.26%,53.08%,1.91%,60.49%
2024-02-21,hellolanding.com,< 10%,8.51%,13.17%,76.74%,10.42%,60.09%
2024-02-18,travelnursehousing.com,43.10%,50.94%,15.94%,93.55%,15.01%,77.66%
2024-02-18,info.com,< 10%,4.51%,14.58%,89.80%,5.10%,83.97%
2024-02-18,favoes.com,< 10%,8.78%,0.00%,77.13%,0.00%,84.52%
2024-02-20,travelnursehousing.com,49.15%,57.32%,15.04%,92.77%,14.35%,77.77%
2024-02-20,info.com,< 10%,5.98%,8.21%,85.57%,3.98%,84.70%
2024-02-20,favoes.com,< 10%,8.56%,0.72%,73.14%,0.00%,85.06%
2024-02-18,You,84.52%, --, --,94.79%,77.56%, --
2024-02-18,airbnb.com,12.22%,14.23%,1.65%,53.25%,0.97%,84.33%
2024-02-18,hellolanding.com,< 10%,8.12%,6.94%,71.19%,6.21%,84.05%
2024-02-25,info.com,< 10%,4.58%,10.06%,88.34%,5.52%,87.30%
2024-02-25,travelnursehousing.com,57.23%,65.00%,22.54%,94.31%,20.64%,74.85%
2024-02-25,favoes.com,< 10%,4.86%,1.78%,63.53%,0.59%,87.63%
2024-02-20,You,85.11%, --, --,94.88%,76.99%, --
2024-02-20,airbnb.com,13.50%,15.71%,3.71%,58.99%,2.90%,84.62%
2024-02-20,hellolanding.com,< 10%,8.22%,11.57%,74.82%,10.95%,84.30%
2024-02-28,travelnursehousing.com,31.28%,59.76%,23.84%,94.27%,23.38%,37.81%
2024-02-28,info.com,< 10%,7.78%,10.58%,89.46%,6.32%,43.72%
2024-02-28,favoes.com,< 10%,6.14%,1.22%,68.53%,1.18%,44.05%
2024-02-25,You,87.71%, --, --,95.48%,73.75%, --
2024-02-25,airbnb.com,14.92%,16.90%,3.41%,56.51%,1.69%,87.20%
2024-02-25,hellolanding.com,< 10%,4.95%,12.21%,66.09%,9.77%,87.17%
2024-02-28,You,44.09%, --, --,95.58%,69.39%, --
2024-02-28,airbnb.com,< 10%,17.59%,5.11%,67.19%,3.51%,43.69%
