Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-01-19,furnishedfinder.com,84.40%,92.88%,36.85%,95.97%,34.82%,55.72%
2024-01-19,evolve.com,21.32%,24.70%,27.60%,91.77%,21.65%,78.94%
2024-01-24,furnishedfinder.com,90.47%,97.33%,58.02%,96.79%,55.60%,36.84%
2024-01-24,evolve.com,< 10%,4.96%,57.40%,94.97%,37.43%,82.22%
2024-01-19,You,84.71%, --, --,95.96%,56.99%, --
2024-01-19,airbnb.com,16.76%,18.15%,9.21%,58.78%,3.89%,83.30%
2024-01-19,hellolanding.com,14.98%,16.28%,11.91%,67.30%,5.86%,83.07%
2024-01-24,You,84.63%, --, --,94.10%,39.57%, --
2024-01-24,airbnb.com,20.31%,22.35%,9.32%,63.08%,2.08%,82.87%
2024-01-24,hellolanding.com,16.76%,18.57%,8.53%,66.22%,2.52%,83.29%
2024-01-26,furnishedfinder.com,90.79%,97.83%,68.28%,96.98%,64.89%,27.07%
2024-01-26,evolve.com,< 10%,4.63%,57.81%,89.13%,39.86%,79.34%
2024-01-26,You,81.52%, --, --,92.98%,30.01%, --
2024-01-26,airbnb.com,14.26%,15.17%,10.02%,56.52%,1.86%,80.28%
2024-01-26,hellolanding.com,15.11%,16.69%,11.28%,65.04%,3.52%,79.99%
2024-01-30,furnishedfinder.com,94.67%,98.90%,79.84%,97.98%,76.67%,17.82%
2024-01-30,evolve.com,< 10%,7.51%,43.63%,88.15%,28.15%,81.93%
2024-01-29,furnishedfinder.com,91.92%,98.02%,71.48%,97.57%,68.59%,25.41%
2024-01-29,evolve.com,< 10%,5.44%,45.11%,88.83%,29.26%,82.80%
2024-01-30,You,84.71%, --, --,93.54%,19.24%, --
2024-01-30,airbnb.com,16.69%,17.79%,11.73%,63.82%,1.47%,82.94%
2024-01-30,hellolanding.com,13.97%,15.24%,9.89%,55.18%,0.70%,83.43%
2024-01-29,You,84.89%, --, --,94.32%,27.15%, --
2024-01-29,airbnb.com,18.13%,19.64%,7.38%,62.88%,1.66%,83.66%
2024-01-29,hellolanding.com,12.98%,14.17%,7.93%,51.64%,1.35%,83.93%
2024-01-18,furnishedfinder.com,80.01%,87.77%,28.33%,94.58%,25.68%,62.86%
2024-01-18,evolve.com,21.09%,23.68%,29.91%,93.07%,26.11%,77.73%
2024-01-21,furnishedfinder.com,86.94%,95.00%,38.45%,97.71%,36.88%,51.20%
2024-01-21,evolve.com,22.97%,26.10%,20.63%,91.43%,12.68%,76.32%
2024-01-23,furnishedfinder.com,89.89%,96.66%,54.32%,97.55%,51.19%,40.14%
2024-01-23,evolve.com,20.69%,23.89%,28.96%,87.66%,17.72%,78.67%
2024-01-25,furnishedfinder.com,91.14%,97.72%,66.02%,97.48%,62.38%,29.74%
2024-01-25,evolve.com,< 10%,4.26%,57.86%,91.33%,38.00%,81.75%
2024-01-18,You,83.66%, --, --,95.91%,62.81%, --
2024-01-18,airbnb.com,18.85%,20.59%,7.73%,64.27%,3.19%,82.33%
2024-01-18,hellolanding.com,16.68%,18.44%,9.98%,68.70%,5.95%,82.12%
2024-01-21,You,80.66%, --, --,95.25%,57.62%, --
2024-01-21,airbnb.com,14.41%,15.90%,6.97%,54.61%,2.48%,79.76%
2024-01-21,hellolanding.com,13.13%,14.70%,6.68%,62.65%,4.47%,79.87%
2024-01-23,You,84.51%, --, --,95.05%,41.84%, --
2024-01-23,airbnb.com,18.48%,19.44%,10.56%,62.33%,4.29%,82.78%
2024-01-23,hellolanding.com,15.41%,16.77%,10.14%,65.59%,4.82%,83.08%
2024-01-20,You,85.00%, --, --,95.88%,55.33%, --
2024-01-20,furnishedfinder.com,84.06%,93.43%,38.70%,97.24%,36.21%,54.26%
2024-01-20,evolve.com,22.62%,26.12%,27.68%,92.20%,20.81%,78.85%
2024-01-27,furnishedfinder.com,92.23%,97.47%,57.94%,97.44%,56.11%,38.00%
2024-01-27,evolve.com,< 10%,4.74%,49.64%,91.03%,40.00%,85.25%
2024-01-28,furnishedfinder.com,92.27%,97.72%,63.26%,97.56%,60.81%,33.07%
2024-01-28,evolve.com,< 10%,9.38%,38.70%,92.62%,27.52%,83.48%
2024-01-20,airbnb.com,15.38%,16.99%,5.70%,57.55%,1.72%,84.18%
