Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-05-10,apartmenthomeliving.com,< 10%,0.51%,13.79%,35.75%,5.56%,68.00%
2024-05-10,rent.com,< 10%,2.34%,38.35%,86.66%,14.66%,67.44%
2024-05-13,apartmentlist.com,11.22%,10.03%,22.11%,88.70%,19.86%,47.18%
2024-05-17,apartmenthomeliving.com,< 10%,0.77%,17.24%,58.88%,7.72%,62.24%
2024-05-10,apartmentlist.com,13.33%,12.07%,20.54%,90.35%,16.11%,66.36%
2024-05-14,rent.com,< 10%,2.46%,45.85%,81.70%,12.46%,47.27%
2024-05-13,rent.com,< 10%,2.23%,44.55%,80.08%,12.11%,47.78%
2024-05-17,rent.com,< 10%,3.03%,46.76%,86.62%,16.38%,61.44%
2024-05-13,airbnb.com,31.17%,35.94%,33.14%,88.40%,30.86%,42.51%
2024-05-10,hellolanding.com,12.13%,11.78%,41.87%,92.66%,38.74%,64.69%
2024-05-13,hellolanding.com,< 10%,8.72%,39.19%,90.21%,37.89%,46.61%
2024-05-14,airbnb.com,33.59%,38.99%,33.88%,89.35%,32.95%,41.49%
2024-05-14,apartments.com,< 10%,1.60%,40.09%,88.20%,23.07%,47.50%
2024-05-13,apartmenthomeliving.com,< 10%,0.93%,22.39%,60.53%,10.10%,48.16%
2024-05-14,hellolanding.com,< 10%,9.14%,37.98%,90.40%,34.54%,46.14%
2024-05-13,apartments.com,10.24%,1.77%,45.88%,88.67%,23.32%,47.86%
2024-05-14,apartmenthomeliving.com,< 10%,0.99%,16.43%,59.47%,10.77%,47.73%
2024-05-14,apartmentlist.com,11.84%,9.96%,22.47%,87.27%,20.12%,46.73%
2024-05-17,airbnb.com,40.11%,45.74%,41.10%,93.00%,36.50%,50.60%
2024-05-17,hellolanding.com,10.53%,12.88%,40.01%,91.31%,34.35%,59.11%
2024-05-17,apartments.com,< 10%,1.25%,51.06%,87.70%,17.56%,61.92%
2024-05-17,You,62.32%, --, --,94.74%,70.35%, --
2024-05-17,apartmentlist.com,12.61%,11.30%,23.86%,90.19%,21.90%,60.64%
2024-05-10,airbnb.com,34.21%,33.88%,33.62%,92.19%,30.29%,60.30%
2024-05-10,apartments.com,< 10%,1.24%,48.23%,85.71%,11.69%,67.64%
2024-05-10,You,68.05%, --, --,95.83%,76.88%, --
2024-05-14,You,47.80%, --, --,94.34%,75.51%, --
2024-05-13,You,48.26%, --, --,93.69%,77.05%, --
2024-05-09,apartmenthomeliving.com,< 10%,0.65%,11.49%,36.63%,2.41%,68.81%
2024-05-09,apartmentlist.com,10.94%,9.21%,20.16%,91.14%,16.11%,67.59%
2024-05-20,apartmenthomeliving.com,< 10%,0.58%,27.63%,66.71%,10.19%,68.47%
2024-05-21,apartmentlist.com,< 10%,7.64%,20.00%,90.20%,19.54%,66.99%
2024-05-20,rent.com,< 10%,2.77%,42.27%,86.29%,16.57%,67.78%
2024-05-20,apartmentlist.com,< 10%,8.81%,21.74%,87.26%,18.07%,67.27%
2024-05-09,apartments.com,< 10%,1.19%,44.03%,85.38%,6.95%,68.51%
2024-05-09,You,68.87%, --, --,95.89%,77.26%, --
2024-05-09,rent.com,< 10%,2.14%,43.71%,89.54%,13.34%,68.22%
2024-05-21,hellolanding.com,< 10%,8.65%,38.25%,91.72%,34.36%,65.78%
2024-05-21,You,68.03%, --, --,95.41%,77.57%, --
2024-05-09,airbnb.com,36.76%,36.92%,36.21%,92.27%,33.81%,59.66%
2024-05-09,hellolanding.com,< 10%,9.25%,36.68%,91.85%,32.97%,66.53%
2024-05-21,apartmenthomeliving.com,< 10%,0.69%,16.09%,61.42%,9.16%,67.96%
2024-05-20,airbnb.com,34.86%,38.94%,38.78%,91.59%,34.63%,58.23%
2024-05-20,hellolanding.com,< 10%,9.23%,40.91%,91.23%,33.99%,65.99%
2024-05-20,apartments.com,< 10%,1.03%,60.00%,89.68%,18.78%,68.16%
2024-05-21,airbnb.com,33.37%,37.07%,36.22%,91.97%,33.01%,58.90%
2024-05-21,rent.com,< 10%,2.70%,43.44%,86.40%,15.42%,67.23%
2024-05-21,apartments.com,< 10%,0.96%,60.66%,90.16%,18.40%,67.64%
2024-05-20,You,68.58%, --, --,94.99%,75.20%, --
2024-05-15,apartmenthomeliving.com,< 10%,0.72%,20.43%,57.60%,10.70%,67.95%
2024-05-15,rent.com,< 10%,2.10%,42.96%,83.61%,12.20%,67.44%
2024-05-22,apartmenthomeliving.com,< 10%,0.45%,24.07%,63.66%,10.69%,72.56%
2024-05-22,apartmentlist.com,< 10%,8.33%,21.90%,89.73%,18.34%,71.31%
2024-05-12,hellolanding.com,10.48%,13.16%,44.65%,90.48%,41.55%,46.37%
2024-05-15,airbnb.com,35.05%,39.37%,37.94%,92.31%,34.12%,57.89%
2024-05-15,apartments.com,< 10%,1.26%,58.02%,86.56%,19.50%,67.56%
2024-05-12,airbnb.com,32.08%,37.25%,32.31%,88.34%,29.08%,43.33%
2024-05-12,apartmenthomeliving.com,< 10%,0.55%,21.15%,54.99%,7.45%,49.20%
2024-05-12,apartmentlist.com,14.00%,12.16%,21.56%,88.48%,20.56%,47.97%
2024-05-16,apartmentlist.com,10.84%,9.97%,22.38%,89.91%,18.51%,61.98%
2024-05-16,apartmenthomeliving.com,< 10%,0.46%,22.41%,61.39%,10.67%,63.33%
2024-05-12,rent.com,< 10%,0.47%,40.91%,53.71%,5.84%,49.17%
2024-05-22,hellolanding.com,< 10%,8.09%,44.91%,91.41%,36.90%,70.00%
2024-05-22,apartments.com,< 10%,1.56%,41.08%,89.89%,16.85%,72.17%
2024-05-16,rent.com,< 10%,2.78%,52.42%,88.19%,15.65%,62.47%
2024-05-16,apartments.com,< 10%,1.06%,56.72%,87.86%,20.49%,63.01%
2024-05-16,hellolanding.com,< 10%,9.97%,41.03%,92.37%,35.58%,60.80%
2024-05-22,rent.com,< 10%,2.59%,44.16%,86.86%,13.87%,71.80%
2024-05-12,apartments.com,11.08%,1.83%,52.33%,90.42%,23.52%,48.79%
2024-05-15,hellolanding.com,< 10%,8.63%,35.95%,90.58%,30.45%,65.94%
2024-05-15,apartmentlist.com,< 10%,9.28%,25.06%,91.54%,19.08%,66.47%
2024-05-16,airbnb.com,37.91%,42.50%,36.62%,91.78%,33.61%,53.53%
2024-05-12,You,49.26%, --, --,94.55%,75.21%, --
2024-05-22,airbnb.com,34.38%,38.42%,39.15%,92.91%,35.65%,61.71%
2024-05-16,You,63.40%, --, --,94.63%,74.16%, --
2024-05-15,You,68.05%, --, --,94.59%,75.49%, --
2024-05-22,You,72.64%, --, --,95.01%,75.69%, --
2024-05-11,apartmentlist.com,13.26%,11.68%,21.93%,88.57%,17.12%,58.41%
2024-05-11,rent.com,< 10%,1.99%,36.07%,81.64%,11.32%,59.52%
2024-05-18,apartmentlist.com,13.16%,12.42%,25.35%,89.51%,21.03%,66.07%
2024-05-11,airbnb.com,38.80%,40.22%,34.56%,90.47%,32.02%,51.61%
2024-05-11,apartments.com,< 10%,1.80%,46.99%,85.27%,14.73%,59.44%
2024-05-19,apartmentlist.com,11.52%,10.88%,22.31%,90.57%,17.96%,68.47%
2024-05-11,apartmenthomeliving.com,< 10%,0.65%,21.67%,44.84%,6.25%,59.86%
2024-05-19,apartments.com,< 10%,1.22%,42.74%,89.41%,17.91%,69.81%
2024-05-18,apartmenthomeliving.com,< 10%,0.57%,16.98%,59.45%,8.91%,68.15%
2024-05-18,You,68.21%, --, --,94.46%,70.38%, --
2024-05-18,rent.com,< 10%,3.11%,46.69%,85.84%,13.29%,67.23%
2024-05-19,apartmenthomeliving.com,< 10%,0.68%,15.38%,60.21%,9.60%,70.10%
2024-05-11,hellolanding.com,11.88%,12.55%,41.70%,92.16%,40.82%,56.81%
2024-05-19,rent.com,< 10%,0.77%,35.14%,73.29%,13.72%,69.98%
