Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-06-27,furnishedfinder.com,46.03%,78.30%,72.93%,91.10%,48.99%,17.41%
2024-06-27,apartmentlist.com,< 10%,4.67%,40.25%,73.87%,16.26%,39.81%
2024-06-27,airbnb.com,31.98%,36.44%,45.45%,80.03%,26.19%,33.86%
2024-06-27,You,40.58%, --, --,84.85%,13.62%, --
2024-06-27,evolve.com,22.89%,41.22%,79.49%,93.02%,49.87%,27.28%
2024-06-27,hellolanding.com,12.14%,14.80%,47.02%,72.72%,28.66%,37.75%
2024-06-21,furnishedfinder.com,47.98%,69.50%,68.67%,92.17%,52.56%,20.87%
2024-06-25,furnishedfinder.com,47.07%,65.08%,70.20%,91.91%,55.38%,22.05%
2024-06-26,apartmentlist.com,< 10%,6.10%,29.67%,73.30%,14.56%,41.80%
2024-06-25,apartmentlist.com,< 10%,5.93%,22.27%,67.55%,10.57%,40.06%
2024-06-26,airbnb.com,34.66%,41.18%,45.06%,82.02%,29.25%,34.67%
2024-06-20,furnishedfinder.com,52.08%,77.79%,65.01%,92.26%,49.64%,19.78%
2024-06-21,evolve.com,27.04%,45.53%,77.37%,93.28%,51.62%,25.86%
2024-06-26,evolve.com,23.20%,39.99%,70.10%,94.04%,51.71%,30.64%
2024-06-26,hellolanding.com,11.41%,14.29%,39.24%,72.50%,27.13%,40.18%
2024-06-21,hellolanding.com,< 10%,10.34%,39.40%,70.99%,23.38%,38.30%
2024-06-21,apartmentlist.com,< 10%,3.90%,30.70%,59.19%,10.00%,39.45%
2024-06-26,You,42.57%, --, --,86.70%,27.76%, --
2024-06-21,You,39.93%, --, --,84.70%,17.12%, --
2024-06-21,airbnb.com,31.34%,34.92%,48.43%,79.85%,24.33%,33.17%
2024-06-20,apartmentlist.com,< 10%,3.88%,20.74%,68.45%,9.47%,39.71%
2024-06-25,hellolanding.com,< 10%,11.25%,25.42%,69.95%,18.49%,39.44%
2024-06-25,airbnb.com,31.73%,36.60%,40.38%,80.78%,23.57%,34.60%
2024-06-20,airbnb.com,32.16%,34.64%,45.27%,78.84%,24.70%,33.75%
2024-06-20,hellolanding.com,11.37%,11.97%,38.46%,72.44%,25.03%,38.19%
2024-06-26,furnishedfinder.com,37.18%,63.36%,42.29%,86.99%,30.56%,31.16%
2024-06-25,You,40.60%, --, --,88.05%,26.02%, --
2024-06-20,You,40.03%, --, --,87.05%,18.41%, --
2024-06-20,evolve.com,26.49%,44.07%,74.48%,92.70%,48.09%,26.89%
2024-06-25,evolve.com,15.91%,26.73%,68.52%,93.94%,46.80%,33.17%
2024-06-22,furnishedfinder.com,38.24%,64.94%,42.53%,86.77%,28.64%,31.98%
2024-06-29,furnishedfinder.com,57.80%,85.71%,86.57%,91.95%,58.16%,10.17%
2024-06-23,apartmentlist.com,< 10%,4.05%,28.80%,74.16%,15.17%,44.23%
2024-06-24,furnishedfinder.com,42.68%,54.15%,79.28%,93.87%,62.39%,25.50%
2024-06-22,hellolanding.com,12.43%,14.39%,47.09%,79.16%,29.90%,41.18%
2024-06-23,evolve.com,32.90%,51.05%,82.88%,96.08%,66.40%,25.81%
2024-07-01,furnishedfinder.com,47.74%,69.98%,68.70%,88.88%,47.35%,21.95%
2024-06-24,evolve.com,24.81%,40.93%,70.30%,94.34%,46.30%,31.83%
2024-06-22,apartmentlist.com,< 10%,4.57%,23.66%,70.75%,13.37%,43.70%
2024-06-24,apartmentlist.com,< 10%,5.88%,27.59%,73.74%,12.59%,43.97%
2024-06-28,apartmentlist.com,< 10%,4.59%,37.59%,73.33%,11.11%,39.00%
2024-06-23,hellolanding.com,12.53%,13.50%,47.48%,78.61%,28.44%,41.88%
2024-06-22,airbnb.com,32.96%,36.45%,45.31%,82.78%,26.63%,36.88%
2024-06-23,airbnb.com,33.68%,36.81%,44.33%,80.90%,27.83%,37.45%
2024-06-24,hellolanding.com,< 10%,10.16%,40.15%,73.55%,21.03%,42.87%
2024-06-28,hellolanding.com,12.32%,14.66%,47.06%,72.44%,23.78%,36.95%
