Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-05-14,furnishedfinder.com,28.66%,61.69%,73.88%,91.56%,55.91%,3.18%
2024-05-14,ayahealthcare.com,10.93%,2.37%,47.76%,84.46%,36.15%,5.77%
2024-05-14,apartmentlist.com,< 10%,10.73%,20.46%,72.70%,12.00%,5.71%
2024-05-14,evolve.com,< 10%,13.42%,58.58%,89.88%,21.86%,5.38%
2024-05-14,hometogo.com,< 10%,7.01%,10.10%,40.04%,2.40%,5.80%
2024-05-15,furnishedfinder.com,27.25%,82.93%,85.09%,93.88%,49.25%,1.11%
2024-05-15,ayahealthcare.com,< 10%,2.13%,61.40%,90.93%,42.14%,3.73%
2024-05-15,apartmentlist.com,< 10%,6.80%,26.92%,71.25%,15.06%,3.71%
2024-05-15,evolve.com,< 10%,33.13%,76.66%,85.75%,35.73%,2.82%
2024-05-15,hometogo.com,< 10%,5.23%,21.43%,46.72%,3.96%,3.74%
2024-05-18,furnishedfinder.com,57.00%,85.47%,87.87%,93.09%,57.32%,9.05%
2024-05-18,ayahealthcare.com,< 10%,1.64%,41.86%,86.29%,24.19%,36.12%
2024-05-18,apartmentlist.com,< 10%,7.88%,31.07%,69.76%,9.76%,35.48%
2024-05-18,evolve.com,25.26%,43.37%,81.48%,94.82%,40.97%,23.52%
2024-05-18,hometogo.com,< 10%,3.63%,17.89%,44.64%,2.23%,36.13%
2024-05-14,You,< 10%, --, --,91.01%,26.77%, --
2024-05-14,airbnb.com,25.85%,37.15%,34.51%,84.36%,24.54%,5.09%
2024-05-14,trustedhealth.com,< 10%,1.70%,25.00%,84.50%,17.28%,5.82%
2024-05-14,vivian.com,< 10%,1.98%,33.93%,82.88%,20.61%,5.80%
2024-05-14,hellolanding.com,< 10%,8.57%,44.21%,79.97%,30.33%,5.62%
2024-05-14,indeed.com,< 10%,5.17%,28.08%,85.23%,13.78%,5.76%
2024-05-14,vrbo.com,< 10%,4.85%,51.82%,85.16%,37.25%,5.69%
2024-05-15,You,< 10%, --, --,84.91%,11.88%, --
2024-05-15,airbnb.com,27.27%,33.36%,41.88%,82.13%,18.44%,3.25%
2024-05-15,trustedhealth.com,< 10%,1.12%,46.67%,81.59%,10.10%,3.76%
2024-05-15,vivian.com,< 10%,0.34%,44.44%,81.47%,23.48%,3.77%
2024-05-15,hellolanding.com,< 10%,6.65%,52.25%,78.78%,32.52%,3.65%
2024-05-15,indeed.com,< 10%,0.67%,11.11%,85.34%,3.01%,3.78%
2024-05-15,vrbo.com,< 10%,1.87%,58.00%,86.64%,32.31%,3.74%
2024-05-18,You,36.37%, --, --,85.93%,8.11%, --
2024-05-18,airbnb.com,35.05%,36.25%,46.84%,80.12%,26.19%,30.19%
2024-05-18,trustedhealth.com,< 10%,0.50%,53.85%,84.21%,14.62%,36.27%
2024-05-18,vivian.com,< 10%,1.03%,33.33%,83.52%,21.02%,36.24%
2024-05-18,hellolanding.com,< 10%,5.47%,55.24%,83.30%,34.61%,35.27%
2024-05-18,indeed.com,< 10%,0.61%,56.25%,84.86%,17.30%,36.24%
2024-05-18,vrbo.com,< 10%,1.34%,45.71%,81.82%,34.42%,36.15%
2024-05-11,furnishedfinder.com,32.85%,65.03%,78.07%,93.72%,55.27%,3.83%
2024-05-11,ayahealthcare.com,< 10%,1.37%,51.52%,85.77%,29.25%,7.72%
2024-05-11,apartmentlist.com,< 10%,11.27%,20.30%,75.03%,10.45%,7.60%
2024-05-11,evolve.com,< 10%,18.59%,78.97%,94.51%,36.38%,6.64%
2024-05-11,hometogo.com,< 10%,7.07%,7.65%,47.93%,4.11%,7.74%
2024-05-13,furnishedfinder.com,26.57%,60.20%,72.90%,93.79%,52.87%,2.97%
2024-05-13,ayahealthcare.com,10.84%,2.40%,58.21%,87.98%,33.34%,5.21%
2024-05-13,apartmentlist.com,< 10%,10.08%,21.00%,78.86%,15.91%,5.18%
2024-05-13,evolve.com,< 10%,17.03%,73.26%,92.93%,29.19%,4.63%
2024-05-13,hometogo.com,< 10%,5.88%,9.76%,43.88%,2.82%,5.26%
2024-05-11,You,< 10%, --, --,91.68%,22.62%, --
2024-05-11,airbnb.com,29.39%,37.21%,35.75%,85.13%,24.76%,6.74%
2024-05-11,trustedhealth.com,< 10%,1.29%,25.81%,87.85%,16.10%,7.75%
2024-05-11,vivian.com,< 10%,1.41%,41.18%,83.59%,21.93%,7.73%
2024-05-11,hellolanding.com,< 10%,9.90%,44.96%,81.26%,37.13%,7.43%
2024-05-11,indeed.com,< 10%,3.70%,33.71%,87.41%,18.44%,7.68%
2024-05-11,vrbo.com,< 10%,4.28%,45.63%,85.28%,35.87%,7.63%
2024-05-13,You,< 10%, --, --,89.82%,26.86%, --
2024-05-13,airbnb.com,25.79%,33.85%,31.04%,83.74%,21.36%,4.73%
2024-05-13,trustedhealth.com,< 10%,1.65%,30.43%,85.65%,15.62%,5.26%
2024-05-13,vivian.com,< 10%,1.90%,52.83%,86.04%,19.03%,5.23%
2024-05-13,hellolanding.com,< 10%,8.82%,50.41%,85.40%,38.45%,5.05%
2024-05-13,indeed.com,< 10%,4.45%,30.65%,82.12%,8.79%,5.22%
2024-05-13,vrbo.com,< 10%,4.95%,31.16%,82.87%,37.77%,5.21%
2024-05-20,furnishedfinder.com,61.17%,87.15%,87.35%,92.52%,62.68%,8.56%
2024-05-20,ayahealthcare.com,< 10%,2.25%,46.58%,80.67%,29.38%,35.48%
2024-05-20,apartmentlist.com,< 10%,6.59%,30.37%,65.12%,8.49%,35.13%
2024-05-20,evolve.com,23.40%,39.49%,75.82%,93.02%,34.21%,25.12%
2024-05-20,hometogo.com,< 10%,2.40%,23.08%,35.38%,1.67%,35.65%
2024-05-21,furnishedfinder.com,55.74%,86.62%,86.52%,92.42%,59.41%,8.77%
2024-05-21,ayahealthcare.com,< 10%,2.37%,48.78%,83.98%,38.31%,34.58%
2024-05-21,apartmentlist.com,< 10%,6.21%,30.70%,67.59%,8.76%,34.32%
2024-05-21,evolve.com,23.13%,43.06%,76.85%,94.32%,37.72%,23.41%
2024-05-21,hometogo.com,< 10%,2.40%,13.25%,31.20%,0.84%,34.87%
2024-05-20,You,35.85%, --, --,86.72%,7.73%, --
2024-05-20,airbnb.com,31.59%,33.86%,46.59%,79.37%,23.08%,30.20%
2024-05-20,trustedhealth.com,< 10%,0.86%,35.71%,77.97%,9.60%,35.74%
2024-05-20,vivian.com,< 10%,1.05%,14.71%,83.55%,13.82%,35.80%
2024-05-20,hellolanding.com,< 10%,5.64%,45.90%,77.00%,30.33%,34.92%
2024-05-20,indeed.com,< 10%,0.74%,33.33%,85.88%,11.86%,35.76%
2024-05-20,vrbo.com,< 10%,1.45%,51.06%,83.33%,31.88%,35.59%
2024-05-21,You,34.98%, --, --,86.85%,8.21%, --
2024-05-21,airbnb.com,29.94%,32.05%,44.36%,80.34%,24.76%,30.01%
2024-05-21,trustedhealth.com,< 10%,1.30%,33.33%,84.49%,12.03%,34.83%
2024-05-21,vivian.com,< 10%,0.84%,34.48%,87.44%,19.53%,34.88%
2024-05-21,hellolanding.com,< 10%,4.54%,49.68%,77.80%,29.37%,34.20%
2024-05-21,indeed.com,< 10%,0.26%,77.78%,82.03%,12.11%,34.91%
2024-05-21,vrbo.com,< 10%,1.45%,70.00%,89.08%,34.20%,34.63%
2024-05-16,furnishedfinder.com,54.99%,85.72%,89.39%,93.36%,59.04%,6.91%
2024-05-16,ayahealthcare.com,< 10%,2.39%,49.33%,80.49%,21.22%,29.22%
2024-05-16,apartmentlist.com,< 10%,6.14%,33.16%,72.30%,10.69%,28.97%
2024-05-16,evolve.com,24.76%,41.67%,85.95%,94.72%,43.64%,18.98%
2024-05-16,hometogo.com,< 10%,4.58%,34.72%,50.59%,4.05%,29.10%
2024-05-16,You,29.57%, --, --,85.37%,6.14%, --
2024-05-16,airbnb.com,34.67%,33.27%,46.46%,80.71%,26.70%,25.00%
2024-05-16,trustedhealth.com,< 10%,0.95%,40.00%,76.78%,10.11%,29.46%
2024-05-16,vivian.com,< 10%,0.41%,38.46%,84.85%,13.64%,29.52%
2024-05-16,hellolanding.com,< 10%,6.27%,51.27%,79.44%,32.29%,28.62%
2024-05-16,indeed.com,< 10%,0.54%,41.18%,76.06%,14.36%,29.50%
2024-05-16,vrbo.com,< 10%,1.84%,65.52%,88.71%,36.01%,29.21%
2024-05-09,furnishedfinder.com,24.59%,68.73%,71.51%,92.08%,49.94%,5.15%
2024-05-09,ayahealthcare.com,10.86%,2.73%,53.45%,88.47%,36.60%,9.97%
2024-05-09,apartmentlist.com,< 10%,9.10%,19.17%,78.54%,13.16%,9.94%
2024-05-09,evolve.com,< 10%,20.52%,69.80%,92.08%,33.16%,8.67%
2024-05-09,hometogo.com,< 10%,3.91%,7.23%,42.00%,4.37%,10.09%
2024-05-10,furnishedfinder.com,24.03%,66.05%,70.58%,91.89%,45.99%,5.48%
2024-05-10,ayahealthcare.com,11.26%,2.49%,50.00%,88.17%,34.31%,10.14%
2024-05-10,apartmentlist.com,< 10%,11.51%,17.28%,79.62%,8.61%,10.06%
2024-05-10,evolve.com,< 10%,20.03%,64.39%,93.06%,30.00%,8.94%
2024-05-10,hometogo.com,< 10%,6.46%,11.92%,56.42%,3.67%,10.19%
2024-05-09,You,10.12%, --, --,90.36%,25.31%, --
2024-05-09,airbnb.com,26.71%,34.26%,32.32%,87.39%,28.07%,9.00%
2024-05-09,trustedhealth.com,< 10%,1.79%,27.63%,84.49%,19.17%,10.07%
2024-05-09,vivian.com,< 10%,1.58%,47.76%,87.06%,22.81%,10.04%
2024-05-09,hellolanding.com,< 10%,8.34%,43.22%,83.37%,36.41%,9.76%
2024-05-09,indeed.com,< 10%,3.32%,34.04%,86.26%,17.17%,10.01%
2024-05-09,vrbo.com,< 10%,2.83%,45.83%,84.63%,35.87%,9.99%
2024-05-10,You,10.27%, --, --,91.90%,27.68%, --
2024-05-10,airbnb.com,24.44%,32.11%,28.95%,86.65%,27.13%,9.31%
2024-05-10,trustedhealth.com,< 10%,1.32%,33.96%,82.04%,16.51%,10.22%
2024-05-10,vivian.com,< 10%,1.76%,45.07%,81.00%,19.03%,10.18%
2024-05-10,hellolanding.com,< 10%,10.24%,49.03%,87.44%,43.10%,9.75%
2024-05-10,indeed.com,< 10%,4.32%,25.86%,84.04%,10.79%,10.15%
2024-05-10,vrbo.com,< 10%,3.95%,38.36%,84.08%,32.61%,10.11%
2024-05-12,furnishedfinder.com,32.05%,64.02%,73.34%,91.46%,48.24%,3.45%
2024-05-12,ayahealthcare.com,< 10%,1.80%,55.56%,84.97%,34.38%,6.43%
2024-05-12,apartmentlist.com,< 10%,9.08%,17.03%,69.45%,13.05%,6.40%
2024-05-12,evolve.com,< 10%,19.21%,71.43%,91.64%,34.89%,5.61%
2024-05-12,hometogo.com,< 10%,5.54%,10.81%,47.30%,0.67%,6.46%
2024-05-17,furnishedfinder.com,53.67%,83.68%,87.03%,92.02%,55.29%,8.15%
2024-05-17,ayahealthcare.com,< 10%,2.80%,54.88%,81.23%,32.84%,29.53%
2024-05-17,apartmentlist.com,< 10%,6.62%,36.08%,75.48%,13.70%,29.28%
2024-05-17,evolve.com,21.37%,39.67%,82.87%,94.39%,43.03%,20.13%
2024-05-17,hometogo.com,< 10%,4.10%,20.00%,36.06%,2.47%,29.75%
2024-05-12,You,< 10%, --, --,91.07%,26.30%, --
2024-05-12,airbnb.com,26.73%,34.63%,31.99%,80.92%,20.99%,5.78%
2024-05-12,trustedhealth.com,< 10%,1.50%,50.00%,83.57%,12.78%,6.45%
2024-05-12,vivian.com,< 10%,1.50%,43.33%,75.73%,16.30%,6.46%
2024-05-12,hellolanding.com,< 10%,10.48%,47.14%,86.77%,39.34%,6.18%
2024-05-12,indeed.com,< 10%,4.19%,29.76%,90.30%,17.67%,6.42%
2024-05-12,vrbo.com,< 10%,4.09%,35.37%,79.49%,31.90%,6.41%
2024-05-19,furnishedfinder.com,56.32%,87.28%,85.08%,93.03%,57.37%,9.46%
2024-05-19,ayahealthcare.com,< 10%,1.37%,53.66%,84.29%,27.20%,36.47%
2024-05-19,apartmentlist.com,< 10%,7.91%,28.69%,69.75%,11.00%,35.91%
2024-05-19,evolve.com,24.73%,43.17%,78.04%,95.24%,40.67%,24.37%
2024-05-19,hometogo.com,< 10%,3.57%,28.97%,45.42%,3.12%,36.36%
2024-05-17,You,29.99%, --, --,84.91%,7.44%, --
2024-05-17,airbnb.com,36.06%,34.69%,48.72%,83.75%,29.88%,24.93%
2024-05-17,trustedhealth.com,< 10%,0.96%,32.14%,74.26%,12.87%,29.90%
2024-05-17,vivian.com,< 10%,0.55%,37.50%,84.00%,13.60%,29.93%
2024-05-17,hellolanding.com,< 10%,5.16%,49.67%,83.45%,34.77%,29.23%
2024-05-17,indeed.com,< 10%,0.72%,52.38%,81.35%,16.58%,29.88%
2024-05-17,vrbo.com,< 10%,2.25%,69.70%,84.52%,34.44%,29.52%
2024-05-22,furnishedfinder.com,50.28%,85.04%,86.14%,91.45%,59.53%,9.14%
2024-05-22,ayahealthcare.com,< 10%,2.23%,51.28%,85.24%,37.01%,33.77%
2024-05-22,apartmentlist.com,< 10%,6.49%,33.04%,71.56%,9.08%,33.43%
2024-05-22,evolve.com,18.16%,35.68%,69.21%,91.39%,32.72%,25.73%
2024-05-22,hometogo.com,< 10%,4.84%,24.85%,49.55%,3.74%,33.75%
2024-05-19,You,36.74%, --, --,88.85%,9.35%, --
2024-05-19,airbnb.com,33.28%,34.16%,44.77%,81.31%,27.50%,31.13%
2024-05-19,trustedhealth.com,< 10%,1.54%,32.61%,78.93%,12.26%,36.56%
2024-05-19,vivian.com,< 10%,0.97%,48.28%,78.29%,17.14%,36.57%
2024-05-19,hellolanding.com,< 10%,6.04%,52.49%,85.17%,35.26%,35.58%
2024-05-19,indeed.com,< 10%,1.04%,41.94%,85.59%,15.77%,36.58%
2024-05-19,vrbo.com,< 10%,1.17%,60.00%,85.87%,28.62%,36.49%
