Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-05-26,hometogo.com,10.54%,4.35%,30.36%,58.57%,5.27%,27.65%
2024-05-26,furnishedfinder.com,52.99%,88.50%,88.67%,91.25%,58.54%,6.03%
2024-05-26,hellolanding.com,< 10%,5.21%,55.22%,84.83%,36.51%,27.21%
2024-05-26,airbnb.com,37.92%,34.75%,46.42%,86.94%,32.13%,23.50%
2024-05-26,You,28.02%, --, --,87.72%,8.47%, --
2024-05-26,evolve.com,18.15%,39.53%,67.75%,93.70%,31.91%,20.51%
2024-05-26,apartmentlist.com,11.15%,6.22%,40.63%,77.54%,12.01%,27.31%
2024-06-03,hometogo.com,< 10%,5.00%,26.63%,47.81%,5.43%,35.35%
2024-05-31,hometogo.com,< 10%,3.62%,33.73%,46.20%,3.30%,37.59%
2024-05-28,hometogo.com,< 10%,1.21%,17.78%,28.22%,1.87%,30.71%
2024-05-31,furnishedfinder.com,64.79%,84.77%,93.00%,94.33%,73.98%,8.06%
2024-05-31,hellolanding.com,< 10%,5.50%,38.10%,65.79%,16.51%,37.25%
2024-06-03,You,35.83%, --, --,85.89%,10.62%, --
2024-05-28,furnishedfinder.com,53.69%,84.99%,88.52%,91.72%,64.98%,7.62%
2024-06-03,furnishedfinder.com,53.48%,79.68%,86.26%,92.68%,62.81%,11.20%
2024-05-28,You,30.78%, --, --,87.19%,9.41%, --
2024-06-03,airbnb.com,32.29%,32.87%,43.85%,79.74%,25.28%,30.67%
2024-05-28,airbnb.com,33.75%,34.14%,43.09%,83.97%,25.86%,26.25%
2024-05-31,airbnb.com,28.70%,29.73%,50.81%,76.97%,18.87%,32.30%
2024-05-28,hellolanding.com,< 10%,4.37%,44.79%,77.51%,29.76%,30.17%
2024-05-31,evolve.com,19.90%,33.35%,67.67%,92.07%,26.88%,29.46%
2024-05-31,You,38.05%, --, --,83.41%,5.54%, --
2024-05-28,apartmentlist.com,< 10%,6.94%,36.68%,74.81%,10.82%,29.99%
2024-05-31,apartmentlist.com,< 10%,5.85%,32.84%,70.30%,10.44%,37.32%
2024-06-03,hellolanding.com,< 10%,3.97%,41.14%,78.20%,29.60%,35.25%
2024-06-03,apartmentlist.com,< 10%,7.51%,28.09%,73.44%,10.86%,35.08%
2024-06-03,evolve.com,21.07%,36.69%,74.81%,94.36%,39.09%,26.00%
2024-05-28,evolve.com,13.21%,26.21%,55.01%,91.45%,23.22%,26.34%
2024-05-27,furnishedfinder.com,56.51%,87.54%,87.67%,93.21%,63.36%,6.25%
2024-05-25,furnishedfinder.com,64.13%,90.27%,92.20%,92.90%,63.26%,5.71%
2024-06-01,furnishedfinder.com,68.21%,87.65%,93.86%,93.83%,68.31%,7.05%
2024-05-30,hometogo.com,< 10%,3.48%,22.64%,46.27%,5.22%,40.06%
2024-06-01,hometogo.com,< 10%,2.80%,23.08%,38.16%,4.93%,39.52%
2024-05-29,furnishedfinder.com,61.83%,86.74%,89.09%,92.84%,66.82%,8.43%
2024-05-27,hometogo.com,< 10%,4.15%,22.31%,46.63%,4.27%,26.64%
2024-05-29,hometogo.com,< 10%,4.18%,22.58%,42.07%,2.99%,36.74%
2024-05-25,hometogo.com,< 10%,3.26%,32.35%,48.72%,3.33%,33.71%
