Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-05-24,You,71.11%, --, --,94.66%,75.38%, --
2024-05-25,You,67.48%, --, --,94.80%,72.79%, --
2024-05-24,airbnb.com,35.70%,38.87%,39.46%,93.43%,34.91%,60.20%
2024-05-24,hellolanding.com,< 10%,9.69%,38.26%,95.12%,32.32%,68.47%
2024-05-24,apartmentlist.com,< 10%,7.73%,22.52%,90.71%,15.89%,69.87%
2024-05-25,hellolanding.com,11.35%,12.64%,36.94%,93.30%,33.22%,64.33%
2024-05-25,airbnb.com,40.01%,43.85%,38.63%,92.36%,35.00%,56.05%
2024-05-24,rent.com,< 10%,2.57%,45.72%,87.31%,18.66%,70.27%
2024-05-25,apartmentlist.com,< 10%,9.25%,21.28%,91.59%,16.58%,66.15%
2024-05-25,rent.com,< 10%,2.29%,42.29%,83.93%,15.18%,66.83%
2024-06-03,You,73.73%, --, --,96.51%,81.97%, --
2024-06-03,hellolanding.com,< 10%,4.58%,27.70%,92.08%,27.73%,72.79%
2024-06-03,airbnb.com,33.53%,35.14%,30.35%,91.75%,30.36%,65.87%
2024-06-03,rent.com,< 10%,2.80%,32.37%,90.38%,16.24%,73.06%
2024-06-03,apartmentlist.com,< 10%,8.68%,14.77%,90.16%,12.09%,72.78%
2024-06-01,airbnb.com,39.48%,42.25%,38.47%,89.37%,31.45%,46.46%
2024-06-01,hellolanding.com,< 10%,7.04%,38.49%,87.76%,34.23%,53.98%
2024-06-01,You,55.48%, --, --,92.00%,72.44%, --
2024-05-27,hellolanding.com,< 10%,9.69%,40.52%,93.53%,37.17%,65.68%
2024-05-27,You,68.36%, --, --,94.76%,76.03%, --
2024-05-27,airbnb.com,33.78%,36.43%,37.21%,92.35%,32.32%,59.10%
2024-05-27,rent.com,< 10%,2.98%,43.65%,87.79%,20.07%,67.47%
2024-06-01,rent.com,10.19%,5.10%,50.74%,86.75%,17.90%,54.05%
2024-06-01,apartmentlist.com,13.59%,11.31%,29.56%,88.24%,19.68%,53.63%
2024-05-27,apartmentlist.com,< 10%,7.94%,22.52%,89.94%,16.24%,67.14%
2024-06-05,You,75.68%, --, --,96.28%,78.69%, --
2024-05-30,airbnb.com,36.07%,37.10%,38.22%,91.21%,33.97%,55.82%
2024-05-30,You,65.05%, --, --,94.47%,78.22%, --
2024-05-23,You,66.42%, --, --,94.98%,77.71%, --
2024-06-05,hellolanding.com,< 10%,4.80%,29.58%,91.05%,28.50%,74.61%
2024-05-28,hellolanding.com,< 10%,5.20%,39.30%,89.74%,35.44%,66.09%
2024-05-26,airbnb.com,38.81%,42.66%,39.86%,92.27%,34.46%,56.46%
2024-05-26,hellolanding.com,11.43%,12.91%,46.88%,94.14%,42.24%,63.92%
2024-05-28,airbnb.com,33.40%,35.57%,37.90%,91.33%,33.39%,58.38%
2024-06-05,apartmentlist.com,< 10%,7.69%,15.33%,90.62%,11.83%,74.79%
2024-05-23,airbnb.com,33.35%,36.59%,37.71%,92.33%,34.61%,57.26%
2024-05-28,You,67.47%, --, --,94.45%,78.22%, --
2024-05-26,apartmentlist.com,10.39%,9.50%,22.00%,90.32%,15.03%,66.61%
2024-06-05,airbnb.com,38.12%,39.39%,37.50%,92.58%,36.33%,64.50%
2024-05-28,apartmentlist.com,< 10%,7.86%,24.03%,90.26%,16.71%,66.20%
2024-05-23,hellolanding.com,< 10%,8.19%,38.36%,92.85%,31.57%,64.34%
2024-06-05,rent.com,< 10%,2.03%,34.69%,88.56%,13.76%,75.15%
2024-05-26,rent.com,< 10%,0.58%,31.25%,69.81%,5.19%,67.91%
2024-05-23,apartmentlist.com,< 10%,7.40%,19.52%,90.11%,17.60%,65.46%
2024-05-28,rent.com,< 10%,3.06%,46.63%,89.66%,19.87%,66.51%
2024-05-30,apartmentlist.com,11.02%,8.87%,24.59%,90.61%,17.75%,63.63%
2024-05-26,You,68.03%, --, --,94.69%,72.40%, --
2024-05-30,hellolanding.com,< 10%,5.68%,36.93%,91.12%,30.53%,63.68%
2024-05-30,rent.com,< 10%,3.53%,43.99%,88.20%,19.41%,64.04%
2024-05-23,rent.com,< 10%,2.27%,45.93%,85.76%,18.23%,65.73%
2024-06-02,airbnb.com,40.20%,42.16%,36.56%,89.87%,32.88%,48.49%
2024-06-02,You,57.33%, --, --,93.36%,73.85%, --
2024-06-02,rent.com,< 10%,1.44%,36.81%,74.40%,10.99%,57.02%
2024-06-02,hellolanding.com,< 10%,7.24%,38.49%,89.52%,36.30%,55.73%
2024-05-29,hellolanding.com,< 10%,4.78%,36.64%,90.13%,34.33%,65.87%
2024-06-02,apartmentlist.com,14.01%,11.21%,24.94%,87.40%,18.63%,55.72%
2024-05-29,You,67.05%, --, --,94.97%,76.28%, --
