Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-07-09,apartmentlist.com,< 10%,8.79%,10.98%,92.75%,8.82%,83.98%
2024-07-09,You,84.80%, --, --,96.15%,83.75%, --
2024-07-09,hellolanding.com,< 10%,5.97%,14.75%,86.63%,11.51%,84.05%
2024-07-09,airbnb.com,42.38%,46.50%,24.04%,93.50%,24.53%,75.32%
2024-07-04,apartmentlist.com,< 10%,8.65%,21.33%,89.40%,13.39%,71.34%
2024-07-04,You,72.68%, --, --,93.14%,73.15%, --
2024-07-04,airbnb.com,52.16%,55.67%,32.36%,92.96%,30.87%,59.59%
2024-07-04,hellolanding.com,13.06%,13.03%,26.99%,90.44%,25.80%,70.13%
2024-07-10,apartmentlist.com,< 10%,9.19%,9.65%,92.73%,7.85%,85.08%
2024-07-14,apartmentlist.com,< 10%,8.39%,7.03%,91.22%,4.80%,91.56%
2024-07-12,apartmentlist.com,< 10%,9.46%,8.33%,91.50%,6.18%,87.24%
2024-07-15,apartmentlist.com,< 10%,6.88%,5.09%,82.60%,4.17%,90.79%
2024-07-12,You,87.93%, --, --,96.78%,84.77%, --
2024-07-10,hellolanding.com,< 10%,5.57%,20.00%,89.18%,15.30%,84.88%
2024-07-12,hellolanding.com,< 10%,0.20%,21.74%,92.00%,12.00%,87.90%
2024-07-12,airbnb.com,43.76%,48.10%,22.07%,93.34%,22.25%,78.60%
2024-07-10,airbnb.com,41.26%,45.34%,21.77%,93.34%,21.89%,77.36%
2024-07-15,airbnb.com,39.54%,42.24%,16.41%,87.31%,16.66%,84.79%
2024-07-14,airbnb.com,45.11%,47.77%,18.92%,92.30%,18.88%,83.78%
2024-07-14,hellolanding.com,< 10%,0.10%,40.00%,100.00%,30.00%,92.06%
2024-07-10,You,85.84%, --, --,96.59%,84.91%, --
2024-07-15,hellolanding.com,< 10%,0.12%,5.88%,88.24%,5.88%,91.10%
2024-07-15,You,91.11%, --, --,96.12%,88.41%, --
2024-07-14,You,92.10%, --, --,96.67%,86.76%, --
2024-07-03,apartmentlist.com,< 10%,9.35%,18.52%,87.01%,11.64%,70.70%
2024-07-11,apartmentlist.com,< 10%,8.54%,9.90%,93.55%,8.04%,85.27%
2024-07-13,apartmentlist.com,< 10%,8.39%,7.75%,87.52%,6.24%,89.21%
2024-07-02,apartmentlist.com,< 10%,8.10%,13.44%,92.01%,10.71%,75.70%
2024-07-06,apartmentlist.com,< 10%,8.54%,18.49%,86.36%,11.73%,70.95%
2024-07-08,apartmentlist.com,10.98%,10.78%,16.71%,89.96%,14.04%,74.68%
2024-07-05,apartmentlist.com,< 10%,8.41%,16.76%,86.93%,11.11%,71.61%
2024-07-07,apartmentlist.com,11.16%,11.09%,19.83%,91.05%,14.87%,70.98%
2024-07-11,hellolanding.com,< 10%,0.12%,20.00%,93.75%,0.00%,85.98%
2024-07-11,You,86.00%, --, --,96.86%,85.92%, --
2024-07-02,You,76.53%, --, --,95.81%,78.60%, --
2024-07-11,airbnb.com,39.40%,43.74%,21.46%,94.61%,21.35%,77.93%
2024-07-03,airbnb.com,49.19%,53.24%,34.03%,92.99%,31.80%,58.91%
2024-07-13,You,89.79%, --, --,96.80%,86.41%, --
2024-07-03,hellolanding.com,12.45%,12.38%,26.32%,88.90%,25.25%,69.60%
2024-07-02,airbnb.com,44.54%,48.78%,31.41%,93.39%,30.92%,64.81%
2024-07-05,airbnb.com,50.48%,54.10%,33.31%,92.03%,31.11%,59.54%
2024-07-03,You,71.94%, --, --,93.18%,73.65%, --
2024-07-07,hellolanding.com,13.97%,14.45%,36.42%,89.93%,31.45%,68.76%
2024-07-06,airbnb.com,49.76%,52.93%,33.24%,91.80%,31.87%,59.41%
2024-07-06,hellolanding.com,14.08%,14.74%,29.95%,89.41%,26.54%,68.91%
2024-07-02,hellolanding.com,10.13%,10.98%,21.19%,89.87%,17.45%,74.75%
2024-07-13,airbnb.com,44.36%,47.56%,19.16%,92.71%,19.65%,81.61%
2024-07-13,hellolanding.com,< 10%,0.11%,10.00%,80.00%,10.00%,89.78%
2024-07-08,airbnb.com,48.58%,51.70%,30.52%,92.60%,30.20%,64.05%
2024-07-07,airbnb.com,51.22%,54.43%,33.66%,91.83%,31.71%,59.28%
2024-07-06,You,72.09%, --, --,93.02%,73.51%, --
2024-07-05,hellolanding.com,13.72%,13.93%,32.50%,90.10%,29.29%,69.35%
2024-07-05,You,72.63%, --, --,92.69%,72.41%, --
2024-07-08,hellolanding.com,< 10%,7.73%,26.31%,89.04%,20.44%,74.51%
2024-07-08,You,76.05%, --, --,94.88%,77.37%, --
2024-07-07,You,72.58%, --, --,92.91%,72.41%, --
