Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-04-14,apartmentlist.com,< 10%,8.43%,22.42%,86.82%,17.22%,74.01%
2024-04-18,apartmentlist.com,< 10%,5.81%,16.00%,86.02%,11.23%,78.53%
2024-04-20,apartmentlist.com,< 10%,7.06%,15.43%,80.48%,10.70%,86.53%
2024-04-21,apartmentlist.com,< 10%,7.21%,18.78%,85.45%,12.93%,85.79%
2024-04-14,You,75.44%, --, --,97.57%,79.28%, --
2024-04-14,airbnb.com,23.30%,25.13%,42.77%,91.12%,37.67%,67.33%
2024-04-14,hellolanding.com,10.20%,10.82%,40.24%,87.40%,33.01%,72.16%
2024-04-18,You,79.27%, --, --,97.55%,73.98%, --
2024-04-18,airbnb.com,33.14%,36.20%,46.77%,93.12%,43.21%,65.85%
2024-04-18,hellolanding.com,10.96%,11.98%,36.85%,91.70%,29.62%,75.77%
2024-04-20,You,87.49%, --, --,97.95%,70.53%, --
2024-04-20,airbnb.com,41.17%,44.23%,47.68%,95.15%,44.90%,69.04%
2024-04-20,hellolanding.com,12.92%,13.65%,32.82%,94.47%,29.08%,83.57%
2024-04-21,You,86.97%, --, --,97.66%,76.05%, --
2024-04-21,airbnb.com,32.03%,34.43%,44.15%,93.29%,40.83%,73.75%
2024-04-21,hellolanding.com,11.77%,12.60%,36.63%,91.88%,30.99%,82.96%
2024-04-11,apartmentlist.com,< 10%,7.77%,20.00%,89.14%,15.89%,7.07%
2024-04-15,apartmentlist.com,< 10%,8.16%,24.83%,86.34%,18.17%,77.45%
2024-04-16,apartmentlist.com,< 10%,6.43%,16.67%,84.64%,12.25%,78.50%
2024-04-17,apartmentlist.com,< 10%,6.40%,16.11%,85.11%,10.64%,79.37%
2024-04-19,apartmentlist.com,< 10%,5.94%,12.29%,82.79%,7.48%,81.15%
2024-04-11,You,< 10%, --, --,97.65%,77.63%, --
2024-04-11,airbnb.com,25.00%,26.82%,44.71%,93.13%,39.86%,6.32%
2024-04-11,hellolanding.com,< 10%,9.71%,35.98%,89.33%,30.28%,6.93%
2024-04-15,You,79.05%, --, --,96.83%,80.48%, --
2024-04-15,airbnb.com,20.85%,22.58%,41.18%,91.20%,36.23%,71.70%
2024-04-15,hellolanding.com,< 10%,9.89%,35.28%,89.56%,30.34%,76.30%
2024-04-16,You,79.35%, --, --,97.51%,79.42%, --
2024-04-16,airbnb.com,25.88%,27.97%,42.41%,91.97%,38.94%,69.94%
2024-04-16,hellolanding.com,< 10%,8.91%,36.72%,87.86%,31.33%,76.75%
2024-04-17,You,80.20%, --, --,98.05%,77.73%, --
2024-04-17,airbnb.com,28.69%,31.23%,44.36%,92.61%,41.11%,69.09%
2024-04-17,hellolanding.com,< 10%,10.08%,33.80%,89.22%,28.91%,77.47%
2024-04-19,You,81.75%, --, --,97.73%,71.52%, --
2024-04-19,airbnb.com,38.71%,42.67%,47.69%,95.72%,44.37%,65.12%
2024-04-19,hellolanding.com,11.76%,12.55%,38.89%,93.66%,31.03%,77.76%
2024-04-12,apartmentlist.com,< 10%,9.07%,24.50%,92.11%,16.71%,25.75%
2024-04-13,apartmentlist.com,< 10%,9.69%,25.21%,89.37%,18.84%,38.17%
2024-04-12,You,26.33%, --, --,97.86%,76.43%, --
2024-04-12,airbnb.com,27.64%,30.07%,48.67%,93.99%,42.84%,22.48%
2024-04-12,hellolanding.com,< 10%,10.57%,40.65%,92.51%,33.91%,25.20%
2024-04-22,apartmentlist.com,< 10%,6.45%,19.75%,85.14%,14.51%,43.21%
2024-04-13,You,39.12%, --, --,97.34%,74.57%, --
2024-04-13,airbnb.com,28.19%,30.19%,45.86%,92.69%,40.53%,33.71%
2024-04-13,hellolanding.com,12.97%,13.93%,41.59%,91.48%,33.90%,36.86%
2024-04-23,apartmentlist.com,10.80%,11.43%,25.79%,87.03%,15.84%,72.35%
2024-04-24,apartmentlist.com,14.30%,15.32%,26.58%,90.36%,17.33%,70.72%
2024-04-22,You,43.77%, --, --,97.56%,77.35%, --
2024-04-22,airbnb.com,26.82%,28.87%,46.14%,92.83%,42.55%,37.94%
2024-04-22,hellolanding.com,10.58%,11.25%,40.31%,90.98%,31.73%,41.78%
2024-04-23,You,74.54%, --, --,94.82%,69.20%, --
2024-04-23,airbnb.com,34.10%,35.77%,57.31%,91.83%,53.51%,59.26%
2024-04-23,hellolanding.com,11.26%,11.22%,43.13%,89.79%,32.94%,70.94%
2024-04-24,You,73.72%, --, --,95.09%,66.97%, --
2024-04-24,airbnb.com,37.46%,39.63%,58.27%,93.00%,53.86%,56.70%
2024-04-24,hellolanding.com,10.81%,10.04%,51.04%,90.42%,36.67%,69.94%
