Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-01-05,You,83.21%, --, --,98.39%,78.91%, --
2024-01-05,airbnb.com,14.22%,16.20%,36.75%,95.04%,34.50%,78.26%
2024-01-05,hellolanding.com,10.12%,11.37%,30.14%,93.31%,26.62%,80.36%
2024-01-06,You,84.50%, --, --,98.45%,76.47%, --
2024-01-06,airbnb.com,17.18%,19.04%,39.02%,94.19%,35.85%,78.22%
2024-01-06,hellolanding.com,11.40%,12.64%,26.09%,93.22%,21.45%,81.71%
2024-01-09,You,84.11%, --, --,98.30%,71.33%, --
2024-01-09,airbnb.com,16.03%,17.98%,36.89%,95.36%,33.03%,78.53%
2024-01-09,hellolanding.com,13.77%,15.49%,32.99%,94.36%,28.56%,79.81%
2024-01-12,You,84.60%, --, --,98.53%,71.71%, --
2024-01-12,airbnb.com,14.13%,15.97%,30.92%,95.39%,28.67%,80.42%
2024-01-12,hellolanding.com,10.16%,11.56%,31.93%,93.51%,27.29%,81.48%
2024-01-13,You,85.69%, --, --,98.43%,71.29%, --
2024-01-13,airbnb.com,18.24%,20.28%,35.20%,95.13%,33.07%,79.57%
2024-01-13,hellolanding.com,11.33%,12.62%,33.33%,93.67%,27.85%,82.08%
2024-01-14,You,79.78%, --, --,97.92%,67.90%, --
2024-01-14,airbnb.com,20.01%,21.17%,38.13%,92.64%,33.75%,73.34%
2024-01-14,hellolanding.com,10.22%,11.04%,35.28%,90.79%,28.58%,76.67%
2024-01-15,You,81.79%, --, --,98.06%,71.00%, --
2024-01-15,airbnb.com,18.04%,20.17%,31.57%,93.18%,28.50%,76.58%
2024-01-15,hellolanding.com,10.62%,12.08%,35.20%,90.84%,30.28%,78.31%
2024-01-04,You,71.60%, --, --,98.56%,79.18%, --
2024-01-04,airbnb.com,15.43%,17.15%,37.40%,94.40%,34.83%,67.01%
2024-01-04,hellolanding.com,10.53%,11.67%,32.22%,94.57%,28.53%,68.91%
2024-01-07,You,84.70%, --, --,98.33%,75.30%, --
2024-01-07,airbnb.com,17.23%,19.25%,38.98%,94.98%,36.33%,78.34%
2024-01-07,hellolanding.com,15.96%,17.89%,30.24%,94.08%,26.14%,80.12%
2024-01-08,You,83.66%, --, --,98.56%,72.71%, --
2024-01-08,airbnb.com,16.67%,18.91%,38.95%,95.66%,35.63%,77.50%
2024-01-08,hellolanding.com,15.37%,17.45%,34.88%,93.98%,30.42%,78.56%
2024-01-10,You,83.74%, --, --,98.40%,71.71%, --
2024-01-10,airbnb.com,19.57%,22.23%,39.13%,95.62%,36.52%,76.46%
2024-01-10,hellolanding.com,11.85%,13.29%,32.68%,92.54%,27.77%,80.10%
2024-01-11,You,84.46%, --, --,98.52%,70.50%, --
2024-01-11,airbnb.com,17.76%,19.82%,36.69%,95.33%,33.87%,78.32%
2024-01-11,hellolanding.com,12.04%,13.47%,34.43%,92.88%,29.00%,80.54%
2024-01-16,You,79.10%, --, --,97.73%,74.63%, --
2024-01-16,airbnb.com,10.82%,10.03%,40.84%,92.19%,34.87%,75.86%
2024-01-16,hellolanding.com,11.07%,11.89%,36.85%,91.39%,33.98%,75.64%
2024-01-17,You,80.46%, --, --,98.10%,79.05%, --
2024-01-17,airbnb.com,< 10%,6.96%,35.78%,93.30%,31.72%,78.45%
2024-01-17,hellolanding.com,< 10%,10.52%,36.88%,92.32%,34.49%,77.34%
