Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-02-03,hellolanding.com,18.94%,22.42%,2.36%,64.51%,2.07%,82.92%
2024-02-03,travelnursehousing.com,60.11%,69.86%,21.65%,93.80%,20.49%,70.76%
2024-02-03,airbnb.com,14.47%,16.77%,3.16%,60.68%,2.71%,82.92%
2024-02-03,You,83.37%, --, --,95.70%,73.63%, --
2024-02-06,travelnursehousing.com,59.51%,68.37%,11.60%,94.44%,10.12%,74.07%
2024-02-01,travelnursehousing.com,60.43%,71.59%,21.91%,95.50%,21.09%,65.36%
2024-02-07,travelnursehousing.com,56.92%,67.35%,11.40%,93.82%,10.80%,76.16%
2024-02-09,travelnursehousing.com,57.13%,67.93%,9.66%,93.74%,9.19%,76.45%
2024-02-10,travelnursehousing.com,60.40%,69.05%,9.09%,93.76%,8.53%,80.70%
2024-02-14,travelnursehousing.com,50.46%,64.53%,8.92%,93.33%,8.56%,66.65%
2024-02-01,hellolanding.com,18.35%,22.75%,2.37%,55.81%,2.28%,77.10%
2024-02-07,airbnb.com,14.78%,17.58%,1.62%,59.37%,0.63%,82.26%
2024-02-07,hellolanding.com,< 10%,10.69%,0.53%,60.21%,0.52%,82.45%
2024-02-01,airbnb.com,18.72%,22.21%,3.16%,62.72%,2.90%,76.97%
2024-02-06,hellolanding.com,10.45%,12.54%,3.95%,58.40%,2.67%,80.06%
2024-02-09,hellolanding.com,12.34%,15.01%,2.43%,56.04%,1.45%,81.51%
2024-02-14,airbnb.com,12.87%,16.44%,2.50%,66.77%,2.58%,70.43%
2024-02-07,You,82.50%, --, --,96.36%,82.25%, --
2024-02-10,airbnb.com,16.97%,19.42%,1.50%,60.00%,1.48%,85.86%
2024-02-06,airbnb.com,14.88%,17.45%,0.85%,58.98%,0.54%,80.34%
2024-02-10,hellolanding.com,11.50%,13.14%,2.22%,57.38%,2.19%,85.86%
2024-02-09,airbnb.com,13.48%,16.18%,4.50%,64.60%,3.98%,81.22%
2024-02-14,hellolanding.com,< 10%,11.63%,1.52%,50.23%,0.94%,70.60%
2024-02-01,You,77.52%, --, --,97.14%,75.20%, --
2024-02-06,You,80.45%, --, --,96.68%,82.90%, --
2024-02-10,You,86.11%, --, --,95.99%,84.45%, --
2024-02-09,You,81.81%, --, --,96.72%,83.67%, --
2024-02-14,You,70.72%, --, --,96.18%,84.97%, --
2024-02-04,travelnursehousing.com,61.89%,72.59%,23.79%,95.31%,23.18%,69.24%
2024-02-08,travelnursehousing.com,60.49%,69.09%,10.42%,95.90%,9.88%,79.69%
2024-02-04,hellolanding.com,20.66%,24.32%,2.54%,66.92%,2.51%,83.17%
2024-02-04,airbnb.com,16.11%,18.56%,0.67%,58.20%,0.64%,83.58%
2024-02-08,hellolanding.com,10.64%,12.33%,2.39%,52.38%,1.90%,85.61%
2024-02-08,airbnb.com,16.77%,19.35%,1.83%,61.93%,1.51%,85.56%
2024-02-04,You,83.69%, --, --,96.91%,73.58%, --
2024-02-08,You,85.87%, --, --,96.58%,83.72%, --
2024-02-02,travelnursehousing.com,58.30%,70.67%,26.24%,94.11%,24.85%,60.98%
2024-02-05,travelnursehousing.com,60.97%,70.45%,14.41%,94.49%,13.14%,68.90%
2024-02-11,travelnursehousing.com,61.01%,68.11%,8.79%,93.64%,8.41%,81.54%
2024-02-05,airbnb.com,14.57%,17.21%,1.73%,54.97%,0.52%,76.46%
2024-02-02,hellolanding.com,17.52%,22.25%,0.30%,61.96%,0.29%,74.81%
2024-02-12,travelnursehousing.com,58.10%,65.32%,9.98%,93.98%,9.75%,81.17%
2024-02-13,travelnursehousing.com,54.75%,64.11%,9.37%,91.90%,8.18%,74.69%
2024-02-12,airbnb.com,16.62%,18.72%,2.83%,64.27%,3.05%,86.37%
2024-02-02,airbnb.com,14.99%,18.88%,4.64%,61.62%,3.37%,74.20%
2024-02-11,airbnb.com,16.40%,18.18%,1.98%,59.92%,1.53%,86.42%
2024-02-13,airbnb.com,14.07%,16.37%,1.95%,58.56%,0.90%,79.21%
2024-02-05,You,76.69%, --, --,95.97%,80.50%, --
2024-02-11,hellolanding.com,10.51%,11.98%,0.00%,51.19%,0.00%,86.73%
2024-02-12,hellolanding.com,10.87%,12.20%,1.74%,51.27%,0.85%,86.65%
2024-02-05,hellolanding.com,< 10%,11.74%,2.12%,53.85%,2.43%,76.50%
2024-02-13,hellolanding.com,11.96%,14.30%,2.23%,51.59%,2.12%,79.21%
2024-02-02,You,74.86%, --, --,96.63%,71.41%, --
2024-02-13,You,79.47%, --, --,95.32%,82.67%, --
2024-02-11,You,86.73%, --, --,96.68%,85.50%, --
2024-02-12,You,86.83%, --, --,96.50%,84.84%, --
