Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-05-01,apartmentlist.com,< 10%,8.93%,29.54%,79.11%,14.32%,32.51%
2024-05-01,ayahealthcare.com,< 10%,4.14%,46.62%,89.32%,37.70%,32.75%
2024-05-05,travelnursehousing.com,23.80%,51.06%,24.40%,92.75%,21.52%,32.40%
2024-05-01,travelnursehousing.com,22.88%,54.30%,21.88%,92.21%,19.71%,29.43%
2024-05-05,ayahealthcare.com,< 10%,3.50%,41.55%,88.27%,32.48%,36.47%
2024-05-01,evolve.com,< 10%,17.83%,43.39%,91.20%,32.76%,30.81%
2024-05-01,You,33.40%, --, --,91.51%,52.90%, --
2024-05-05,evolve.com,< 10%,18.98%,42.03%,92.90%,34.60%,34.05%
2024-05-05,apartmentlist.com,< 10%,11.29%,29.34%,78.41%,13.84%,35.78%
2024-05-01,airbnb.com,22.60%,28.17%,31.82%,85.71%,34.87%,30.40%
2024-05-01,vivian.com,< 10%,3.23%,28.77%,80.45%,18.03%,33.09%
2024-05-05,You,37.00%, --, --,91.08%,51.68%, --
2024-05-05,vivian.com,< 10%,2.06%,28.69%,82.26%,15.27%,36.79%
2024-05-01,hellolanding.com,< 10%,6.34%,34.42%,81.45%,31.80%,32.67%
2024-05-05,hellolanding.com,< 10%,7.47%,46.38%,83.83%,34.91%,35.72%
2024-05-01,vrbo.com,< 10%,3.86%,45.80%,87.61%,30.86%,32.81%
2024-05-05,airbnb.com,24.13%,33.34%,33.65%,82.61%,28.06%,32.85%
2024-05-05,vrbo.com,< 10%,3.67%,47.00%,84.72%,33.48%,36.37%
2024-05-01,trustedhealth.com,< 10%,3.18%,38.43%,85.01%,19.49%,32.99%
2024-05-05,trustedhealth.com,< 10%,3.58%,26.42%,84.03%,16.37%,36.65%
2024-04-25,ayahealthcare.com,< 10%,4.20%,47.00%,88.65%,37.25%,33.77%
2024-04-25,apartmentlist.com,< 10%,12.03%,30.70%,83.85%,17.10%,33.18%
2024-04-25,travelnursehousing.com,20.91%,47.32%,18.99%,91.79%,18.76%,31.36%
2024-04-25,evolve.com,< 10%,13.83%,40.94%,90.40%,32.74%,32.50%
2024-05-08,travelnursehousing.com,16.43%,38.09%,19.48%,90.39%,17.53%,32.68%
2024-05-07,travelnursehousing.com,20.49%,48.82%,20.95%,92.26%,19.63%,31.46%
2024-04-25,You,34.45%, --, --,91.33%,53.50%, --
2024-04-25,vivian.com,< 10%,2.86%,28.50%,81.40%,16.62%,34.17%
2024-04-25,vrbo.com,< 10%,4.17%,49.82%,84.57%,33.75%,33.74%
2024-05-07,evolve.com,< 10%,14.74%,31.77%,91.31%,27.64%,33.41%
2024-04-25,airbnb.com,21.17%,29.36%,32.12%,83.73%,31.52%,31.20%
2024-04-25,hellolanding.com,< 10%,7.16%,34.58%,81.01%,27.78%,33.60%
2024-05-08,evolve.com,< 10%,19.67%,36.91%,92.98%,29.96%,32.74%
2024-05-07,apartmentlist.com,< 10%,9.28%,29.42%,75.59%,12.74%,34.09%
2024-05-07,ayahealthcare.com,10.98%,4.06%,51.22%,90.52%,38.56%,34.32%
2024-05-08,ayahealthcare.com,< 10%,3.65%,46.92%,89.58%,38.45%,34.69%
2024-05-07,You,35.05%, --, --,90.99%,55.47%, --
2024-05-08,vivian.com,< 10%,2.01%,28.57%,79.68%,14.82%,35.09%
2024-05-07,vivian.com,< 10%,2.38%,31.55%,80.16%,17.23%,34.78%
2024-05-08,You,35.30%, --, --,90.25%,50.77%, --
2024-05-08,apartmentlist.com,< 10%,9.97%,27.69%,79.08%,12.90%,34.32%
2024-05-08,vrbo.com,< 10%,3.64%,46.39%,82.83%,29.29%,34.70%
2024-05-08,hellolanding.com,< 10%,6.91%,41.41%,84.07%,34.18%,34.29%
2024-04-25,trustedhealth.com,< 10%,3.43%,27.71%,81.89%,19.80%,34.13%
2024-05-07,trustedhealth.com,< 10%,3.59%,28.74%,85.28%,18.65%,34.69%
2024-05-07,hellolanding.com,< 10%,6.10%,36.19%,82.68%,31.84%,34.27%
2024-05-08,airbnb.com,25.93%,34.05%,38.94%,85.66%,35.02%,30.62%
2024-05-07,vrbo.com,< 10%,3.15%,43.95%,84.72%,30.77%,34.56%
2024-05-08,trustedhealth.com,< 10%,2.81%,31.11%,85.77%,21.40%,34.99%
2024-05-07,airbnb.com,23.41%,33.02%,33.25%,83.74%,31.30%,31.20%
2024-04-26,ayahealthcare.com,< 10%,4.64%,45.86%,88.50%,36.84%,32.49%
2024-04-26,travelnursehousing.com,20.69%,48.35%,21.91%,91.63%,20.70%,29.68%
2024-04-28,travelnursehousing.com,23.35%,53.70%,22.23%,91.72%,20.68%,30.46%
2024-05-03,travelnursehousing.com,23.31%,52.50%,24.41%,92.50%,23.77%,31.22%
2024-04-28,ayahealthcare.com,< 10%,3.33%,36.51%,87.00%,29.73%,34.17%
2024-05-03,ayahealthcare.com,< 10%,4.16%,45.28%,89.60%,36.90%,35.14%
2024-04-27,ayahealthcare.com,< 10%,2.98%,33.53%,87.15%,29.47%,33.71%
2024-04-26,apartmentlist.com,< 10%,11.62%,30.85%,79.02%,15.19%,32.01%
2024-04-28,evolve.com,< 10%,18.64%,43.80%,91.40%,34.25%,31.77%
2024-04-27,travelnursehousing.com,22.63%,50.84%,23.65%,92.49%,21.60%,29.96%
2024-04-27,apartmentlist.com,< 10%,10.87%,28.99%,79.28%,12.56%,32.98%
