Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-06-30,You,22.89%, --, --,88.07%,43.59%, --
2024-06-30,airbnb.com,36.90%,44.11%,46.50%,87.49%,38.87%,18.19%
2024-06-30,hellolanding.com,10.60%,15.87%,45.09%,80.90%,33.92%,21.25%
2024-06-30,vrbo.com,11.39%,6.39%,47.11%,85.09%,33.53%,22.20%
2024-06-30,travelnursehousing.com,14.50%,37.28%,30.10%,84.88%,13.25%,20.32%
2024-06-30,apartmentlist.com,< 10%,8.10%,34.85%,78.21%,14.04%,22.24%
2024-06-30,evolve.com,13.06%,26.56%,51.69%,89.41%,40.15%,19.75%
2024-06-30,hometogo.com,< 10%,5.52%,12.44%,46.67%,5.97%,22.73%
2024-06-21,You,33.07%, --, --,91.61%,50.87%, --
2024-06-21,airbnb.com,33.02%,39.68%,35.08%,86.82%,33.01%,28.47%
2024-06-21,hellolanding.com,< 10%,12.58%,36.83%,77.55%,30.74%,31.54%
2024-06-21,vrbo.com,10.23%,7.78%,32.14%,86.00%,31.51%,32.24%
2024-06-21,travelnursehousing.com,18.46%,33.38%,29.01%,86.27%,14.61%,29.87%
2024-06-21,apartmentlist.com,< 10%,8.06%,20.11%,66.33%,12.89%,32.53%
2024-06-21,evolve.com,15.49%,24.65%,50.94%,91.74%,41.69%,28.92%
2024-06-21,hometogo.com,< 10%,7.09%,10.46%,50.18%,4.31%,32.83%
2024-06-25,You,20.37%, --, --,89.67%,49.48%, --
2024-06-25,airbnb.com,36.66%,43.97%,39.10%,88.16%,32.21%,16.87%
2024-06-25,hellolanding.com,< 10%,11.45%,40.48%,77.09%,29.85%,19.43%
2024-06-25,vrbo.com,14.50%,10.66%,44.68%,85.83%,36.77%,19.40%
2024-06-26,You,39.73%, --, --,80.93%,22.83%, --
2024-06-26,airbnb.com,43.73%,44.37%,53.92%,84.44%,37.92%,30.22%
2024-06-26,hellolanding.com,14.62%,17.98%,45.50%,75.36%,29.81%,36.48%
2024-06-26,vrbo.com,< 10%,3.93%,59.79%,80.35%,27.94%,38.80%
2024-06-28,You,36.70%, --, --,83.91%,49.54%, --
2024-06-28,airbnb.com,41.93%,45.53%,42.92%,86.52%,39.30%,29.53%
2024-06-28,hellolanding.com,14.12%,18.55%,41.00%,80.73%,35.22%,33.91%
2024-06-28,vrbo.com,10.80%,5.21%,70.91%,81.88%,28.10%,35.35%
2024-06-25,travelnursehousing.com,14.52%,24.43%,21.92%,90.35%,11.32%,19.28%
2024-06-25,apartmentlist.com,< 10%,10.88%,24.41%,74.16%,11.61%,19.83%
2024-06-25,evolve.com,< 10%,11.09%,52.52%,93.25%,42.23%,19.19%
2024-06-25,hometogo.com,< 10%,9.73%,12.98%,42.74%,3.48%,20.12%
2024-06-26,travelnursehousing.com,35.98%,65.91%,65.85%,91.19%,33.39%,22.49%
2024-06-26,apartmentlist.com,12.29%,8.95%,44.80%,76.83%,15.97%,38.14%
2024-06-26,evolve.com,20.56%,34.49%,75.59%,94.84%,53.60%,29.37%
2024-06-26,hometogo.com,< 10%,4.70%,28.45%,31.64%,2.93%,39.20%
2024-07-01,You,29.23%, --, --,84.95%,43.92%, --
2024-07-01,airbnb.com,33.22%,39.42%,41.56%,80.46%,34.13%,24.44%
2024-07-01,hellolanding.com,10.94%,15.45%,43.41%,78.38%,35.60%,27.27%
2024-07-01,vrbo.com,< 10%,5.66%,55.00%,81.87%,30.18%,28.32%
2024-06-28,travelnursehousing.com,19.53%,49.89%,16.14%,86.55%,9.57%,33.75%
2024-06-28,apartmentlist.com,10.60%,9.19%,42.01%,76.78%,14.85%,35.29%
2024-06-28,evolve.com,11.26%,23.81%,39.50%,88.34%,34.52%,33.25%
2024-06-28,hometogo.com,< 10%,5.45%,26.96%,40.93%,3.57%,36.17%
2024-07-01,apartmentlist.com,< 10%,7.16%,34.78%,65.19%,13.67%,28.50%
2024-07-01,evolve.com,19.06%,32.68%,50.82%,88.93%,41.58%,24.37%
2024-07-01,hometogo.com,< 10%,4.53%,26.25%,40.00%,3.71%,28.88%
2024-07-01,travelnursehousing.com,25.49%,51.84%,21.45%,83.94%,11.13%,25.98%
2024-06-22,You,41.08%, --, --,82.88%,23.86%, --
2024-06-22,airbnb.com,38.80%,38.05%,52.70%,85.47%,36.31%,32.84%
2024-06-22,hellolanding.com,14.55%,16.92%,48.33%,79.54%,33.24%,37.72%
2024-06-22,vrbo.com,< 10%,3.65%,60.56%,83.94%,26.36%,40.17%
2024-06-23,You,37.66%, --, --,83.03%,22.70%, --
2024-06-23,airbnb.com,41.52%,41.09%,51.47%,86.05%,39.38%,29.70%
2024-06-23,hellolanding.com,15.64%,18.09%,57.14%,83.82%,37.24%,33.77%
2024-06-23,vrbo.com,< 10%,3.14%,57.53%,81.96%,26.28%,36.98%
2024-06-24,You,33.69%, --, --,92.51%,58.22%, --
2024-06-24,airbnb.com,33.83%,41.27%,26.46%,88.32%,26.94%,30.01%
2024-06-24,hellolanding.com,< 10%,12.01%,34.60%,81.38%,28.97%,32.29%
