Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-03-14,You,20.44%, --, --,93.31%,64.58%, --
2024-03-14,airbnb.com,< 10%,20.23%,9.65%,74.90%,8.89%,20.04%
2024-03-14,trustedhealth.com,12.16%,4.86%,30.15%,86.87%,24.33%,20.14%
2024-03-14,vivian.com,< 10%,3.32%,25.00%,83.42%,23.20%,20.27%
2024-03-14,crosscountry.com,< 10%,7.79%,16.30%,84.17%,14.88%,20.18%
2024-03-14,nomadhealth.com,< 10%,2.71%,29.73%,85.40%,17.68%,20.27%
2024-03-20,You,54.13%, --, --,93.32%,62.44%, --
2024-03-20,airbnb.com,15.58%,22.84%,12.44%,72.41%,10.45%,52.59%
2024-03-20,trustedhealth.com,< 10%,4.04%,36.92%,90.38%,28.15%,53.32%
2024-03-20,vivian.com,< 10%,1.29%,11.29%,75.19%,15.89%,54.05%
2024-03-20,crosscountry.com,< 10%,5.02%,19.01%,81.96%,16.23%,53.61%
2024-03-20,nomadhealth.com,< 10%,2.10%,29.70%,83.75%,15.33%,53.79%
2024-03-14,travelnursehousing.com,16.16%,39.59%,26.08%,95.34%,24.64%,18.33%
2024-03-14,ayahealthcare.com,14.12%,4.88%,38.00%,86.05%,31.40%,20.06%
2024-03-23,You,51.01%, --, --,92.59%,66.21%, --
2024-03-23,airbnb.com,14.94%,21.80%,8.76%,73.84%,8.70%,50.04%
2024-03-23,trustedhealth.com,10.23%,4.65%,35.16%,86.77%,29.42%,50.18%
2024-03-23,vivian.com,< 10%,1.68%,27.85%,74.43%,18.26%,50.77%
2024-03-23,crosscountry.com,< 10%,6.24%,18.03%,82.77%,16.67%,50.44%
2024-03-23,nomadhealth.com,< 10%,2.84%,41.79%,84.80%,21.28%,50.41%
2024-03-25,You,44.18%, --, --,92.56%,66.04%, --
2024-03-25,airbnb.com,12.02%,20.10%,10.57%,71.23%,10.42%,43.24%
2024-03-25,trustedhealth.com,< 10%,4.86%,31.60%,87.04%,25.10%,43.50%
