Brand Name,Category,Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
Furnished Finder,Brand,2024-01-07,airbnb.com,17.23,19.25,38.98,94.98,36.33,78.34
Furnished Finder,Brand,2024-01-07,hellolanding.com,15.96,17.89,30.24,94.08,26.14,80.12
Furnished Finder,Brand,2024-01-08,You,83.66, --, --,98.56,72.71, --
Furnished Finder,Brand,2024-01-08,airbnb.com,16.67,18.91,38.95,95.66,35.63,77.5
Furnished Finder,Brand,2024-01-08,hellolanding.com,15.37,17.45,34.88,93.98,30.42,78.56
Furnished Finder,Brand,2024-01-10,You,83.74, --, --,98.4,71.71, --
Furnished Finder,Brand,2024-01-10,airbnb.com,19.57,22.23,39.13,95.62,36.52,76.46
Furnished Finder,Brand,2024-01-10,hellolanding.com,11.85,13.29,32.68,92.54,27.77,80.1
Furnished Finder,Brand,2024-01-11,You,84.46, --, --,98.52,70.5, --
Furnished Finder,Brand,2024-01-11,airbnb.com,17.76,19.82,36.69,95.33,33.87,78.32
Furnished Finder,Brand,2024-01-11,hellolanding.com,12.04,13.47,34.43,92.88,29.0,80.54
Furnished Finder,Brand,2024-01-16,You,79.1, --, --,97.73,74.63, --
Furnished Finder,Brand,2024-01-16,airbnb.com,10.82,10.03,40.84,92.19,34.87,75.86
Furnished Finder,Brand,2024-01-16,hellolanding.com,11.07,11.89,36.85,91.39,33.98,75.64
Furnished Finder,Brand,2024-01-17,You,80.46, --, --,98.1,79.05, --
Furnished Finder,Brand,2024-01-17,airbnb.com,< 10%,6.96,35.78,93.3,31.72,78.45
Furnished Finder,Brand,2024-01-17,hellolanding.com,< 10%,10.52,36.88,92.32,34.49,77.34
Furnished Finder,Brand,2024-01-18,favoes.com,< 10%,5.78,3.38,98.71,1.29,80.5
Furnished Finder,Brand,2024-01-26,favoes.com,< 10%,8.82,4.32,98.63,3.11,80.82
Furnished Finder,Brand,2024-01-19,You,82.03, --, --,98.28,74.46, --
Furnished Finder,Brand,2024-01-18,airbnb.com,< 10%,9.07,39.45,93.72,33.59,77.77
Furnished Finder,Brand,2024-01-19,apartmentlist.com,< 10%,7.08,14.38,93.35,11.08,81.2
Furnished Finder,Brand,2024-01-19,favoes.com,< 10%,5.17,5.79,100.0,5.14,81.79
Furnished Finder,Brand,2024-01-31,favoes.com,12.28,14.41,7.68,99.36,5.37,83.31
Furnished Finder,Brand,2024-01-18,hellolanding.com,12.75,14.3,38.69,91.03,34.5,76.2
Furnished Finder,Brand,2024-01-19,airbnb.com,< 10%,7.79,35.83,92.78,29.06,79.74
Furnished Finder,Brand,2024-01-19,hellolanding.com,15.12,16.88,39.51,92.98,35.13,76.56
Furnished Finder,Brand,2024-01-18,You,80.66, --, --,98.09,78.52, --
Furnished Finder,Brand,2024-01-26,hellolanding.com,15.11,17.21,40.05,92.8,37.42,75.54
Furnished Finder,Brand,2024-01-18,apartmentlist.com,< 10%,7.95,17.36,94.46,13.43,79.54
Furnished Finder,Brand,2024-01-31,airbnb.com,18.06,19.78,42.57,94.4,36.44,77.15
Furnished Finder,Brand,2024-01-31,hellolanding.com,15.14,16.85,48.87,95.88,43.69,77.31
Furnished Finder,Brand,2024-01-26,You,81.13, --, --,98.25,79.82, --
Furnished Finder,Brand,2024-01-31,You,84.24, --, --,98.43,70.28, --
Furnished Finder,Brand,2024-01-26,airbnb.com,< 10%,5.83,32.2,92.3,26.34,79.61
Furnished Finder,Brand,2024-01-26,apartmentlist.com,< 10%,6.46,14.49,94.92,11.82,80.37
Furnished Finder,Brand,2024-01-31,apartmentlist.com,< 10%,6.78,21.19,96.0,15.72,83.03
Furnished Finder,Brand,2024-01-24,favoes.com,< 10%,3.35,3.39,96.03,2.72,81.79
Furnished Finder,Brand,2024-01-21,airbnb.com,< 10%,6.97,36.92,92.32,29.86,79.06
Furnished Finder,Brand,2024-01-20,favoes.com,< 10%,3.15,2.1,97.62,1.19,80.06
Furnished Finder,Brand,2024-01-21,favoes.com,< 10%,3.04,3.86,95.03,1.75,81.05
Furnished Finder,Brand,2024-01-20,You,80.11, --, --,98.13,82.08, --
Furnished Finder,Brand,2024-01-21,You,81.15, --, --,98.02,83.86, --
Furnished Finder,Brand,2024-01-24,airbnb.com,< 10%,9.75,36.46,95.71,32.95,78.97
Furnished Finder,Brand,2024-01-27,favoes.com,< 10%,4.25,3.64,98.67,3.76,82.71
Furnished Finder,Brand,2024-01-20,hellolanding.com,12.41,13.88,33.04,93.58,31.05,76.44
Furnished Finder,Brand,2024-01-24,apartmentlist.com,< 10%,9.55,11.44,96.59,9.79,80.99
Furnished Finder,Brand,2024-01-21,hellolanding.com,< 10%,10.95,36.41,91.37,34.15,77.91
Furnished Finder,Brand,2024-01-20,airbnb.com,< 10%,7.99,33.1,91.92,26.92,77.99
Furnished Finder,Brand,2024-01-20,apartmentlist.com,< 10%,7.99,14.95,93.93,12.15,79.15
Furnished Finder,Brand,2024-01-21,apartmentlist.com,< 10%,8.81,16.09,95.25,13.18,80.0
Furnished Finder,Brand,2024-01-24,hellolanding.com,12.29,14.16,32.46,93.05,30.35,78.12
Furnished Finder,Brand,2024-01-27,hellolanding.com,15.45,17.23,44.28,92.96,40.03,76.51
Furnished Finder,Brand,2024-01-24,You,81.88, --, --,98.45,81.19, --
Furnished Finder,Brand,2024-01-27,airbnb.com,< 10%,5.8,38.5,92.52,29.91,80.99
Furnished Finder,Brand,2024-01-27,apartmentlist.com,< 10%,6.51,13.2,94.25,9.18,82.12
Furnished Finder,Brand,2024-01-27,You,82.84, --, --,98.12,79.97, --
Furnished Finder,Brand,2024-01-30,favoes.com,< 10%,6.27,8.53,99.0,5.58,82.78
Furnished Finder,Brand,2024-01-30,airbnb.com,11.18,12.14,44.77,93.57,39.46,78.71
Furnished Finder,Brand,2024-01-30,hellolanding.com,16.04,18.25,49.63,94.49,44.86,75.69
Furnished Finder,Brand,2024-01-30,apartmentlist.com,< 10%,7.49,18.76,95.82,15.38,82.06
Furnished Finder,Brand,2024-01-30,You,83.23, --, --,98.14,71.97, --
Furnished Finder,Brand,2024-01-22,favoes.com,< 10%,5.7,2.78,97.52,2.23,80.25
Furnished Finder,Brand,2024-01-29,favoes.com,15.27,18.45,7.05,99.13,5.5,80.32
Furnished Finder,Brand,2024-01-25,favoes.com,< 10%,7.77,1.61,98.4,0.94,82.18
Furnished Finder,Brand,2024-01-22,airbnb.com,< 10%,6.85,33.4,92.3,27.57,78.54
Furnished Finder,Brand,2024-01-28,favoes.com,< 10%,5.71,6.01,98.73,4.44,81.51
Furnished Finder,Brand,2024-01-23,hellolanding.com,12.31,14.04,32.31,93.47,29.95,77.96
Furnished Finder,Brand,2024-01-23,airbnb.com,< 10%,8.04,32.64,95.65,30.24,79.52
Furnished Finder,Brand,2024-01-23,favoes.com,< 10%,0.68,1.03,98.98,0.0,81.66
Furnished Finder,Brand,2024-01-22,hellolanding.com,10.85,12.59,33.91,92.47,30.82,76.94
Furnished Finder,Brand,2024-01-23,apartmentlist.com,< 10%,10.58,14.45,95.53,12.03,80.42
Furnished Finder,Brand,2024-01-22,apartmentlist.com,< 10%,8.5,16.64,95.31,12.38,79.24
Furnished Finder,Brand,2024-01-25,airbnb.com,< 10%,7.25,34.89,95.1,30.73,80.2
Furnished Finder,Brand,2024-01-25,You,82.29, --, --,98.27,82.13, --
Furnished Finder,Brand,2024-01-29,airbnb.com,< 10%,8.49,41.42,93.98,34.87,78.51
Furnished Finder,Brand,2024-01-29,hellolanding.com,14.49,16.56,52.6,95.87,48.13,74.29
