Brand Name,Category,Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
Furnished Finder,TNH,2024-01-26,You,81.9, --, --,95.52,57.76, --
Furnished Finder,TNH,2024-01-31,You,86.44, --, --,95.97,73.22, --
Furnished Finder,TNH,2024-01-26,hellolanding.com,19.34,23.32,6.19,67.89,3.98,80.72
Furnished Finder,TNH,2024-01-31,hellolanding.com,20.58,23.81,2.12,58.12,1.41,86.0
Furnished Finder,TNH,2024-01-31,airbnb.com,17.82,20.39,2.47,61.41,2.17,86.0
Furnished Finder,TNH,2024-01-30,evolve.com,< 10%,5.69,41.67,90.0,39.17,85.86
Furnished Finder,TNH,2024-01-30,You,87.94, --, --,96.54,74.38, --
Furnished Finder,TNH,2024-01-30,travelnursehousing.com,62.33,70.45,21.82,95.11,20.35,74.43
Furnished Finder,TNH,2024-01-30,hellolanding.com,17.27,19.45,1.46,54.83,1.21,87.69
Furnished Finder,TNH,2024-01-30,airbnb.com,16.56,18.41,3.09,60.45,2.02,87.44
Furnished Finder,TNH,2024-01-22,evolve.com,16.68,20.01,47.6,94.41,22.36,73.32
Furnished Finder,TNH,2024-01-23,evolve.com,15.02,17.91,47.99,94.75,28.2,74.89
Furnished Finder,TNH,2024-01-25,evolve.com,< 10%,3.09,52.94,92.31,42.31,80.49
Furnished Finder,TNH,2024-01-29,travelnursehousing.com,63.08,71.86,27.86,95.9,26.93,69.13
Furnished Finder,TNH,2024-01-22,travelnursehousing.com,69.53,82.16,70.12,97.62,64.75,34.35
Furnished Finder,TNH,2024-01-22,You,81.04, --, --,96.04,32.74, --
Furnished Finder,TNH,2024-01-29,evolve.com,< 10%,3.04,49.25,94.12,47.06,85.13
Furnished Finder,TNH,2024-01-23,travelnursehousing.com,66.17,77.64,61.69,96.5,56.47,42.69
Furnished Finder,TNH,2024-01-25,hellolanding.com,16.89,20.58,7.06,65.98,4.69,80.63
Furnished Finder,TNH,2024-01-25,travelnursehousing.com,63.2,75.67,42.88,96.24,41.14,55.27
Furnished Finder,TNH,2024-01-28,evolve.com,< 10%,7.77,46.28,87.9,39.52,80.05
Furnished Finder,TNH,2024-01-23,You,81.93, --, --,95.85,41.29, --
Furnished Finder,TNH,2024-01-22,hellolanding.com,17.62,20.91,7.65,61.76,4.41,79.74
Furnished Finder,TNH,2024-01-28,travelnursehousing.com,63.84,74.95,45.59,96.66,43.36,54.67
Furnished Finder,TNH,2024-01-25,airbnb.com,18.42,22.03,6.32,58.87,2.96,80.68
Furnished Finder,TNH,2024-01-22,airbnb.com,15.44,18.03,8.51,53.69,3.69,79.79
Furnished Finder,TNH,2024-01-23,airbnb.com,19.55,22.42,10.99,62.22,6.3,79.91
Furnished Finder,TNH,2024-01-25,You,81.82, --, --,95.4,56.11, --
Furnished Finder,TNH,2024-01-28,airbnb.com,19.68,23.25,4.7,61.79,3.25,82.13
Furnished Finder,TNH,2024-01-23,hellolanding.com,20.43,24.04,8.5,65.54,5.3,80.26
Furnished Finder,TNH,2024-01-29,You,86.43, --, --,95.42,69.54, --
Furnished Finder,TNH,2024-01-28,hellolanding.com,16.11,19.27,6.67,64.24,4.3,81.97
Furnished Finder,TNH,2024-01-28,You,83.04, --, --,96.21,55.49, --
Furnished Finder,TNH,2024-01-29,hellolanding.com,16.91,19.38,3.28,51.97,2.55,85.88
Furnished Finder,TNH,2024-01-29,airbnb.com,19.62,21.97,2.69,60.8,2.0,85.92
Furnished Finder,TNH,2024-02-03,hellolanding.com,18.94,22.42,2.36,64.51,2.07,82.92
Furnished Finder,TNH,2024-02-03,travelnursehousing.com,60.11,69.86,21.65,93.8,20.49,70.76
Furnished Finder,TNH,2024-02-03,airbnb.com,14.47,16.77,3.16,60.68,2.71,82.92
Furnished Finder,TNH,2024-02-03,You,83.37, --, --,95.7,73.63, --
Furnished Finder,TNH,2024-02-06,travelnursehousing.com,59.51,68.37,11.6,94.44,10.12,74.07
Furnished Finder,TNH,2024-02-01,travelnursehousing.com,60.43,71.59,21.91,95.5,21.09,65.36
Furnished Finder,TNH,2024-02-07,travelnursehousing.com,56.92,67.35,11.4,93.82,10.8,76.16
Furnished Finder,TNH,2024-02-09,travelnursehousing.com,57.13,67.93,9.66,93.74,9.19,76.45
Furnished Finder,TNH,2024-02-10,travelnursehousing.com,60.4,69.05,9.09,93.76,8.53,80.7
Furnished Finder,TNH,2024-02-14,travelnursehousing.com,50.46,64.53,8.92,93.33,8.56,66.65
Furnished Finder,TNH,2024-02-01,hellolanding.com,18.35,22.75,2.37,55.81,2.28,77.1
Furnished Finder,TNH,2024-02-07,airbnb.com,14.78,17.58,1.62,59.37,0.63,82.26
Furnished Finder,TNH,2024-02-07,hellolanding.com,< 10%,10.69,0.53,60.21,0.52,82.45
Furnished Finder,TNH,2024-02-01,airbnb.com,18.72,22.21,3.16,62.72,2.9,76.97
Furnished Finder,TNH,2024-02-06,hellolanding.com,10.45,12.54,3.95,58.4,2.67,80.06
Furnished Finder,TNH,2024-02-09,hellolanding.com,12.34,15.01,2.43,56.04,1.45,81.51
Furnished Finder,TNH,2024-02-14,airbnb.com,12.87,16.44,2.5,66.77,2.58,70.43
Furnished Finder,TNH,2024-02-07,You,82.5, --, --,96.36,82.25, --
Furnished Finder,TNH,2024-02-10,airbnb.com,16.97,19.42,1.5,60.0,1.48,85.86
Furnished Finder,TNH,2024-02-06,airbnb.com,14.88,17.45,0.85,58.98,0.54,80.34
Furnished Finder,TNH,2024-02-10,hellolanding.com,11.5,13.14,2.22,57.38,2.19,85.86
Furnished Finder,TNH,2024-02-09,airbnb.com,13.48,16.18,4.5,64.6,3.98,81.22
Furnished Finder,TNH,2024-02-14,hellolanding.com,< 10%,11.63,1.52,50.23,0.94,70.6
Furnished Finder,TNH,2024-02-01,You,77.52, --, --,97.14,75.2, --
Furnished Finder,TNH,2024-02-06,You,80.45, --, --,96.68,82.9, --
Furnished Finder,TNH,2024-02-10,You,86.11, --, --,95.99,84.45, --
Furnished Finder,TNH,2024-02-09,You,81.81, --, --,96.72,83.67, --
Furnished Finder,TNH,2024-02-14,You,70.72, --, --,96.18,84.97, --
Furnished Finder,TNH,2024-02-04,travelnursehousing.com,61.89,72.59,23.79,95.31,23.18,69.24
Furnished Finder,TNH,2024-02-08,travelnursehousing.com,60.49,69.09,10.42,95.9,9.88,79.69
Furnished Finder,TNH,2024-02-04,hellolanding.com,20.66,24.32,2.54,66.92,2.51,83.17
Furnished Finder,TNH,2024-02-04,airbnb.com,16.11,18.56,0.67,58.2,0.64,83.58
Furnished Finder,TNH,2024-02-08,hellolanding.com,10.64,12.33,2.39,52.38,1.9,85.61
Furnished Finder,TNH,2024-02-08,airbnb.com,16.77,19.35,1.83,61.93,1.51,85.56
Furnished Finder,TNH,2024-02-04,You,83.69, --, --,96.91,73.58, --
Furnished Finder,TNH,2024-02-08,You,85.87, --, --,96.58,83.72, --
Furnished Finder,TNH,2024-02-02,travelnursehousing.com,58.3,70.67,26.24,94.11,24.85,60.98
Furnished Finder,TNH,2024-02-05,travelnursehousing.com,60.97,70.45,14.41,94.49,13.14,68.9
Furnished Finder,TNH,2024-02-11,travelnursehousing.com,61.01,68.11,8.79,93.64,8.41,81.54
Furnished Finder,TNH,2024-02-05,airbnb.com,14.57,17.21,1.73,54.97,0.52,76.46
Furnished Finder,TNH,2024-02-02,hellolanding.com,17.52,22.25,0.3,61.96,0.29,74.81
Furnished Finder,TNH,2024-02-12,travelnursehousing.com,58.1,65.32,9.98,93.98,9.75,81.17
Furnished Finder,TNH,2024-02-13,travelnursehousing.com,54.75,64.11,9.37,91.9,8.18,74.69
Furnished Finder,TNH,2024-02-12,airbnb.com,16.62,18.72,2.83,64.27,3.05,86.37
Furnished Finder,TNH,2024-02-02,airbnb.com,14.99,18.88,4.64,61.62,3.37,74.2
Furnished Finder,TNH,2024-02-11,airbnb.com,16.4,18.18,1.98,59.92,1.53,86.42
Furnished Finder,TNH,2024-02-13,airbnb.com,14.07,16.37,1.95,58.56,0.9,79.21
Furnished Finder,TNH,2024-02-05,You,76.69, --, --,95.97,80.5, --
Furnished Finder,TNH,2024-02-11,hellolanding.com,10.51,11.98,0.0,51.19,0.0,86.73
Furnished Finder,TNH,2024-02-12,hellolanding.com,10.87,12.2,1.74,51.27,0.85,86.65
Furnished Finder,TNH,2024-02-05,hellolanding.com,< 10%,11.74,2.12,53.85,2.43,76.5
Furnished Finder,TNH,2024-02-13,hellolanding.com,11.96,14.3,2.23,51.59,2.12,79.21
Furnished Finder,TNH,2024-02-02,You,74.86, --, --,96.63,71.41, --
Furnished Finder,TNH,2024-02-13,You,79.47, --, --,95.32,82.67, --
Furnished Finder,TNH,2024-02-11,You,86.73, --, --,96.68,85.5, --
Furnished Finder,TNH,2024-02-12,You,86.83, --, --,96.5,84.84, --
Furnished Finder,TNH,2024-02-17,travelnursehousing.com,42.28,49.24,12.05,92.66,11.01,80.45
Furnished Finder,TNH,2024-02-17,info.com,< 10%,5.25,15.89,81.25,6.25,84.82
Furnished Finder,TNH,2024-02-17,favoes.com,< 10%,7.9,0.0,79.5,0.0,85.53
Furnished Finder,TNH,2024-02-17,You,85.53, --, --,95.34,78.86, --
Furnished Finder,TNH,2024-02-17,airbnb.com,14.05,16.14,4.26,59.7,3.58,84.94
Furnished Finder,TNH,2024-02-17,hellolanding.com,< 10%,8.53,13.79,72.07,10.06,84.52
Furnished Finder,TNH,2024-02-22,travelnursehousing.com,54.01,65.14,22.98,94.16,21.4,45.02
Furnished Finder,TNH,2024-02-22,info.com,< 10%,7.5,9.71,92.12,6.51,52.55
Furnished Finder,TNH,2024-02-22,favoes.com,< 10%,9.13,0.94,86.99,0.0,52.89
Furnished Finder,TNH,2024-02-24,travelnursehousing.com,54.57,62.79,20.5,93.6,18.4,74.48
Furnished Finder,TNH,2024-02-24,info.com,< 10%,4.83,10.56,91.78,2.74,85.04
Furnished Finder,TNH,2024-02-24,favoes.com,< 10%,5.45,0.63,71.25,0.0,85.45
Furnished Finder,TNH,2024-02-26,travelnursehousing.com,56.62,67.08,22.65,94.82,20.82,67.9
Furnished Finder,TNH,2024-02-26,info.com,< 10%,8.13,14.68,92.7,6.67,79.11
Furnished Finder,TNH,2024-02-26,favoes.com,< 10%,5.88,0.47,70.72,0.0,80.04
Furnished Finder,TNH,2024-02-22,You,52.94, --, --,96.14,72.17, --
Furnished Finder,TNH,2024-02-22,airbnb.com,12.46,14.15,2.42,59.02,1.46,52.76
Furnished Finder,TNH,2024-02-22,hellolanding.com,< 10%,6.05,17.73,68.06,14.35,52.37
Furnished Finder,TNH,2024-02-24,You,85.48, --, --,95.47,75.11, --
Furnished Finder,TNH,2024-02-24,airbnb.com,16.56,19.0,2.33,59.75,1.23,85.1
Furnished Finder,TNH,2024-02-24,hellolanding.com,< 10%,6.2,9.34,61.41,7.61,84.98
Furnished Finder,TNH,2024-02-26,You,80.06, --, --,95.31,72.3, --
Furnished Finder,TNH,2024-02-26,airbnb.com,15.54,18.28,3.49,61.43,2.14,79.55
Furnished Finder,TNH,2024-02-26,hellolanding.com,< 10%,6.79,11.84,63.81,10.51,79.42
Furnished Finder,TNH,2024-02-16,travelnursehousing.com,44.55,55.08,11.64,93.72,11.5,74.17
Furnished Finder,TNH,2024-02-16,info.com,< 10%,6.14,3.54,88.14,0.85,79.08
Furnished Finder,TNH,2024-02-16,favoes.com,< 10%,6.41,0.0,72.03,0.0,79.25
Furnished Finder,TNH,2024-02-16,You,79.25, --, --,96.47,81.59, --
Furnished Finder,TNH,2024-02-16,airbnb.com,11.02,13.58,3.2,60.16,1.56,78.91
Furnished Finder,TNH,2024-02-16,hellolanding.com,< 10%,9.02,6.02,62.35,7.06,78.82
Furnished Finder,TNH,2024-02-21,info.com,< 10%,7.68,14.05,91.39,5.99,60.11
Furnished Finder,TNH,2024-02-21,favoes.com,< 10%,10.5,0.0,74.43,0.0,60.77
Furnished Finder,TNH,2024-02-21,travelnursehousing.com,51.99,59.96,18.2,92.58,16.05,54.14
Furnished Finder,TNH,2024-02-21,You,60.77, --, --,95.64,75.77, --
Furnished Finder,TNH,2024-02-21,airbnb.com,11.88,13.98,3.26,53.08,1.91,60.49
Furnished Finder,TNH,2024-02-21,hellolanding.com,< 10%,8.51,13.17,76.74,10.42,60.09
Furnished Finder,TNH,2024-02-18,travelnursehousing.com,43.1,50.94,15.94,93.55,15.01,77.66
Furnished Finder,TNH,2024-02-18,info.com,< 10%,4.51,14.58,89.8,5.1,83.97
Furnished Finder,TNH,2024-02-18,favoes.com,< 10%,8.78,0.0,77.13,0.0,84.52
Furnished Finder,TNH,2024-02-20,travelnursehousing.com,49.15,57.32,15.04,92.77,14.35,77.77
Furnished Finder,TNH,2024-02-20,info.com,< 10%,5.98,8.21,85.57,3.98,84.7
Furnished Finder,TNH,2024-02-20,favoes.com,< 10%,8.56,0.72,73.14,0.0,85.06
Furnished Finder,TNH,2024-02-18,You,84.52, --, --,94.79,77.56, --
Furnished Finder,TNH,2024-02-18,airbnb.com,12.22,14.23,1.65,53.25,0.97,84.33
Furnished Finder,TNH,2024-02-18,hellolanding.com,< 10%,8.12,6.94,71.19,6.21,84.05
Furnished Finder,TNH,2024-02-25,info.com,< 10%,4.58,10.06,88.34,5.52,87.3
Furnished Finder,TNH,2024-02-25,travelnursehousing.com,57.23,65.0,22.54,94.31,20.64,74.85
Furnished Finder,TNH,2024-02-25,favoes.com,< 10%,4.86,1.78,63.53,0.59,87.63
Furnished Finder,TNH,2024-02-20,You,85.11, --, --,94.88,76.99, --
Furnished Finder,TNH,2024-02-20,airbnb.com,13.5,15.71,3.71,58.99,2.9,84.62
Furnished Finder,TNH,2024-02-20,hellolanding.com,< 10%,8.22,11.57,74.82,10.95,84.3
Furnished Finder,TNH,2024-02-28,travelnursehousing.com,31.28,59.76,23.84,94.27,23.38,37.81
Furnished Finder,TNH,2024-02-28,info.com,< 10%,7.78,10.58,89.46,6.32,43.72
Furnished Finder,TNH,2024-02-28,favoes.com,< 10%,6.14,1.22,68.53,1.18,44.05
Furnished Finder,TNH,2024-02-25,You,87.71, --, --,95.48,73.75, --
Furnished Finder,TNH,2024-02-25,airbnb.com,14.92,16.9,3.41,56.51,1.69,87.2
Furnished Finder,TNH,2024-02-25,hellolanding.com,< 10%,4.95,12.21,66.09,9.77,87.17
Furnished Finder,TNH,2024-02-28,You,44.09, --, --,95.58,69.39, --
Furnished Finder,TNH,2024-02-28,airbnb.com,< 10%,17.59,5.11,67.19,3.51,43.69
Furnished Finder,TNH,2024-02-28,hellolanding.com,< 10%,5.51,17.65,77.69,15.77,43.66
Furnished Finder,TNH,2024-02-15,travelnursehousing.com,46.53,60.44,5.36,93.35,4.57,66.85
Furnished Finder,TNH,2024-02-15,info.com,< 10%,5.83,6.48,80.95,3.97,68.83
Furnished Finder,TNH,2024-02-15,favoes.com,< 10%,5.23,1.03,75.7,0.0,69.05
Furnished Finder,TNH,2024-02-15,You,69.09, --, --,96.28,86.18, --
Furnished Finder,TNH,2024-02-15,airbnb.com,11.11,14.73,1.47,64.77,2.01,68.94
Furnished Finder,TNH,2024-02-15,hellolanding.com,< 10%,13.49,2.4,54.85,2.61,68.87
Furnished Finder,TNH,2024-02-19,travelnursehousing.com,45.28,53.86,12.38,93.17,11.57,78.11
Furnished Finder,TNH,2024-02-19,info.com,< 10%,5.47,8.13,85.98,5.49,83.31
Furnished Finder,TNH,2024-02-19,favoes.com,< 10%,9.71,0.0,74.13,0.0,83.69
Furnished Finder,TNH,2024-02-19,You,83.69, --, --,94.32,79.14, --
Furnished Finder,TNH,2024-02-19,airbnb.com,12.82,14.98,5.02,54.91,3.79,83.06
Furnished Finder,TNH,2024-02-19,hellolanding.com,< 10%,8.48,12.1,74.02,10.24,82.83
Furnished Finder,TNH,2024-02-23,travelnursehousing.com,54.48,66.63,22.01,94.27,20.17,65.98
Furnished Finder,TNH,2024-02-23,info.com,< 10%,7.66,14.09,89.26,7.02,76.49
Furnished Finder,TNH,2024-02-23,favoes.com,< 10%,11.35,1.23,78.07,0.29,77.22
Furnished Finder,TNH,2024-02-27,travelnursehousing.com,58.75,69.41,22.98,94.77,20.52,67.17
Furnished Finder,TNH,2024-02-27,info.com,< 10%,7.4,12.88,91.76,4.66,79.16
Furnished Finder,TNH,2024-02-27,favoes.com,< 10%,4.96,0.0,70.17,0.0,79.92
Furnished Finder,TNH,2024-02-23,You,77.32, --, --,95.47,71.65, --
Furnished Finder,TNH,2024-02-23,airbnb.com,10.23,12.47,3.07,51.32,1.58,77.03
Furnished Finder,TNH,2024-02-23,hellolanding.com,< 10%,8.36,14.58,69.08,12.45,76.38
Furnished Finder,TNH,2024-02-27,You,79.92, --, --,95.63,72.69, --
Furnished Finder,TNH,2024-02-27,airbnb.com,16.33,19.12,4.4,64.75,2.74,79.25
Furnished Finder,TNH,2024-02-27,hellolanding.com,< 10%,6.76,12.86,62.3,11.11,79.23
Furnished Finder,TNH,2024-03-01,You,26.58, --, --,93.25,63.25, --
Furnished Finder,TNH,2024-03-01,airbnb.com,< 10%,16.11,6.01,72.88,3.73,26.33
Furnished Finder,TNH,2024-03-01,travelnursehousing.com,15.99,40.02,25.79,95.33,24.78,23.84
Furnished Finder,TNH,2024-03-01,trustedhealth.com,12.56,8.16,31.07,84.1,20.98,25.91
Furnished Finder,TNH,2024-03-01,vivian.com,< 10%,3.76,18.4,63.62,18.81,26.4
Furnished Finder,TNH,2024-03-01,tnaa.com,< 10%,2.44,33.02,88.56,36.44,26.37
Furnished Finder,TNH,2024-03-01,travelnursing.org,< 10%,6.11,45.28,80.38,24.94,25.85
Furnished Finder,TNH,2024-03-01,crosscountry.com,< 10%,1.61,20.0,75.66,14.31,26.5
Furnished Finder,TNH,2024-03-01,ayahealthcare.com,14.27,7.03,45.57,85.02,27.73,25.73
Furnished Finder,TNH,2024-03-01,nomadhealth.com,10.93,6.22,34.07,87.79,19.22,26.02
Furnished Finder,TNH,2024-03-08,You,22.8, --, --,93.92,61.79, --
Furnished Finder,TNH,2024-03-08,airbnb.com,< 10%,18.49,7.6,70.24,6.21,22.48
Furnished Finder,TNH,2024-03-08,trustedhealth.com,10.52,4.51,33.33,86.24,21.74,22.46
Furnished Finder,TNH,2024-03-08,vivian.com,< 10%,1.5,29.03,73.89,17.56,22.7
Furnished Finder,TNH,2024-03-08,tnaa.com,< 10%,1.84,39.47,87.36,35.12,22.64
Furnished Finder,TNH,2024-03-08,travelnursing.org,< 10%,4.19,35.84,87.87,21.61,22.46
Furnished Finder,TNH,2024-03-08,crosscountry.com,< 10%,6.59,23.53,81.13,15.44,22.45
Furnished Finder,TNH,2024-03-08,nomadhealth.com,< 10%,2.88,38.66,88.78,19.27,22.55
Furnished Finder,TNH,2024-03-08,travelnursehousing.com,15.28,41.0,30.44,95.8,27.45,19.96
Furnished Finder,TNH,2024-03-08,ayahealthcare.com,12.03,3.42,45.39,85.4,36.96,22.45
Furnished Finder,TNH,2024-03-11,You,17.96, --, --,93.5,61.91, --
Furnished Finder,TNH,2024-03-11,airbnb.com,< 10%,16.28,7.08,71.55,6.78,17.76
Furnished Finder,TNH,2024-03-11,trustedhealth.com,11.3,5.76,33.78,86.86,24.17,17.62
Furnished Finder,TNH,2024-03-11,vivian.com,< 10%,3.1,25.62,79.03,20.68,17.82
Furnished Finder,TNH,2024-03-11,tnaa.com,< 10%,1.87,21.92,88.38,32.91,17.89
Furnished Finder,TNH,2024-03-11,travelnursing.org,< 10%,4.33,43.79,85.49,21.53,17.62
Furnished Finder,TNH,2024-03-11,crosscountry.com,< 10%,6.96,19.49,82.07,13.48,17.72
Furnished Finder,TNH,2024-03-11,nomadhealth.com,< 10%,4.15,34.57,87.45,18.82,17.71
Furnished Finder,TNH,2024-03-11,travelnursehousing.com,17.26,42.03,31.12,95.95,30.02,15.62
Furnished Finder,TNH,2024-03-11,ayahealthcare.com,12.67,4.53,40.68,84.58,31.06,17.63
Furnished Finder,TNH,2024-02-29,You,31.04, --, --,94.78,64.82, --
Furnished Finder,TNH,2024-02-29,airbnb.com,< 10%,17.54,6.47,69.94,2.91,30.68
Furnished Finder,TNH,2024-02-29,trustedhealth.com,11.28,6.5,31.4,82.94,19.69,30.4
Furnished Finder,TNH,2024-02-29,vivian.com,< 10%,1.61,14.06,59.94,22.32,30.97
Furnished Finder,TNH,2024-02-29,tnaa.com,< 10%,1.74,47.83,92.69,43.21,30.78
Furnished Finder,TNH,2024-02-29,travelnursing.org,< 10%,2.12,34.52,84.82,20.83,30.81
Furnished Finder,TNH,2024-02-29,crosscountry.com,< 10%,1.81,18.06,77.43,14.33,30.93
Furnished Finder,TNH,2024-02-29,nomadhealth.com,< 10%,2.8,29.73,79.94,12.86,30.78
Furnished Finder,TNH,2024-02-29,travelnursehousing.com,20.04,54.36,28.0,96.88,27.05,26.31
Furnished Finder,TNH,2024-02-29,ayahealthcare.com,11.65,4.61,39.89,86.85,32.01,30.47
Furnished Finder,TNH,2024-03-03,You,27.56, --, --,93.29,60.94, --
Furnished Finder,TNH,2024-03-03,airbnb.com,< 10%,16.21,6.76,69.05,5.0,27.26
Furnished Finder,TNH,2024-03-03,trustedhealth.com,11.06,5.43,32.77,84.76,25.7,27.07
Furnished Finder,TNH,2024-03-03,vivian.com,< 10%,2.15,22.34,58.26,18.2,27.43
Furnished Finder,TNH,2024-03-03,tnaa.com,< 10%,3.67,29.19,92.31,38.25,27.26
Furnished Finder,TNH,2024-03-03,travelnursing.org,< 10%,6.62,40.69,82.65,24.84,26.82
Furnished Finder,TNH,2024-03-03,nomadhealth.com,10.34,4.75,33.65,85.4,18.73,27.12
Furnished Finder,TNH,2024-03-03,travelnursehousing.com,17.76,42.16,32.11,95.61,30.85,23.83
Furnished Finder,TNH,2024-03-03,ayahealthcare.com,13.74,5.09,38.12,86.36,28.97,27.02
Furnished Finder,TNH,2024-03-03,crosscountry.com,< 10%,2.15,30.85,79.92,15.26,27.38
Furnished Finder,TNH,2024-03-04,You,24.39, --, --,93.95,61.0, --
Furnished Finder,TNH,2024-03-04,airbnb.com,< 10%,14.46,6.43,72.15,5.05,24.16
Furnished Finder,TNH,2024-03-04,trustedhealth.com,10.85,6.23,33.77,83.49,23.87,23.87
Furnished Finder,TNH,2024-03-04,vivian.com,< 10%,2.51,20.16,66.36,19.73,24.26
Furnished Finder,TNH,2024-03-04,tnaa.com,< 10%,2.31,34.21,90.6,39.36,24.19
Furnished Finder,TNH,2024-03-04,travelnursing.org,< 10%,6.55,45.06,85.41,26.82,23.67
Furnished Finder,TNH,2024-03-04,crosscountry.com,< 10%,2.75,18.38,77.53,14.45,24.26
Furnished Finder,TNH,2024-03-04,nomadhealth.com,< 10%,4.37,43.52,84.35,19.08,23.92
Furnished Finder,TNH,2024-03-04,travelnursehousing.com,15.69,42.2,31.4,95.54,30.15,21.16
Furnished Finder,TNH,2024-03-04,ayahealthcare.com,14.09,5.24,42.47,83.3,27.38,23.84
Furnished Finder,TNH,2024-03-07,You,20.21, --, --,94.05,61.84, --
Furnished Finder,TNH,2024-03-07,airbnb.com,< 10%,17.43,10.43,75.06,9.33,19.84
Furnished Finder,TNH,2024-03-07,trustedhealth.com,10.21,4.38,33.33,84.9,24.42,19.92
Furnished Finder,TNH,2024-03-07,vivian.com,< 10%,1.89,25.32,69.68,17.59,20.11
Furnished Finder,TNH,2024-03-07,tnaa.com,< 10%,1.87,30.77,88.5,39.24,20.09
Furnished Finder,TNH,2024-03-07,travelnursing.org,< 10%,5.14,47.91,86.32,28.48,19.71
Furnished Finder,TNH,2024-03-07,crosscountry.com,< 10%,5.14,20.0,79.79,11.54,20.0
Furnished Finder,TNH,2024-03-07,nomadhealth.com,10.11,3.85,32.92,85.17,20.42,19.95
Furnished Finder,TNH,2024-03-07,travelnursehousing.com,14.8,37.02,29.2,96.18,27.04,18.03
Furnished Finder,TNH,2024-03-07,ayahealthcare.com,12.92,4.4,42.93,86.68,33.37,19.83
Furnished Finder,TNH,2024-03-13,You,19.68, --, --,93.18,63.37, --
Furnished Finder,TNH,2024-03-13,airbnb.com,< 10%,18.71,8.31,74.02,9.78,19.37
Furnished Finder,TNH,2024-03-13,crosscountry.com,< 10%,6.44,21.93,82.25,18.17,19.4
Furnished Finder,TNH,2024-03-13,trustedhealth.com,11.13,5.14,36.74,85.37,21.48,19.31
Furnished Finder,TNH,2024-03-13,vivian.com,< 10%,3.25,29.41,83.12,23.0,19.49
Furnished Finder,TNH,2024-03-13,tnaa.com,< 10%,1.24,36.54,90.43,38.51,19.59
Furnished Finder,TNH,2024-03-13,travelnursing.org,< 10%,5.45,44.3,85.93,26.6,19.2
Furnished Finder,TNH,2024-03-13,nomadhealth.com,< 10%,3.09,34.88,84.6,19.49,19.47
Furnished Finder,TNH,2024-03-13,travelnursehousing.com,15.13,38.25,26.45,94.68,25.05,17.69
Furnished Finder,TNH,2024-03-13,ayahealthcare.com,12.5,4.26,44.38,85.31,30.58,19.31
Furnished Finder,TNH,2024-03-02,You,33.49, --, --,93.84,60.9, --
Furnished Finder,TNH,2024-03-02,airbnb.com,< 10%,17.12,6.45,73.78,5.46,33.12
Furnished Finder,TNH,2024-03-02,trustedhealth.com,12.78,7.9,33.16,83.54,24.72,32.62
Furnished Finder,TNH,2024-03-02,vivian.com,< 10%,2.82,20.29,66.24,16.05,33.3
Furnished Finder,TNH,2024-03-02,travelnursehousing.com,15.24,37.87,30.2,94.74,27.52,29.66
Furnished Finder,TNH,2024-03-02,tnaa.com,< 10%,3.87,36.51,90.15,38.91,33.02
Furnished Finder,TNH,2024-03-02,travelnursing.org,< 10%,7.47,39.45,82.75,24.31,32.51
Furnished Finder,TNH,2024-03-02,crosscountry.com,< 10%,1.88,26.09,75.69,14.36,33.33
Furnished Finder,TNH,2024-03-02,nomadhealth.com,11.56,5.85,36.71,87.14,19.44,32.77
Furnished Finder,TNH,2024-03-02,ayahealthcare.com,14.46,6.04,42.71,85.88,25.63,32.63
Furnished Finder,TNH,2024-03-05,You,21.08, --, --,93.49,61.14, --
Furnished Finder,TNH,2024-03-05,airbnb.com,< 10%,13.77,6.02,74.73,5.17,20.9
Furnished Finder,TNH,2024-03-05,trustedhealth.com,10.4,5.0,34.1,87.12,22.49,20.72
Furnished Finder,TNH,2024-03-05,vivian.com,< 10%,1.91,21.69,66.57,19.45,20.99
Furnished Finder,TNH,2024-03-05,tnaa.com,< 10%,2.21,33.33,90.03,42.77,20.92
Furnished Finder,TNH,2024-03-05,travelnursing.org,< 10%,5.62,45.08,87.8,27.04,20.55
Furnished Finder,TNH,2024-03-05,crosscountry.com,< 10%,2.16,28.72,78.1,17.05,20.95
Furnished Finder,TNH,2024-03-05,nomadhealth.com,< 10%,3.11,33.33,84.24,21.41,20.86
Furnished Finder,TNH,2024-03-05,travelnursehousing.com,15.87,38.7,32.9,94.92,31.38,18.4
Furnished Finder,TNH,2024-03-05,ayahealthcare.com,12.85,4.37,46.84,84.98,29.6,20.65
Furnished Finder,TNH,2024-03-06,You,16.96, --, --,94.17,63.13, --
Furnished Finder,TNH,2024-03-06,airbnb.com,< 10%,18.04,7.13,73.25,6.08,16.74
Furnished Finder,TNH,2024-03-06,trustedhealth.com,10.17,4.74,27.75,83.74,25.48,16.74
Furnished Finder,TNH,2024-03-06,travelnursehousing.com,16.13,39.09,29.27,96.03,27.02,15.02
Furnished Finder,TNH,2024-03-06,tnaa.com,< 10%,2.24,31.71,89.79,37.84,16.84
Furnished Finder,TNH,2024-03-06,travelnursing.org,< 10%,5.23,46.07,86.22,27.14,16.55
Furnished Finder,TNH,2024-03-06,crosscountry.com,< 10%,1.42,26.92,74.78,15.38,16.89
Furnished Finder,TNH,2024-03-06,ayahealthcare.com,13.05,4.3,40.13,84.31,29.75,16.67
