Ad group performance - Ad Group & Campaign Inventory
"January 1, 2024 - June 6, 2024"
Account name,Customer ID,Ad group ID,Ad group,Campaign ID,Campaign,Campaign state,Ad group state,Campaign type,Campaign subtype,Labels on Ad group,Ad group bid strategy,Ad group bid strategy type,Ad group sitelinks: active,Ad group sitelinks: disapproved,Ad group sitelinks level,Ad group phone numbers: active,Ad group phone numbers: disapproved,Ad group phone numbers level,Ad group apps: active,Ad group apps: disapproved,Ad group apps level,Ad group desktop bid adj.,Ad group mobile bid adj.,Ad group tablet bid adj.,Ads: active,Ads: disapproved,Keywords: active,Keywords: disapproved,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Travel Nurse Housing,773-103-2510,154876741577,Room,20882398478,TNH - Search - Travel Nurse Housing,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,9,0,"5,761","25,221",22.84%,USD,3.63,20911.96,32.44%,92.92%,268.94,0,77.76,4.67%
Travel Nurse Housing,773-103-2510,154876741617,Short Term,20882398478,TNH - Search - Travel Nurse Housing,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,21,0,650,"3,429",18.96%,USD,2.93,1901.62,18.97%,90.10%,20.00,0,95.08,3.08%
Travel Nurse Housing,773-103-2510,154876741657,Sites,20882398478,TNH - Search - Travel Nurse Housing,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,39,0,"8,175","55,259",14.79%,USD,2.50,20477.58,29.92%,90.01%,585.95,0,34.95,7.17%
Travel Nurse Housing,773-103-2510,155640193806,Travel Nurse Housing,20875833783,TNH - Search - Brand,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,6,0,"41,598","160,444",25.93%,USD,2.36,98182.67,21.23%,93.34%,"2,303.55",0,42.62,5.54%
Travel Nurse Housing,773-103-2510,157600216990,Travel nurse rentals,20572789330,TNh Rentals  - TCPA - $60,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,4,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Travel Nurse Housing,773-103-2510,160521808972,Room rentals,20743272230,Travel nurse Housing Property owners - TCPA - $60,Paused,Enabled,Search,Standard, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,1,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Travel Nurse Housing,773-103-2510,160521809012, +Traveling +Nurses,20743272230,Travel nurse Housing Property owners - TCPA - $60,Paused,Enabled,Search,Standard, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,1,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Travel Nurse Housing,773-103-2510,160521809172,Property owners,20743272230,Travel nurse Housing Property owners - TCPA - $60,Paused,Enabled,Search,Standard, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Travel Nurse Housing,773-103-2510,160521809212,Transplant Housing,20743272230,Travel nurse Housing Property owners - TCPA - $60,Paused,Enabled,Search,Standard, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,1,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Travel Nurse Housing,773-103-2510,160521809252,Traveling professionals,20743272230,Travel nurse Housing Property owners - TCPA - $60,Paused,Enabled,Search,Standard, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,1,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Travel Nurse Housing,773-103-2510,160521809412,Nurse Housing - Zeus,20743272230,Travel nurse Housing Property owners - TCPA - $60,Paused,Paused,Search,Standard, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Travel Nurse Housing,773-103-2510,160521809452,City Specific Ads,20743272230,Travel nurse Housing Property owners - TCPA - $60,Paused,Enabled,Search,Standard, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Travel Nurse Housing,773-103-2510,163301109481,Landlord,21087711070,TNH - Search - Landlord  - Broad Included,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,12,0,850,"4,613",18.43%,USD,2.67,2268.40,25.70%,91.38%,31.00,0,73.17,3.65%
