Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Impression_population,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value,Channel_Group
20230909,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230910,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230911,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,4,0,0,0,0,0.0,0,0.0,4,8,0,Paid Social + Display
20230912,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20230914,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,3,2,0,0,0,0.0,0,0.0,5,10,0,Paid Social + Display
20230915,google,cpc,Display - Retargeting,mobile,0,0,0,1,1,1,2,4,0,0,0,0.0,0,0.0,7,14,240,Paid Social + Display
20230916,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230920,google,cpc,Display - Retargeting,desktop,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230920,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20230920,google,cpc,Display - Retargeting,tablet,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20230923,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
