iso_yr_week,sem_brand_new_leads,seo_new_leads,direct_new_leads,sem_brand_impression_share,sem_brand_new_properties,seo_new_properties,direct_new_properties,sem_brand_leads_lag_3,sem_brand_leads_lag_4,sem_brand_leads_lag_5,sem_brand_leads_lag_6,sem_brand_leads_lag_7,sem_brand_leads_lag_8,sem_brand_leads_lag_9,sem_brand_leads_lag_10,sem_brand_leads_lag_11,sem_brand_impression_share_lag_3,sem_brand_impression_share_lag_4,sem_brand_impression_share_lag_5,sem_brand_impression_share_lag_6,sem_brand_impression_share_lag_7,sem_brand_impression_share_lag_8,sem_brand_impression_share_lag_9,sem_brand_impression_share_lag_10,sem_brand_impression_share_lag_11
2023-W34,0.0,2140.0,3518.0,0.0,0.0,854.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W35,0.0,2020.0,3584.0,0.0,0.0,778.0,1411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W36,0.0,2215.0,3907.0,0.0,0.0,901.0,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W37,0.0,1963.0,3704.0,0.0,0.0,815.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W38,0.0,2133.0,3839.0,0.0,0.0,863.0,1448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W39,0.0,2136.0,3815.0,0.0,0.0,896.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W40,0.0,2020.0,3791.0,0.0,0.0,788.0,1503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W41,0.0,2066.0,3567.0,0.0,0.0,676.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W42,0.0,1905.0,3685.0,0.0,0.0,715.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W43,0.0,1821.0,3457.0,0.0,0.0,729.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-W44,0.0,1907.0,3554.0,0.0,0.0,758.0,1353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
